order_id,order_value,return_probability,risk_tier
O11546,11444.52,0.47537925773532025,HIGH
O11216,4481.26,0.2633146339015166,MEDIUM
O00732,6407.25,0.37271927233969465,MEDIUM
O17299,1322.83,0.4856724872130051,HIGH
O12678,1705.27,0.06641240793386058,LOW
O12325,10180.64,0.4801630725045434,HIGH
O02164,5472.02,0.326785922974051,MEDIUM
O15773,20867.39,0.15205740252654154,LOW
O02934,6213.41,0.24131639629681353,MEDIUM
O13633,7480.89,0.15631820411502423,LOW
O03492,3676.06,0.18700180651677215,LOW
O13284,4507.22,0.41377769589944613,HIGH
O04968,6112.43,0.4154159592952426,HIGH
O01735,3970.65,0.35150898444154655,MEDIUM
O09702,6658.18,0.13711642325283177,LOW
O08569,36242.23,0.23009079637205038,MEDIUM
O05671,10789.8,0.28858116565656966,MEDIUM
O09744,497.68,0.22353147380863325,MEDIUM
O04021,9068.14,0.3464280982956074,MEDIUM
O19638,56609.73,0.07419135942300004,LOW
O09120,6142.31,0.4689161023960103,HIGH
O16727,3322.0,0.22763402321003104,MEDIUM
O13696,1719.28,0.19128954304284915,LOW
O04440,15177.11,0.15880889997273384,LOW
O10898,21770.37,0.10526871494947716,LOW
O19451,57861.22,0.1834060221054253,LOW
O14397,4619.03,0.5843020974367776,HIGH
O09608,986.38,0.0730871323613174,LOW
O11180,19217.15,0.10529269444546145,LOW
O01944,8009.72,0.426793529722098,HIGH
O14603,4923.44,0.061868121306149194,LOW
O13833,3252.24,0.07225412436032635,LOW
O04897,23684.68,0.022196361969925985,LOW
O09693,6218.02,0.610649277748627,VERY_HIGH
O14490,7487.04,0.43068967884997783,HIGH
O07248,4585.25,0.5150054468589762,HIGH
O15501,77222.34,0.02358429738392974,LOW
O02978,48184.46,0.2850130511428954,MEDIUM
O11850,9410.04,0.6965530662443032,VERY_HIGH
O01288,4548.16,0.2319451865070881,MEDIUM
O09392,5781.0,0.23885814319902102,MEDIUM
O02299,11083.08,0.1830109191097583,LOW
O07264,3175.72,0.47982657932585665,HIGH
O03095,6856.35,0.5811654102649849,HIGH
O00962,1488.19,0.23601217500110608,MEDIUM
O15557,301.11,0.413653332391964,HIGH
O12382,7279.69,0.37787709868084973,MEDIUM
O06616,3896.5,0.3753753752516027,MEDIUM
O14826,44299.88,0.22820999906461417,MEDIUM
O12597,12943.35,0.1177915928585713,LOW
O19060,23684.68,0.01795787525778342,LOW
O03296,10331.54,0.5558811234861548,HIGH
O02811,67525.64,0.10808277122353765,LOW
O15488,6679.84,0.5842632251306569,HIGH
O14533,1538.3,0.32648370013643463,MEDIUM
O09331,11546.77,0.6944796922335041,VERY_HIGH
O13557,6231.32,0.4970953906181412,HIGH
O07515,7511.88,0.43803485307427203,HIGH
O01981,1898.56,0.5118928685006492,HIGH
O19515,81961.05,0.13349065061480372,LOW
O04640,17652.89,0.20399170217458157,MEDIUM
O13244,4918.93,0.13969698606232636,LOW
O08608,5813.7,0.3239681172197874,MEDIUM
O11605,11063.32,0.4289005271704957,HIGH
O07963,79481.46,0.04677924774860972,LOW
O07903,838.96,0.19497424035350056,LOW
O15366,2495.26,0.10298506742103944,LOW
O15916,43323.25,0.2720897631102863,MEDIUM
O09935,5480.99,0.587425798275309,HIGH
O09478,28459.65,0.081075737056786,LOW
O02365,6112.43,0.13652253127322714,LOW
O10453,71067.57,0.15944066507766544,LOW
O19627,4839.77,0.2659614342857706,MEDIUM
O01615,1719.28,0.29821243846308587,MEDIUM
O02006,12089.51,0.40542551417294664,HIGH
O16604,7198.28,0.264771132369438,MEDIUM
O11071,6231.32,0.5314762564843087,HIGH
O03500,45553.6,0.016611387014717212,LOW
O11060,3162.82,0.1609469119640852,LOW
O19669,2065.81,0.40843900081523155,HIGH
O09085,26849.33,0.3079179397856024,MEDIUM
O04036,5096.15,0.7080086024587688,VERY_HIGH
O14078,82876.88,0.23905126416437084,MEDIUM
O07187,381.92,0.3642280925773466,MEDIUM
O16313,958.81,0.23570966182563485,MEDIUM
O14264,1675.74,0.4188413826960099,HIGH
O06515,3321.99,0.10187980591148271,LOW
O16787,6979.69,0.324929669870246,MEDIUM
O03811,4097.4,0.48565638624274776,HIGH
O10498,6301.83,0.21416065036655485,MEDIUM
O14952,7739.77,0.2762591701446656,MEDIUM
O19107,20985.98,0.11284510491346318,LOW
O07652,2287.91,0.5132171469305578,HIGH
O01409,4903.28,0.09977477999749415,LOW
O17421,3137.44,0.2881848014281726,MEDIUM
O04993,4230.93,0.5256804339297377,HIGH
O05199,17283.82,0.1850515644907636,LOW
O06742,2149.36,0.30845472886720726,MEDIUM
O12627,5132.22,0.5902820801155046,HIGH
O10092,6438.76,0.3618718662621212,MEDIUM
O03676,3461.09,0.05195999958959125,LOW
O08399,8183.42,0.38546835642886756,MEDIUM
O15240,8096.1,0.13080620896810863,LOW
O19014,6939.06,0.15403809281682354,LOW
O03112,17018.54,0.09685830774083612,LOW
O11643,4384.27,0.17037111555883683,LOW
O10199,2518.14,0.43158402992157924,HIGH
O08439,9334.39,0.30699418846551363,MEDIUM
O19656,9403.82,0.17781232439881944,LOW
O18280,510.54,0.5328150262858767,HIGH
O00121,2768.87,0.13734584704311448,LOW
O08367,20864.2,0.049856179365148086,LOW
O16679,7200.89,0.10258745779117949,LOW
O14089,2856.28,0.38732206067352454,MEDIUM
O03994,1197.74,0.047613096197738486,LOW
O02269,4731.47,0.3354446546465838,MEDIUM
O06907,22389.66,0.18348301204155337,LOW
O15028,1693.84,0.10788116481423633,LOW
O17614,45535.44,0.04294209662051547,LOW
O18978,23781.67,0.3651390317773587,MEDIUM
O15873,21375.72,0.037290740536190525,LOW
O12216,7008.43,0.767283339791262,VERY_HIGH
O09752,28919.84,0.2178099616838256,MEDIUM
O07457,5380.98,0.17354639328928187,LOW
O18939,7294.76,0.33388783381693216,MEDIUM
O02336,2498.26,0.5115142903200656,HIGH
O12551,25160.84,0.11830666347671367,LOW
O12585,8825.73,0.22706318631665914,MEDIUM
O01228,1444.06,0.6616479857147064,VERY_HIGH
O14020,7799.73,0.5230816407637846,HIGH
O13595,9536.1,0.2731579711944198,MEDIUM
O15657,8585.01,0.5874713070563962,HIGH
O01783,5020.78,0.23302966264430713,MEDIUM
O19593,3621.26,0.35798995168803716,MEDIUM
O08799,1780.48,0.10650268637593016,LOW
O06889,6292.05,0.41417479188967543,HIGH
O03177,5831.74,0.3132718652889113,MEDIUM
O15201,2495.26,0.06485305125321784,LOW
O18472,3393.06,0.1530702087146701,LOW
O15288,3034.8,0.3285560807106434,MEDIUM
O15460,6840.85,0.6429237421632663,VERY_HIGH
O04625,2370.02,0.47774841880613106,HIGH
O02151,11038.43,0.17984824296334873,LOW
O00600,21267.23,0.1056517822281319,LOW
O01836,6188.18,0.6452582938949306,VERY_HIGH
O01385,24353.55,0.1380550027713698,LOW
O13947,4320.53,0.2665660318010704,MEDIUM
O01715,2464.6,0.17655382395075384,LOW
O11487,896.0,0.2387366137111775,MEDIUM
O06341,2885.38,0.21943066442737455,MEDIUM
O02772,7222.48,0.33349729460853417,MEDIUM
O09081,6072.08,0.08312725938847519,LOW
O08242,1950.0,0.44894170170295256,HIGH
O05466,50685.9,0.06911597320613533,LOW
O19263,8467.17,0.5151595721170849,HIGH
O04877,72827.86,0.1469847640053845,LOW
O15667,1770.06,0.3227127177944358,MEDIUM
O18255,2842.12,0.11586447587961439,LOW
O03775,2182.96,0.5713006173517631,HIGH
O11738,880.74,0.2709728653527765,MEDIUM
O15507,4962.73,0.627258771674586,VERY_HIGH
O04561,3344.85,0.09219038598418595,LOW
O07333,4485.46,0.2241171999058298,MEDIUM
O06886,3688.43,0.2772095031411149,MEDIUM
O13780,5175.96,0.4275367932567589,HIGH
O09457,2434.33,0.19789225077204267,LOW
O09544,2293.46,0.4907440722266931,HIGH
O03823,20549.74,0.1739746921321307,LOW
O11517,1892.2,0.5838231446943657,HIGH
O15126,7366.41,0.49449219460143057,HIGH
O14559,8801.05,0.3716025475406399,MEDIUM
O15943,3033.18,0.5116640893600486,HIGH
O00258,4223.11,0.3833401208589906,MEDIUM
O02042,3851.16,0.18458550584364836,LOW
O00118,10908.65,0.5028804372768767,HIGH
O08855,25996.75,0.08162032912667977,LOW
O02809,6534.07,0.43605296517036524,HIGH
O18014,17944.88,0.5679671515368636,HIGH
O14776,2015.7,0.5173709491753027,HIGH
O18699,6503.62,0.545120012604297,HIGH
O11670,4797.67,0.6088377277385513,VERY_HIGH
O02408,43652.35,0.28383427652286913,MEDIUM
O15428,68573.77,0.05558973930647783,LOW
O03600,4553.29,0.3027359821948706,MEDIUM
O07614,3213.32,0.30219796097489937,MEDIUM
O06039,5009.79,0.5978596749732817,HIGH
O08066,39018.15,0.11457548123657307,LOW
O16273,1685.83,0.3285091164803178,MEDIUM
O16866,250.73,0.36585689629729273,MEDIUM
O17753,7823.35,0.18712169246828583,LOW
O00224,1618.18,0.150865542878838,LOW
O02780,5574.14,0.5871436527217351,HIGH
O14849,6732.56,0.5654375708902096,HIGH
O08003,3982.05,0.6800518918376369,VERY_HIGH
O14294,1036.8,0.2735184338613108,MEDIUM
O13390,41157.09,0.10130833549444199,LOW
O15381,587.16,0.6689101751609136,VERY_HIGH
O16812,6805.17,0.4109822925050085,HIGH
O06517,23365.13,0.025037910703503002,LOW
O15511,2609.06,0.38405164085359256,MEDIUM
O11777,2842.12,0.07812352598939154,LOW
O15094,50628.43,0.10806660996051111,LOW
O02075,25738.87,0.04043442739243976,LOW
O07306,4504.92,0.19016851343512106,LOW
O19256,14412.86,0.08711158483397922,LOW
O19173,1305.1,0.11044900925501916,LOW
O09327,7183.24,0.5505070445232539,HIGH
O00050,18082.2,0.08408786408331244,LOW
O04349,5441.85,0.29201437070012876,MEDIUM
O13709,56177.15,0.15456836914026897,LOW
O03809,6420.79,0.4195146465939564,HIGH
O17903,2424.9,0.14486905794938676,LOW
O03562,5652.41,0.6357422791423036,VERY_HIGH
O16376,3909.05,0.1324597038265416,LOW
O13670,4335.75,0.5297679001845595,HIGH
O02952,6819.41,0.2794636194642093,MEDIUM
O04453,24449.11,0.05017589186232716,LOW
O13759,31388.8,0.10669332977982982,LOW
O17397,8159.81,0.4417336972553333,HIGH
O11288,4585.25,0.5467693710221931,HIGH
O19522,27176.33,0.05490709137212523,LOW
O08934,2588.91,0.6943228493805128,VERY_HIGH
O07424,73370.02,0.049495413014994286,LOW
O03551,16974.08,0.31301183192908905,MEDIUM
O01865,3795.55,0.405015370104072,HIGH
O16301,6534.07,0.5166455287799758,HIGH
O12095,6390.51,0.4424548311326066,HIGH
O19420,4368.13,0.4781504264252507,HIGH
O07105,1056.67,0.1890329787548868,LOW
O03599,1675.74,0.36149800367619145,MEDIUM
O11908,3013.83,0.04286653452586491,LOW
O07044,1778.83,0.21538474941391836,MEDIUM
O03113,1103.5,0.3878265012028568,MEDIUM
O08687,7351.45,0.5920083219310862,HIGH
O07242,5731.1,0.43375631404482695,HIGH
O09951,1903.74,0.07205063966303005,LOW
O16792,4977.56,0.35039939747552357,MEDIUM
O19741,3159.85,0.027531837868811453,LOW
O09149,4515.46,0.524540948395953,HIGH
O12280,51227.37,0.08212290975509694,LOW
O13894,24973.58,0.12688331931299301,LOW
O01996,6288.92,0.06645165366103925,LOW
O17125,5362.1,0.5333056059006328,HIGH
O10893,8766.49,0.5221160285017831,HIGH
O08470,2483.65,0.3351527820747794,MEDIUM
O12989,724.12,0.27921612756016145,MEDIUM
O11765,7356.87,0.3035323633555432,MEDIUM
O09647,236.78,0.22898504303348452,MEDIUM
O18722,794.47,0.2808292043979745,MEDIUM
O03654,4260.31,0.1316461380258513,LOW
O17322,29071.25,0.06689783229002524,LOW
O17713,553.7,0.2278205584179592,MEDIUM
O18243,6448.56,0.14909518776684352,LOW
O11695,20107.04,0.09934638003938233,LOW
O16794,835.23,0.2875662993447337,MEDIUM
O05173,3153.62,0.3829943720654141,MEDIUM
O00358,2297.25,0.15951073438816904,LOW
O11668,9742.02,0.33452738095098566,MEDIUM
O03537,11444.52,0.4760423773478751,HIGH
O04205,20962.72,0.3553651307154458,MEDIUM
O17665,1488.19,0.20362074495374835,MEDIUM
O07272,2987.51,0.2603603223878926,MEDIUM
O10233,57589.7,0.13593687147740427,LOW
O18703,6606.82,0.6504787392251064,VERY_HIGH
O08246,5495.96,0.5212782076506559,HIGH
O00386,1063.19,0.12449874109812395,LOW
O10900,2065.82,0.4523351260936213,HIGH
O07177,7520.22,0.20153033690231825,MEDIUM
O13041,11764.43,0.4598611617063293,HIGH
O16689,12106.53,0.28434296332359577,MEDIUM
O15414,11083.08,0.20109852474044426,MEDIUM
O06047,1347.04,0.4363530006480936,HIGH
O16035,4565.74,0.3109714549635213,MEDIUM
O02435,3112.89,0.16062538901821902,LOW
O06311,8009.63,0.41874777513681655,HIGH
O16939,22183.27,0.25298707830845374,MEDIUM
O19725,12874.61,0.16110993930449954,LOW
O03869,3445.06,0.34749435089385516,MEDIUM
O06493,48610.43,0.6001409627261123,VERY_HIGH
O06087,5180.11,0.33530854484029804,MEDIUM
O07962,2028.14,0.5005313931634912,HIGH
O01731,58440.18,0.10657124947797078,LOW
O00495,3259.35,0.17592325431287292,LOW
O12876,761.1,0.37272873235402615,MEDIUM
O00240,7362.43,0.6548723567961622,VERY_HIGH
O01477,4719.16,0.13511399906670102,LOW
O10134,18776.92,0.16699339656170664,LOW
O01024,59048.71,0.019896866040499474,LOW
O17368,6549.83,0.45480051326893745,HIGH
O08802,5526.85,0.666724179167511,VERY_HIGH
O17758,4730.73,0.3495817903352359,MEDIUM
O08020,5828.99,0.13650685778163776,LOW
O00429,47112.69,0.022302377166719144,LOW
O00555,211.85,0.00767956262917562,LOW
O14958,41457.14,0.3448883614772775,MEDIUM
O09356,4235.86,0.4862802290400328,HIGH
O00654,766.32,0.12467867896391727,LOW
O00255,1709.18,0.30808073469105063,MEDIUM
O06792,4660.04,0.4217846145535761,HIGH
O07659,4479.8,0.5468982061608445,HIGH
O08314,4458.81,0.29099082403700677,MEDIUM
O09546,2778.77,0.16792945751666508,LOW
O01580,1231.7,0.24830025376645531,MEDIUM
O16307,3287.81,0.12586776077682835,LOW
O15652,43850.24,0.2922444550163767,MEDIUM
O12826,1153.73,0.46944116971710126,HIGH
O01220,17423.21,0.281948788374646,MEDIUM
O18066,1517.2,0.05054786239267987,LOW
O12801,3137.44,0.27323047570882486,MEDIUM
O00063,20914.7,0.2892785406919065,MEDIUM
O18194,3548.43,0.09744377986758912,LOW
O14708,6139.11,0.2518160892224616,MEDIUM
O14790,3895.49,0.3043134146035355,MEDIUM
O13783,2583.6,0.18971292185174596,LOW
O11386,7075.04,0.10540601052143726,LOW
O04196,10232.61,0.1397810082150536,LOW
O04841,27165.68,0.03338321901280679,LOW
O19029,1291.01,0.5410889060788863,HIGH
O12751,1835.3,0.7621228738072161,VERY_HIGH
O08222,2564.16,0.6450105342542649,VERY_HIGH
O06987,8802.13,0.3770467664871375,MEDIUM
O19724,929.67,0.2889394768857227,MEDIUM
O00738,4404.43,0.4330770806968085,HIGH
O06280,6480.8,0.417699616753851,HIGH
O19447,15576.75,0.3053757342977181,MEDIUM
O09775,12869.44,0.26790788483670924,MEDIUM
O17143,45996.55,0.2537948446830551,MEDIUM
O00182,7154.52,0.26011825805169775,MEDIUM
O19688,7561.24,0.38330852348653155,MEDIUM
O18283,3924.69,0.06143265731862265,LOW
O06273,3163.87,0.23406239642766247,MEDIUM
O09854,6198.22,0.36212563440221485,MEDIUM
O19246,3113.63,0.3871598122388114,MEDIUM
O03901,31711.95,0.08023357008044163,LOW
O12100,2757.04,0.509443188712668,HIGH
O13505,76660.91,0.12604138847913735,LOW
O03243,28798.43,0.22305005985909812,MEDIUM
O02764,1466.28,0.12976230125854607,LOW
O00326,684.28,0.6175854413131081,VERY_HIGH
O18546,35225.17,0.10012020673276201,LOW
O07808,4472.63,0.21574919853495853,MEDIUM
O19327,5455.85,0.3848148266499686,MEDIUM
O15232,5831.74,0.11526167203479293,LOW
O01527,2498.26,0.7363366016861891,VERY_HIGH
O00580,6823.68,0.5332653475714872,HIGH
O12849,3589.64,0.17918172020588224,LOW
O17289,2166.09,0.16865267742466566,LOW
O18107,58696.02,0.028289093137361384,LOW
O02918,15672.76,0.5808487372344388,HIGH
O01687,8510.23,0.6217288567959048,VERY_HIGH
O02643,3427.7,0.18553505901226994,LOW
O09124,44748.88,0.06057891245182958,LOW
O06333,3499.0,0.1985061944235371,LOW
O09144,1957.65,0.23446871288884322,MEDIUM
O12010,43022.84,0.0657261604298261,LOW
O07998,3691.1,0.14948164673729722,LOW
O03801,2366.16,0.3109936746557505,MEDIUM
O05939,10713.68,0.30208557822628984,MEDIUM
O17597,1167.72,0.16989118178806345,LOW
O11098,2906.55,0.11879211005174681,LOW
O06285,24682.89,0.059345434982250124,LOW
O03684,50321.67,0.030609671597750014,LOW
O05397,8151.93,0.22561908176907183,MEDIUM
O05172,7736.06,0.14922741900592718,LOW
O02992,5401.15,0.5093964477423332,HIGH
O14237,2071.86,0.3004945858026539,MEDIUM
O09563,4650.06,0.23024806929953337,MEDIUM
O06561,2868.18,0.31525050672482763,MEDIUM
O03568,2393.6,0.5394992937910852,HIGH
O11591,4857.34,0.21198237402191394,MEDIUM
O17382,4734.2,0.570683165123539,HIGH
O14263,7998.09,0.18830206310556377,LOW
O08649,36242.23,0.04569881988132448,LOW
O02719,44350.16,0.16110490158382199,LOW
O09632,3094.7,0.35122287160849286,MEDIUM
O18785,48610.43,0.3073128845049348,MEDIUM
O10534,618.16,0.11139841408943457,LOW
O18474,1917.13,0.4969646729733184,HIGH
O07494,426.57,0.12636091650938744,LOW
O12242,2654.01,0.5269656345738771,HIGH
O16233,25268.03,0.20022324188906862,MEDIUM
O01799,7783.88,0.3464593019590192,MEDIUM
O01264,3049.06,0.5051800366516502,HIGH
O07163,14980.72,0.08022188678330008,LOW
O17413,41135.5,0.15207873793265464,LOW
O02097,5158.4,0.5280230192310954,HIGH
O08888,501.85,0.05524934672874758,LOW
O01463,4833.07,0.16519366922432957,LOW
O10208,306.91,0.15583181414763156,LOW
O18566,4255.86,0.46414139182095004,HIGH
O04075,61328.73,0.1263057482551039,LOW
O17171,3862.97,0.16670898247533872,LOW
O12164,51573.45,0.1542723935182703,LOW
O05634,1267.8,0.17999927237153251,LOW
O16636,82271.0,0.1626061029234057,LOW
O08633,13659.4,0.22847629464188718,MEDIUM
O09761,4407.04,0.06389259227361645,LOW
O07619,16873.15,0.28324564629066856,MEDIUM
O19612,4297.76,0.6107963506700892,VERY_HIGH
O15928,10041.56,0.45298340694034867,HIGH
O11547,5655.28,0.10183099221576225,LOW
O00630,9155.62,0.5957659490806654,HIGH
O16844,5588.77,0.6379008109301454,VERY_HIGH
O16147,2142.68,0.4194871494696557,HIGH
O09334,30441.94,0.08262368149354155,LOW
O15124,2334.96,0.19658118024732277,LOW
O18308,8401.82,0.3056484625644828,MEDIUM
O03855,1839.16,0.08047804557555034,LOW
O09616,53853.76,0.0697081826913113,LOW
O14334,12763.91,0.3014184516527483,MEDIUM
O11369,67905.9,0.11566827475253798,LOW
O01659,3924.69,0.340902271810763,MEDIUM
O10203,1763.21,0.3560748403380746,MEDIUM
O05274,2694.91,0.0987736043869675,LOW
O03608,3610.22,0.5000719309061986,HIGH
O02666,1385.02,0.13064449017060517,LOW
O05425,8953.53,0.34531297804294087,MEDIUM
O18984,8694.88,0.4465815392085033,HIGH
O08755,16316.63,0.2560936708888302,MEDIUM
O06477,87376.42,0.0752106759762732,LOW
O08996,38798.68,0.028707099230539376,LOW
O13766,1483.56,0.38183475797289534,MEDIUM
O04609,4103.79,0.3007836871054715,MEDIUM
O05731,63484.32,0.06564534827778094,LOW
O10806,7434.43,0.38696526383078883,MEDIUM
O16707,5432.05,0.6739472787533721,VERY_HIGH
O12038,15466.77,0.3045946447740487,MEDIUM
O16759,1687.61,0.5229990042368231,HIGH
O02145,5642.71,0.6881879942208328,VERY_HIGH
O14373,1203.24,0.32511786746381444,MEDIUM
O06077,12260.7,0.3133237790516002,MEDIUM
O10276,3187.25,0.26599853144693353,MEDIUM
O02313,15431.72,0.18578644980260384,LOW
O05704,4391.86,0.4541893299298433,HIGH
O08654,3679.07,0.47701195307073463,HIGH
O06614,9539.41,0.3725647186910123,MEDIUM
O14694,10560.42,0.2715492321614935,MEDIUM
O18217,43037.65,0.022263521459746666,LOW
O03252,10713.68,0.12217125523837852,LOW
O01426,7843.82,0.2777353268708124,MEDIUM
O07073,4670.81,0.21510406278974584,MEDIUM
O05600,12801.2,0.3036371246652372,MEDIUM
O00629,5483.2,0.4701710030912079,HIGH
O06474,21732.54,0.2650588891382076,MEDIUM
O06062,5094.41,0.6090007518863216,VERY_HIGH
O15006,44619.16,0.09055803320635038,LOW
O00989,14574.41,0.3132872524696962,MEDIUM
O12435,2419.77,0.4650184993932274,HIGH
O11276,3411.84,0.5735230216586499,HIGH
O00798,63357.37,0.056973298355438635,LOW
O04649,687.83,0.25681835120833973,MEDIUM
O06973,491.31,0.4660275328725251,HIGH
O03695,76660.91,0.1755437535468502,LOW
O03853,42110.63,0.17107421038128187,LOW
O19514,74778.91,0.06884070632412348,LOW
O11450,9129.3,0.2741786651043985,MEDIUM
O19395,1728.49,0.011396112555705468,LOW
O03383,3364.23,0.6127074703385448,VERY_HIGH
O10409,1692.82,0.06452843175327719,LOW
O05525,24682.89,0.0348773990941437,LOW
O10472,6839.65,0.3769177778414849,MEDIUM
O11015,2286.63,0.3175717399688968,MEDIUM
O15561,4458.81,0.5147872438428157,HIGH
O00603,5879.92,0.2349285872053534,MEDIUM
O18444,10731.26,0.28262283565758295,MEDIUM
O05346,3781.21,0.20630711888042977,MEDIUM
O07569,17649.32,0.16048283381926165,LOW
O19065,7994.6,0.24926927921982062,MEDIUM
O08125,5570.45,0.6605444429506043,VERY_HIGH
O18239,2682.65,0.20387878202346796,MEDIUM
O03779,5169.76,0.33962877577621575,MEDIUM
O04571,3496.23,0.11685825915908367,LOW
O11848,16974.08,0.12509361277354658,LOW
O07675,2177.79,0.2986398028391624,MEDIUM
O06798,35527.01,0.04331751627508002,LOW
O02741,1428.62,0.6377295973971608,VERY_HIGH
O19544,2956.18,0.48953370569557625,HIGH
O12664,1621.89,0.4010806656929529,HIGH
O15712,2124.83,0.11897892915060287,LOW
O08272,6840.85,0.23575607949591998,MEDIUM
O13044,44619.16,0.13926896325042498,LOW
O02945,51359.01,0.39959222617690615,MEDIUM
O11678,15463.35,0.3928930547949327,MEDIUM
O18375,4164.49,0.48097574254350106,HIGH
O12202,301.11,0.2747973802884177,MEDIUM
O15682,3613.12,0.09422303045477586,LOW
O06558,47176.46,0.15514252216118873,LOW
O06739,9254.92,0.4674830734072697,HIGH
O00999,1050.56,0.40079763838866445,HIGH
O17160,3800.8,0.5368019528004628,HIGH
O05715,38507.37,0.1731014558688759,LOW
O06141,2609.06,0.34086279343389164,MEDIUM
O06606,1522.2,0.20396957273713928,MEDIUM
O03123,16150.39,0.4876371688853328,HIGH
O03029,1655.24,0.16789148332253673,LOW
O06236,10560.42,0.7541469282795805,VERY_HIGH
O03899,5646.4,0.4318523678396266,HIGH
O07038,2121.78,0.3388916223447754,MEDIUM
O03370,7178.23,0.33192518345546496,MEDIUM
O04986,59224.48,0.058065683693225324,LOW
O00192,10180.64,0.2684058728969535,MEDIUM
O10832,7799.73,0.16989119391071697,LOW
O07283,986.38,0.1579505458883709,LOW
O11055,5301.48,0.15963945290511322,LOW
O10693,5158.4,0.4857674677082194,HIGH
O07639,741.78,0.15873553881280827,LOW
O06519,907.83,0.033606142431640985,LOW
O04654,531.39,0.3557332903990941,MEDIUM
O01009,4993.95,0.16688394306311413,LOW
O12873,1446.3,0.11364996149327877,LOW
O14446,4085.13,0.5355266312729304,HIGH
O14252,4373.07,0.5354709300382445,HIGH
O10844,63911.44,0.16439075133623993,LOW
O11435,9403.82,0.5074919764516623,HIGH
O09828,74545.42,0.22389397153518711,MEDIUM
O09883,6307.01,0.6564506252186684,VERY_HIGH
O14591,15397.11,0.13880548163061532,LOW
O04545,6307.01,0.4632887062904255,HIGH
O18540,7043.22,0.2726549118236175,MEDIUM
O08400,1112.76,0.3172312417189478,MEDIUM
O04781,9202.47,0.1727350669528577,LOW
O14573,2809.18,0.10853306199459725,LOW
O02583,1287.41,0.04202545536586044,LOW
O09738,5323.65,0.31904278244587975,MEDIUM
O14990,3494.92,0.05959945151440776,LOW
O19445,3068.02,0.19464061174573177,LOW
O09294,4767.34,0.39636656115893276,MEDIUM
O00706,7759.9,0.5110857142022771,HIGH
O01914,27632.12,0.05966820751956116,LOW
O14122,3658.6,0.07939661289972286,LOW
O08519,6732.56,0.415066847589673,HIGH
O08922,70120.35,0.08812109444664785,LOW
