order_id,order_value,risk_score,return_probability,risk_tier,expected_return_exposure,priority,recommended_action,risk_reasons
O05671,10789.8,28.86,0.2885811656565696,MEDIUM,249.1,P4,NORMAL_PROCESSING,No major risk signal detected
O09744,497.68,22.35,0.2235314738086332,MEDIUM,8.9,P4,NORMAL_PROCESSING,No major risk signal detected
O04021,9068.14,34.64,0.3464280982956074,MEDIUM,251.32,P4,NORMAL_PROCESSING,No major risk signal detected
O19638,56609.73,7.42,0.074191359423,LOW,336.0,P4,NORMAL_PROCESSING,High-value order
O09120,6142.31,46.89,0.4689161023960103,HIGH,230.42,P3,MONITOR,Elevated predicted return probability
O16727,3322.0,22.76,0.227634023210031,MEDIUM,60.5,P4,NORMAL_PROCESSING,No major risk signal detected
O13696,1719.28,19.13,0.1912895430428491,LOW,26.31,P4,NORMAL_PROCESSING,No major risk signal detected
O04440,15177.11,15.88,0.1588088999727338,LOW,192.82,P4,NORMAL_PROCESSING,No major risk signal detected
O10898,21770.37,10.53,0.1052687149494771,LOW,183.34,P4,NORMAL_PROCESSING,No major risk signal detected
O19451,57861.22,18.34,0.1834060221054253,LOW,848.97,P4,NORMAL_PROCESSING,High-value order
O14397,4619.03,58.43,0.5843020974367776,HIGH,215.91,P3,MONITOR,Elevated predicted return probability
O09608,986.38,7.31,0.0730871323613174,LOW,5.77,P4,NORMAL_PROCESSING,No major risk signal detected
O11180,19217.15,10.53,0.1052926944454614,LOW,161.87,P4,NORMAL_PROCESSING,No major risk signal detected
O01944,8009.72,42.68,0.426793529722098,HIGH,273.48,P3,MONITOR,Elevated predicted return probability
O14603,4923.44,6.19,0.0618681213061491,LOW,24.37,P4,NORMAL_PROCESSING,No major risk signal detected
O13833,3252.24,7.23,0.0722541243603263,LOW,18.8,P4,NORMAL_PROCESSING,No major risk signal detected
O04897,23684.68,2.22,0.0221963619699259,LOW,42.06,P4,NORMAL_PROCESSING,No major risk signal detected
O09693,6218.02,61.06,0.610649277748627,VERY_HIGH,303.76,P2,REVIEW,High predicted return probability
O14490,7487.04,43.07,0.4306896788499778,HIGH,257.97,P3,MONITOR,Elevated predicted return probability
O07248,4585.25,51.5,0.5150054468589762,HIGH,188.91,P3,MONITOR,Elevated predicted return probability
O15501,77222.34,2.36,0.0235842973839297,LOW,145.7,P4,NORMAL_PROCESSING,High-value order
O02978,48184.46,28.5,0.2850130511428954,MEDIUM,1098.66,P4,NORMAL_PROCESSING,High estimated financial exposure | Above-average order value
O11850,9410.04,69.66,0.6965530662443032,VERY_HIGH,524.37,P2,REVIEW,High predicted return probability
O01288,4548.16,23.19,0.2319451865070881,MEDIUM,84.39,P4,NORMAL_PROCESSING,No major risk signal detected
O09392,5781.0,23.89,0.238858143199021,MEDIUM,110.47,P4,NORMAL_PROCESSING,No major risk signal detected
O02299,11083.08,18.3,0.1830109191097583,LOW,162.27,P4,NORMAL_PROCESSING,No major risk signal detected
O07264,3175.72,47.98,0.4798265793258566,HIGH,121.9,P3,MONITOR,Elevated predicted return probability
O03095,6856.35,58.12,0.5811654102649849,HIGH,318.77,P3,MONITOR,Elevated predicted return probability
O00962,1488.19,23.6,0.236012175001106,MEDIUM,28.1,P4,NORMAL_PROCESSING,No major risk signal detected
O15557,301.11,41.37,0.413653332391964,HIGH,9.96,P3,MONITOR,Elevated predicted return probability
O12382,7279.69,37.79,0.3778770986808497,MEDIUM,220.07,P4,NORMAL_PROCESSING,No major risk signal detected
O06616,3896.5,37.54,0.3753753752516027,MEDIUM,117.01,P4,NORMAL_PROCESSING,No major risk signal detected
O14826,44299.88,22.82,0.2282099990646141,MEDIUM,808.77,P4,NORMAL_PROCESSING,Above-average order value
O12597,12943.35,11.78,0.1177915928585713,LOW,121.97,P4,NORMAL_PROCESSING,No major risk signal detected
O19060,23684.68,1.8,0.0179578752577834,LOW,34.03,P4,NORMAL_PROCESSING,No major risk signal detected
O03296,10331.54,55.59,0.5558811234861548,HIGH,459.45,P3,MONITOR,Elevated predicted return probability
O02811,67525.64,10.81,0.1080827712235376,LOW,583.87,P4,NORMAL_PROCESSING,High-value order
O15488,6679.84,58.43,0.5842632251306569,HIGH,312.22,P3,MONITOR,Elevated predicted return probability
O14533,1538.3,32.65,0.3264837001364346,MEDIUM,40.18,P4,NORMAL_PROCESSING,No major risk signal detected
O09331,11546.77,69.45,0.6944796922335041,VERY_HIGH,641.52,P2,REVIEW,High predicted return probability
O13557,6231.32,49.71,0.4970953906181412,HIGH,247.8,P3,MONITOR,Elevated predicted return probability
O07515,7511.88,43.8,0.438034853074272,HIGH,263.24,P3,MONITOR,Elevated predicted return probability
O01981,1898.56,51.19,0.5118928685006492,HIGH,77.75,P3,MONITOR,Elevated predicted return probability
O19515,81961.05,13.35,0.1334906506148037,LOW,875.28,P4,NORMAL_PROCESSING,High-value order
O04640,17652.89,20.4,0.2039917021745815,MEDIUM,288.08,P4,NORMAL_PROCESSING,No major risk signal detected
O13244,4918.93,13.97,0.1396969860623263,LOW,54.97,P4,NORMAL_PROCESSING,No major risk signal detected
O08608,5813.7,32.4,0.3239681172197874,MEDIUM,150.68,P4,NORMAL_PROCESSING,No major risk signal detected
O11605,11063.32,42.89,0.4289005271704957,HIGH,379.61,P3,MONITOR,Elevated predicted return probability
O07963,79481.46,4.68,0.0467792477486097,LOW,297.45,P4,NORMAL_PROCESSING,High-value order
O07903,838.96,19.5,0.1949742403535005,LOW,13.09,P4,NORMAL_PROCESSING,No major risk signal detected
O15366,2495.26,10.3,0.1029850674210394,LOW,20.56,P4,NORMAL_PROCESSING,No major risk signal detected
O15916,43323.25,27.21,0.2720897631102863,MEDIUM,943.03,P4,NORMAL_PROCESSING,Above-average order value
O09935,5480.99,58.74,0.587425798275309,HIGH,257.57,P3,MONITOR,Elevated predicted return probability
O09478,28459.65,8.11,0.081075737056786,LOW,184.59,P4,NORMAL_PROCESSING,Above-average order value
O02365,6112.43,13.65,0.1365225312732271,LOW,66.76,P4,NORMAL_PROCESSING,No major risk signal detected
O10453,71067.57,15.94,0.1594406650776654,LOW,906.48,P4,NORMAL_PROCESSING,High-value order
O19627,4839.77,26.6,0.2659614342857706,MEDIUM,102.98,P4,NORMAL_PROCESSING,No major risk signal detected
O01615,1719.28,29.82,0.2982124384630858,MEDIUM,41.02,P4,NORMAL_PROCESSING,No major risk signal detected
O02006,12089.51,40.54,0.4054255141729466,HIGH,392.11,P3,MONITOR,Elevated predicted return probability
O16604,7198.28,26.48,0.264771132369438,MEDIUM,152.47,P4,NORMAL_PROCESSING,No major risk signal detected
O11071,6231.32,53.15,0.5314762564843087,HIGH,264.94,P3,MONITOR,Elevated predicted return probability
O03500,45553.6,1.66,0.0166113870147172,LOW,60.54,P4,NORMAL_PROCESSING,Above-average order value
O11060,3162.82,16.09,0.1609469119640852,LOW,40.72,P4,NORMAL_PROCESSING,No major risk signal detected
O19669,2065.81,40.84,0.4084390008152315,HIGH,67.5,P3,MONITOR,Elevated predicted return probability
O09085,26849.33,30.79,0.3079179397856024,MEDIUM,661.39,P4,NORMAL_PROCESSING,Above-average order value
O04036,5096.15,70.8,0.7080086024587688,VERY_HIGH,288.65,P2,REVIEW,High predicted return probability
O14078,82876.88,23.91,0.2390512641643708,MEDIUM,1584.95,P4,NORMAL_PROCESSING,High estimated financial exposure | High-value order
O07187,381.92,36.42,0.3642280925773466,MEDIUM,11.13,P4,NORMAL_PROCESSING,No major risk signal detected
O16313,958.81,23.57,0.2357096618256348,MEDIUM,18.08,P4,NORMAL_PROCESSING,No major risk signal detected
O14264,1675.74,41.88,0.4188413826960099,HIGH,56.15,P3,MONITOR,Elevated predicted return probability
O06515,3321.99,10.19,0.1018798059114827,LOW,27.08,P4,NORMAL_PROCESSING,No major risk signal detected
O16787,6979.69,32.49,0.324929669870246,MEDIUM,181.43,P4,NORMAL_PROCESSING,No major risk signal detected
O03811,4097.4,48.57,0.4856563862427477,HIGH,159.19,P3,MONITOR,Elevated predicted return probability
O10498,6301.83,21.42,0.2141606503665548,MEDIUM,107.97,P4,NORMAL_PROCESSING,No major risk signal detected
O14952,7739.77,27.63,0.2762591701446656,MEDIUM,171.05,P4,NORMAL_PROCESSING,No major risk signal detected
O19107,20985.98,11.28,0.1128451049134631,LOW,189.45,P4,NORMAL_PROCESSING,No major risk signal detected
O07652,2287.91,51.32,0.5132171469305578,HIGH,93.94,P3,MONITOR,Elevated predicted return probability
O01409,4903.28,9.98,0.0997747799974941,LOW,39.14,P4,NORMAL_PROCESSING,No major risk signal detected
O17421,3137.44,28.82,0.2881848014281726,MEDIUM,72.33,P4,NORMAL_PROCESSING,No major risk signal detected
O04993,4230.93,52.57,0.5256804339297377,HIGH,177.93,P3,MONITOR,Elevated predicted return probability
O05199,17283.82,18.51,0.1850515644907636,LOW,255.87,P4,NORMAL_PROCESSING,No major risk signal detected
O06742,2149.36,30.85,0.3084547288672072,MEDIUM,53.04,P4,NORMAL_PROCESSING,No major risk signal detected
O12627,5132.22,59.03,0.5902820801155046,HIGH,242.36,P3,MONITOR,Elevated predicted return probability
O10092,6438.76,36.19,0.3618718662621212,MEDIUM,186.4,P4,NORMAL_PROCESSING,No major risk signal detected
O03676,3461.09,5.2,0.0519599995895912,LOW,14.39,P4,NORMAL_PROCESSING,No major risk signal detected
O08399,8183.42,38.55,0.3854683564288675,MEDIUM,252.36,P4,NORMAL_PROCESSING,No major risk signal detected
O15240,8096.1,13.08,0.1308062089681086,LOW,84.72,P4,NORMAL_PROCESSING,No major risk signal detected
O19014,6939.06,15.4,0.1540380928168235,LOW,85.51,P4,NORMAL_PROCESSING,No major risk signal detected
O03112,17018.54,9.69,0.0968583077408361,LOW,131.87,P4,NORMAL_PROCESSING,No major risk signal detected
O11643,4384.27,17.04,0.1703711155588368,LOW,59.76,P4,NORMAL_PROCESSING,No major risk signal detected
O10199,2518.14,43.16,0.4315840299215792,HIGH,86.94,P3,MONITOR,Elevated predicted return probability
O08439,9334.39,30.7,0.3069941884655136,MEDIUM,229.25,P4,NORMAL_PROCESSING,No major risk signal detected
O19656,9403.82,17.78,0.1778123243988194,LOW,133.77,P4,NORMAL_PROCESSING,No major risk signal detected
O18280,510.54,53.28,0.5328150262858767,HIGH,21.76,P3,MONITOR,Elevated predicted return probability
O00121,2768.87,13.73,0.1373458470431144,LOW,30.42,P4,NORMAL_PROCESSING,No major risk signal detected
O08367,20864.2,4.99,0.049856179365148,LOW,83.22,P4,NORMAL_PROCESSING,No major risk signal detected
O16679,7200.89,10.26,0.1025874577911794,LOW,59.1,P4,NORMAL_PROCESSING,No major risk signal detected
O14089,2856.28,38.73,0.3873220606735245,MEDIUM,88.5,P4,NORMAL_PROCESSING,No major risk signal detected
O03994,1197.74,4.76,0.0476130961977384,LOW,4.56,P4,NORMAL_PROCESSING,No major risk signal detected
O02269,4731.47,33.54,0.3354446546465838,MEDIUM,126.97,P4,NORMAL_PROCESSING,No major risk signal detected
O06907,22389.66,18.35,0.1834830120415533,LOW,328.65,P4,NORMAL_PROCESSING,No major risk signal detected
O15028,1693.84,10.79,0.1078811648142363,LOW,14.62,P4,NORMAL_PROCESSING,No major risk signal detected
O17614,45535.44,4.29,0.0429420966205154,LOW,156.43,P4,NORMAL_PROCESSING,Above-average order value
O18978,23781.67,36.51,0.3651390317773587,MEDIUM,694.69,P4,NORMAL_PROCESSING,No major risk signal detected
O15873,21375.72,3.73,0.0372907405361905,LOW,63.77,P4,NORMAL_PROCESSING,No major risk signal detected
O12216,7008.43,76.73,0.767283339791262,VERY_HIGH,430.2,P2,REVIEW,High predicted return probability
O09752,28919.84,21.78,0.2178099616838256,MEDIUM,503.92,P4,NORMAL_PROCESSING,Above-average order value
O07457,5380.98,17.35,0.1735463932892818,LOW,74.71,P4,NORMAL_PROCESSING,No major risk signal detected
O18939,7294.76,33.39,0.3338878338169321,MEDIUM,194.85,P4,NORMAL_PROCESSING,No major risk signal detected
O02336,2498.26,51.15,0.5115142903200656,HIGH,102.23,P3,MONITOR,Elevated predicted return probability
O12551,25160.84,11.83,0.1183066634767136,LOW,238.14,P4,NORMAL_PROCESSING,Above-average order value
O12585,8825.73,22.71,0.2270631863166591,MEDIUM,160.32,P4,NORMAL_PROCESSING,No major risk signal detected
O01228,1444.06,66.16,0.6616479857147064,VERY_HIGH,76.44,P2,REVIEW,High predicted return probability
O14020,7799.73,52.31,0.5230816407637846,HIGH,326.39,P3,MONITOR,Elevated predicted return probability
O13595,9536.1,27.32,0.2731579711944198,MEDIUM,208.39,P4,NORMAL_PROCESSING,No major risk signal detected
O15657,8585.01,58.75,0.5874713070563962,HIGH,403.48,P3,MONITOR,Elevated predicted return probability
O01783,5020.78,23.3,0.2330296626443071,MEDIUM,93.6,P4,NORMAL_PROCESSING,No major risk signal detected
O19593,3621.26,35.8,0.3579899516880371,MEDIUM,103.71,P4,NORMAL_PROCESSING,No major risk signal detected
O08799,1780.48,10.65,0.1065026863759301,LOW,15.17,P4,NORMAL_PROCESSING,No major risk signal detected
O06889,6292.05,41.42,0.4141747918896754,HIGH,208.48,P3,MONITOR,Elevated predicted return probability
O03177,5831.74,31.33,0.3132718652889113,MEDIUM,146.15,P4,NORMAL_PROCESSING,No major risk signal detected
O15201,2495.26,6.49,0.0648530512532178,LOW,12.95,P4,NORMAL_PROCESSING,No major risk signal detected
O18472,3393.06,15.31,0.1530702087146701,LOW,41.55,P4,NORMAL_PROCESSING,No major risk signal detected
O15288,3034.8,32.86,0.3285560807106434,MEDIUM,79.77,P4,NORMAL_PROCESSING,No major risk signal detected
O15460,6840.85,64.29,0.6429237421632663,VERY_HIGH,351.85,P2,REVIEW,High predicted return probability
O04625,2370.02,47.77,0.477748418806131,HIGH,90.58,P3,MONITOR,Elevated predicted return probability
O02151,11038.43,17.98,0.1798482429633487,LOW,158.82,P4,NORMAL_PROCESSING,No major risk signal detected
O00600,21267.23,10.57,0.1056517822281319,LOW,179.75,P4,NORMAL_PROCESSING,No major risk signal detected
O01836,6188.18,64.53,0.6452582938949306,VERY_HIGH,319.44,P2,REVIEW,High predicted return probability
O01385,24353.55,13.81,0.1380550027713698,LOW,268.97,P4,NORMAL_PROCESSING,No major risk signal detected
O13947,4320.53,26.66,0.2665660318010704,MEDIUM,92.14,P4,NORMAL_PROCESSING,No major risk signal detected
O01715,2464.6,17.66,0.1765538239507538,LOW,34.81,P4,NORMAL_PROCESSING,No major risk signal detected
O11487,896.0,23.87,0.2387366137111775,MEDIUM,17.11,P4,NORMAL_PROCESSING,No major risk signal detected
O06341,2885.38,21.94,0.2194306644273745,MEDIUM,50.65,P4,NORMAL_PROCESSING,No major risk signal detected
O02772,7222.48,33.35,0.3334972946085341,MEDIUM,192.69,P4,NORMAL_PROCESSING,No major risk signal detected
O09081,6072.08,8.31,0.0831272593884751,LOW,40.38,P4,NORMAL_PROCESSING,No major risk signal detected
O08242,1950.0,44.89,0.4489417017029525,HIGH,70.03,P3,MONITOR,Elevated predicted return probability
O05466,50685.9,6.91,0.0691159732061353,LOW,280.26,P4,NORMAL_PROCESSING,High-value order
O19263,8467.17,51.52,0.5151595721170849,HIGH,348.96,P3,MONITOR,Elevated predicted return probability
O04877,72827.86,14.7,0.1469847640053845,LOW,856.37,P4,NORMAL_PROCESSING,High-value order
O15667,1770.06,32.27,0.3227127177944358,MEDIUM,45.7,P4,NORMAL_PROCESSING,No major risk signal detected
O18255,2842.12,11.59,0.1158644758796143,LOW,26.34,P4,NORMAL_PROCESSING,No major risk signal detected
O03775,2182.96,57.13,0.5713006173517631,HIGH,99.77,P3,MONITOR,Elevated predicted return probability
O11738,880.74,27.1,0.2709728653527765,MEDIUM,19.09,P4,NORMAL_PROCESSING,No major risk signal detected
O15507,4962.73,62.73,0.627258771674586,VERY_HIGH,249.03,P2,REVIEW,High predicted return probability
O04561,3344.85,9.22,0.0921903859841859,LOW,24.67,P4,NORMAL_PROCESSING,No major risk signal detected
O07333,4485.46,22.41,0.2241171999058298,MEDIUM,80.42,P4,NORMAL_PROCESSING,No major risk signal detected
O06886,3688.43,27.72,0.2772095031411149,MEDIUM,81.8,P4,NORMAL_PROCESSING,No major risk signal detected
O13780,5175.96,42.75,0.4275367932567589,HIGH,177.03,P3,MONITOR,Elevated predicted return probability
O09457,2434.33,19.79,0.1978922507720426,LOW,38.54,P4,NORMAL_PROCESSING,No major risk signal detected
O09544,2293.46,49.07,0.4907440722266931,HIGH,90.04,P3,MONITOR,Elevated predicted return probability
O03823,20549.74,17.4,0.1739746921321307,LOW,286.01,P4,NORMAL_PROCESSING,No major risk signal detected
O11517,1892.2,58.38,0.5838231446943657,HIGH,88.38,P3,MONITOR,Elevated predicted return probability
O15126,7366.41,49.45,0.4944921946014305,HIGH,291.41,P3,MONITOR,Elevated predicted return probability
O14559,8801.05,37.16,0.3716025475406399,MEDIUM,261.64,P4,NORMAL_PROCESSING,No major risk signal detected
O15943,3033.18,51.17,0.5116640893600486,HIGH,124.16,P3,MONITOR,Elevated predicted return probability
O00258,4223.11,38.33,0.3833401208589906,MEDIUM,129.51,P4,NORMAL_PROCESSING,No major risk signal detected
O02042,3851.16,18.46,0.1845855058436483,LOW,56.87,P4,NORMAL_PROCESSING,No major risk signal detected
O00118,10908.65,50.29,0.5028804372768767,HIGH,438.86,P3,MONITOR,Elevated predicted return probability
O08855,25996.75,8.16,0.0816203291266797,LOW,169.75,P4,NORMAL_PROCESSING,Above-average order value
O02809,6534.07,43.61,0.4360529651703652,HIGH,227.94,P3,MONITOR,Elevated predicted return probability
O18014,17944.88,56.8,0.5679671515368636,HIGH,815.37,P3,MONITOR,Elevated predicted return probability
O14776,2015.7,51.74,0.5173709491753027,HIGH,83.43,P3,MONITOR,Elevated predicted return probability
O18699,6503.62,54.51,0.545120012604297,HIGH,283.62,P3,MONITOR,Elevated predicted return probability
O11670,4797.67,60.88,0.6088377277385513,VERY_HIGH,233.68,P2,REVIEW,High predicted return probability
O02408,43652.35,28.38,0.2838342765228691,MEDIUM,991.2,P4,NORMAL_PROCESSING,Above-average order value
O15428,68573.77,5.56,0.0555897393064778,LOW,304.96,P4,NORMAL_PROCESSING,High-value order
O03600,4553.29,30.27,0.3027359821948706,MEDIUM,110.28,P4,NORMAL_PROCESSING,No major risk signal detected
O07614,3213.32,30.22,0.3021979609748993,MEDIUM,77.68,P4,NORMAL_PROCESSING,No major risk signal detected
O06039,5009.79,59.79,0.5978596749732817,HIGH,239.61,P3,MONITOR,Elevated predicted return probability
O08066,39018.15,11.46,0.114575481236573,LOW,357.64,P4,NORMAL_PROCESSING,Above-average order value
O16273,1685.83,32.85,0.3285091164803178,MEDIUM,44.3,P4,NORMAL_PROCESSING,No major risk signal detected
O16866,250.73,36.59,0.3658568962972927,MEDIUM,7.34,P4,NORMAL_PROCESSING,No major risk signal detected
O17753,7823.35,18.71,0.1871216924682858,LOW,117.11,P4,NORMAL_PROCESSING,No major risk signal detected
