order_id,order_value,return_probability,risk_score,risk_tier,expected_return_exposure,priority,recommended_action,risk_reasons,top_risk_drivers,risk_reducing_factors
O11860,14192.26,0.1888941968306662,18.89,LOW,214.47,P4,NORMAL_PROCESSING,No major risk signal detected,Order value vs customer average increased predicted risk | Recent average order value increased predicted risk | Product price increased predicted risk | Historical average order value increased predicted risk | Previous Avg Discount increased predicted risk,Historical product return rate reduced predicted risk | 5-order return-rate change reduced predicted risk | Recent average order value reduced predicted risk | Account age reduced predicted risk | Previous order count reduced predicted risk
O02233,5760.71,0.3292421359729491,32.92,MEDIUM,151.73,P4,NORMAL_PROCESSING,No major risk signal detected,Historical product return rate increased predicted risk | Previous order count increased predicted risk | 5-order value change increased predicted risk | Previous average order value increased predicted risk | Product price increased predicted risk,5-order return-rate change reduced predicted risk | Recent order-value change reduced predicted risk | Account age reduced predicted risk | Order value vs customer average reduced predicted risk | Days since previous order reduced predicted risk
O07251,80640.9,0.0273989602410189,2.74,LOW,176.76,P4,NORMAL_PROCESSING,High-value order,Product price increased predicted risk | Recent order-value change increased predicted risk | Account age increased predicted risk | Days since previous order increased predicted risk | Previous order count increased predicted risk,Historical product return rate reduced predicted risk | Order value vs customer average reduced predicted risk | Order value reduced predicted risk | Discount behaviour change reduced predicted risk | Previous Avg Discount reduced predicted risk
O01528,68764.6,0.1837021737565582,18.37,LOW,1010.58,P4,NORMAL_PROCESSING,High estimated financial exposure | High-value order,Recent order-value change increased predicted risk | Product price increased predicted risk | Account age increased predicted risk | Recent average order value increased predicted risk | Recent purchase frequency increased predicted risk,Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Order value reduced predicted risk | 5-order value change reduced predicted risk | Discount percentage reduced predicted risk
O01698,1681.81,0.0466838617036174,4.67,LOW,6.28,P4,NORMAL_PROCESSING,No major risk signal detected,Days since previous order increased predicted risk | Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk | Order value increased predicted risk,Previous average order value reduced predicted risk | Product price reduced predicted risk | Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Order value vs customer average reduced predicted risk
O04642,4769.91,0.2282228163834809,22.82,MEDIUM,87.09,P4,NORMAL_PROCESSING,No major risk signal detected,Order value vs customer average increased predicted risk | Product price increased predicted risk | Historical average order value increased predicted risk | Days since previous order increased predicted risk | Recent average order value increased predicted risk,Historical product return rate reduced predicted risk | Discount percentage reduced predicted risk | 3-order return-rate change reduced predicted risk | Orders Last 90 Days reduced predicted risk | 5-order value change reduced predicted risk
O07479,76240.42,0.0636642003851341,6.37,LOW,388.3,P4,NORMAL_PROCESSING,High-value order,Order value vs customer average increased predicted risk | Account age increased predicted risk | Recent purchase frequency increased predicted risk | Orders Last 90 Days increased predicted risk | Previous average order value increased predicted risk,Days since previous order reduced predicted risk | Order value reduced predicted risk | Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Discount behaviour change reduced predicted risk
O10144,56321.02,0.1389330646492918,13.89,LOW,625.99,P4,NORMAL_PROCESSING,High-value order,Days since previous order increased predicted risk | Previous order count increased predicted risk | 5-order return-rate change increased predicted risk | Account age increased predicted risk | Recent purchase frequency increased predicted risk,Historical product return rate reduced predicted risk | Order value vs customer average reduced predicted risk | Recent order-value change reduced predicted risk | Order value reduced predicted risk | Recent average order value reduced predicted risk
O05295,2159.59,0.1356231806783696,13.56,LOW,23.43,P4,NORMAL_PROCESSING,No major risk signal detected,Account age increased predicted risk | Order value vs customer average increased predicted risk | Order value increased predicted risk | 5-order return-rate ratio increased predicted risk | Recent average order value increased predicted risk,Recent order-value change reduced predicted risk | Product price reduced predicted risk | Previous average order value reduced predicted risk | Historical product return rate reduced predicted risk | 5-order value change reduced predicted risk
O10545,383.86,0.2864559232725223,28.65,MEDIUM,8.8,P4,NORMAL_PROCESSING,No major risk signal detected,Days since previous order increased predicted risk | Order value increased predicted risk | Recent average order value increased predicted risk | Previous average order value increased predicted risk | Account age increased predicted risk,Product price reduced predicted risk | Order value vs customer average reduced predicted risk | Historical product return rate reduced predicted risk | Discount percentage reduced predicted risk | Recent vs previous return behaviour reduced predicted risk
O09173,3644.84,0.0861231489048039,8.61,LOW,25.11,P4,NORMAL_PROCESSING,No major risk signal detected,Days since previous order increased predicted risk | Discount percentage increased predicted risk | Previous order count increased predicted risk | Recent average order value increased predicted risk | Order value vs customer average increased predicted risk,Recent order-value change reduced predicted risk | Historical product return rate reduced predicted risk | Previous average order value reduced predicted risk | Discount behaviour change reduced predicted risk | Previous Avg Discount reduced predicted risk
O04810,80842.13,0.0748894494968378,7.49,LOW,484.34,P4,NORMAL_PROCESSING,High-value order,5-order return-rate change increased predicted risk | Previous average order value increased predicted risk | 5-order value change increased predicted risk | Order value vs customer average increased predicted risk | Recent vs previous return behaviour increased predicted risk,Historical product return rate reduced predicted risk | Order value reduced predicted risk | Historical average order value reduced predicted risk | Recent average order value reduced predicted risk | Days since previous order reduced predicted risk
O08428,5321.9,0.1898001308823079,18.98,LOW,80.81,P4,NORMAL_PROCESSING,No major risk signal detected,Historical average order value increased predicted risk | Product price increased predicted risk | Recent average order value increased predicted risk | Recent purchase frequency increased predicted risk | Account age increased predicted risk,5-order value change reduced predicted risk | Historical product return rate reduced predicted risk | Previous order count reduced predicted risk | Orders Considered Last 10 reduced predicted risk | Recent average order value reduced predicted risk
O06473,5218.71,0.6093333223504311,60.93,VERY_HIGH,254.39,P2,REVIEW,High predicted return probability,Historical product return rate increased predicted risk | Previous average order value increased predicted risk | Order value vs customer average increased predicted risk | Product price increased predicted risk | 5-order return-rate change increased predicted risk,Recent average order value reduced predicted risk | Orders Last 90 Days reduced predicted risk | Previous Avg Discount reduced predicted risk | Category switching behaviour reduced predicted risk | Size Variant reduced predicted risk
O01088,428.08,0.1450159076295605,14.5,LOW,4.97,P4,NORMAL_PROCESSING,No major risk signal detected,Discount behaviour change increased predicted risk | Discount percentage increased predicted risk | Order value vs customer average increased predicted risk | Order value increased predicted risk | Recent average order value increased predicted risk,Historical product return rate reduced predicted risk | Previous average order value reduced predicted risk | Product price reduced predicted risk | Days since previous order reduced predicted risk | Previous Avg Discount reduced predicted risk
O01515,924.17,0.1898689361102222,18.99,LOW,14.04,P4,NORMAL_PROCESSING,No major risk signal detected,Order value increased predicted risk | Previous Avg Discount increased predicted risk | Discount behaviour change increased predicted risk | Previous average order value increased predicted risk | 5-order value change increased predicted risk,Historical product return rate reduced predicted risk | Historical average order value reduced predicted risk | Recent average order value reduced predicted risk | Recent order-value change reduced predicted risk | Account age reduced predicted risk
O08535,2391.15,0.4008081774489837,40.08,HIGH,76.67,P3,MONITOR,Elevated predicted return probability,Historical product return rate increased predicted risk | Recent order-value change increased predicted risk | Order value increased predicted risk | Order value vs customer average increased predicted risk | Previous Avg Discount increased predicted risk,Account age reduced predicted risk | Recent vs previous return behaviour reduced predicted risk | Recent 5-order return rate reduced predicted risk | 5-order value change reduced predicted risk | Historical average order value reduced predicted risk
O16729,2654.01,0.510255224132341,51.03,HIGH,108.34,P3,MONITOR,Elevated predicted return probability,Historical product return rate increased predicted risk | Previous order count increased predicted risk | 5-order return-rate change increased predicted risk | Order value increased predicted risk | Recent order-value change increased predicted risk,Account age reduced predicted risk | 5-order value change reduced predicted risk | Recent average order value reduced predicted risk | Product price reduced predicted risk | City tier reduced predicted risk
O14809,2166.09,0.5165939780411696,51.66,HIGH,89.52,P3,MONITOR,Elevated predicted return probability,Historical product return rate increased predicted risk | Order value vs customer average increased predicted risk | Account age increased predicted risk | Recent average order value increased predicted risk | Recent order-value change increased predicted risk,Product price reduced predicted risk | Historical average order value reduced predicted risk | Discount behaviour change reduced predicted risk | Days since previous order reduced predicted risk | Discount percentage reduced predicted risk
O15539,618.16,0.1040838691416092,10.41,LOW,5.15,P4,NORMAL_PROCESSING,No major risk signal detected,Order value increased predicted risk | Historical average order value increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk | Recent purchase frequency increased predicted risk,Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Order value vs customer average reduced predicted risk | Discount percentage reduced predicted risk | Product price reduced predicted risk
O10152,41279.4,0.4673727589956083,46.74,HIGH,1543.43,P2,REVIEW,Elevated predicted return probability | High estimated financial exposure | Above-average order value,5-order return-rate change increased predicted risk | Previous order count increased predicted risk | Days since previous order increased predicted risk | Category switching behaviour increased predicted risk | Recent average order value increased predicted risk,Historical product return rate reduced predicted risk | Order value vs customer average reduced predicted risk | Recent average order value reduced predicted risk | Recent order-value change reduced predicted risk | Order value reduced predicted risk
O09442,4123.47,0.2305172249796119,23.05,MEDIUM,76.04,P4,NORMAL_PROCESSING,No major risk signal detected,Historical product return rate increased predicted risk | Days since previous order increased predicted risk | Product price increased predicted risk | Account age increased predicted risk | Recent average order value increased predicted risk,Recent order-value change reduced predicted risk | Previous average order value reduced predicted risk | Previous Avg Discount reduced predicted risk | Order value reduced predicted risk | Orders Last 90 Days reduced predicted risk
O01378,76441.01,0.0876760023246164,8.77,LOW,536.16,P4,NORMAL_PROCESSING,High-value order,Recent order-value change increased predicted risk | Product price increased predicted risk | 5-order return-rate change increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk,Days since previous order reduced predicted risk | Historical product return rate reduced predicted risk | Order value reduced predicted risk | Recent average order value reduced predicted risk | Order value vs customer average reduced predicted risk
O10625,1976.48,0.137730868926945,13.77,LOW,21.78,P4,NORMAL_PROCESSING,No major risk signal detected,5-order return-rate change increased predicted risk | Category switching behaviour increased predicted risk | Order value increased predicted risk | Previous Avg Discount increased predicted risk | Historical average order value increased predicted risk,Recent order-value change reduced predicted risk | 5-order value change reduced predicted risk | Historical product return rate reduced predicted risk | Product price reduced predicted risk | Previous average order value reduced predicted risk
O02773,40515.38,0.2236688352294413,22.37,MEDIUM,724.96,P4,NORMAL_PROCESSING,Above-average order value,Account age increased predicted risk | 5-order value change increased predicted risk | Recent purchase frequency increased predicted risk | Previous Avg Discount increased predicted risk | Customer historical return rate increased predicted risk,Recent order-value change reduced predicted risk | Historical product return rate reduced predicted risk | Recent vs previous return behaviour reduced predicted risk | Recent 5-order return rate reduced predicted risk | 5-order return-rate change reduced predicted risk
O05038,1403.72,0.3899376135523701,38.99,MEDIUM,43.79,P4,NORMAL_PROCESSING,No major risk signal detected,Historical product return rate increased predicted risk | Account age increased predicted risk | Order value increased predicted risk | Previous Avg Discount increased predicted risk | Recent purchase frequency increased predicted risk,Product price reduced predicted risk | Discount behaviour change reduced predicted risk | Orders Last 90 Days reduced predicted risk | Recent average order value reduced predicted risk | Discount percentage reduced predicted risk
O09556,528.78,0.19245041596027,19.25,LOW,8.14,P4,NORMAL_PROCESSING,No major risk signal detected,Account age increased predicted risk | Order value vs customer average increased predicted risk | Order value increased predicted risk | Previous average order value increased predicted risk | Previous Avg Discount increased predicted risk,Recent order-value change reduced predicted risk | Historical product return rate reduced predicted risk | Recent vs previous return behaviour reduced predicted risk | Product price reduced predicted risk | Recent 5-order return rate reduced predicted risk
O16049,1804.36,0.3387127817643013,33.87,MEDIUM,48.89,P4,NORMAL_PROCESSING,No major risk signal detected,Historical product return rate increased predicted risk | Size Variant increased predicted risk | Order value increased predicted risk | Historical average order value increased predicted risk | Discount behaviour change increased predicted risk,Recent order-value change reduced predicted risk | Previous average order value reduced predicted risk | Product price reduced predicted risk | Days since previous order reduced predicted risk | Order value vs customer average reduced predicted risk
O03843,2651.21,0.0941053458968483,9.41,LOW,19.96,P4,NORMAL_PROCESSING,No major risk signal detected,Order value increased predicted risk | Order value vs customer average increased predicted risk | Previous Avg Discount increased predicted risk | Customer historical return rate increased predicted risk | Days since previous order increased predicted risk,5-order value change reduced predicted risk | Historical product return rate reduced predicted risk | Account age reduced predicted risk | Recent order-value change reduced predicted risk | Recent average order value reduced predicted risk
O10164,6772.3,0.4506196948951846,45.06,HIGH,244.14,P3,MONITOR,Elevated predicted return probability,Historical product return rate increased predicted risk | Previous order count increased predicted risk | Order value vs customer average increased predicted risk | Product price increased predicted risk | Discount percentage increased predicted risk,5-order return-rate change reduced predicted risk | Recent average order value reduced predicted risk | Discount behaviour change reduced predicted risk | Order value reduced predicted risk | Recent order-value change reduced predicted risk
O15282,363.65,0.2132987701545189,21.33,MEDIUM,6.21,P4,NORMAL_PROCESSING,No major risk signal detected,Days since previous order increased predicted risk | Order value increased predicted risk | Previous Avg Discount increased predicted risk | Recent purchase frequency increased predicted risk | Recent order-value change increased predicted risk,Historical product return rate reduced predicted risk | Discount behaviour change reduced predicted risk | Recent average order value reduced predicted risk | Product price reduced predicted risk | Order value vs customer average reduced predicted risk
O14357,19340.93,0.2442129543327137,24.42,MEDIUM,377.86,P4,NORMAL_PROCESSING,No major risk signal detected,Previous average order value increased predicted risk | 5-order value change increased predicted risk | Days since previous order increased predicted risk | Recent average order value increased predicted risk | Previous Avg Discount increased predicted risk,Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Order value reduced predicted risk | Customer historical return rate reduced predicted risk | 3-order return-rate change reduced predicted risk
O08730,5823.75,0.1565076197203762,15.65,LOW,72.92,P4,NORMAL_PROCESSING,No major risk signal detected,Historical product return rate increased predicted risk | Category switching behaviour increased predicted risk | Recent purchase frequency increased predicted risk | Product price increased predicted risk | City tier increased predicted risk,5-order value change reduced predicted risk | Recent order-value change reduced predicted risk | Account age reduced predicted risk | Recent average order value reduced predicted risk | Previous order count reduced predicted risk
O05761,2982.22,0.2881795409677861,28.82,MEDIUM,68.75,P4,NORMAL_PROCESSING,No major risk signal detected,Discount percentage increased predicted risk | Order value increased predicted risk | Product price increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk,Discount behaviour change reduced predicted risk | Recent average order value reduced predicted risk | Recent order-value change reduced predicted risk | Historical average order value reduced predicted risk | Historical product return rate reduced predicted risk
O03555,3142.32,0.2784958161833072,27.85,MEDIUM,70.01,P4,NORMAL_PROCESSING,No major risk signal detected,Recent order-value change increased predicted risk | Previous order count increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk | Recent average order value increased predicted risk,Previous average order value reduced predicted risk | Historical product return rate reduced predicted risk | 5-order return-rate change reduced predicted risk | Orders Last 90 Days reduced predicted risk | Days since previous order reduced predicted risk
O19419,9258.42,0.2006771778578911,20.07,MEDIUM,148.64,P4,NORMAL_PROCESSING,No major risk signal detected,Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk | Order value vs customer average increased predicted risk | Previous average order value increased predicted risk,Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Discount percentage reduced predicted risk | Days since previous order reduced predicted risk | Discount behaviour change reduced predicted risk
O02597,5414.27,0.5621113058084032,56.21,HIGH,243.47,P3,MONITOR,Elevated predicted return probability,Historical product return rate increased predicted risk | Previous order count increased predicted risk | Product price increased predicted risk | Recent purchase frequency increased predicted risk | Order value vs customer average increased predicted risk,Account age reduced predicted risk | Previous average order value reduced predicted risk | 5-order value change reduced predicted risk | Recent order-value change reduced predicted risk | Size Variant reduced predicted risk
O17620,1778.29,0.2380999001962923,23.81,MEDIUM,33.87,P4,NORMAL_PROCESSING,No major risk signal detected,Account age increased predicted risk | Order value vs customer average increased predicted risk | Order value increased predicted risk | Recent average order value increased predicted risk | Previous average order value increased predicted risk,5-order value change reduced predicted risk | Historical product return rate reduced predicted risk | Previous order count reduced predicted risk | 5-order return-rate change reduced predicted risk | Product price reduced predicted risk
O03928,2421.34,0.2990209820357158,29.9,MEDIUM,57.92,P4,NORMAL_PROCESSING,No major risk signal detected,Order value increased predicted risk | Recent purchase frequency increased predicted risk | Recent order-value change increased predicted risk | Orders Last 90 Days increased predicted risk | Orders Considered Last 5 increased predicted risk,Product price reduced predicted risk | Recent average order value reduced predicted risk | Account age reduced predicted risk | Order value vs customer average reduced predicted risk | Previous Avg Discount reduced predicted risk
O17077,55426.69,0.0440564797594755,4.41,LOW,195.35,P4,NORMAL_PROCESSING,High-value order,5-order return-rate change increased predicted risk | 5-order value change increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk | Recent purchase frequency increased predicted risk,Historical product return rate reduced predicted risk | Days since previous order reduced predicted risk | Recent order-value change reduced predicted risk | Recent average order value reduced predicted risk | Previous average order value reduced predicted risk
O14316,7336.74,0.337142262957886,33.71,MEDIUM,197.88,P4,NORMAL_PROCESSING,No major risk signal detected,Historical product return rate increased predicted risk | Order value vs customer average increased predicted risk | Account age increased predicted risk | Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk,5-order value change reduced predicted risk | Previous order count reduced predicted risk | Recent order-value change reduced predicted risk | Days since previous order reduced predicted risk | Previous average order value reduced predicted risk
O13021,37273.91,0.0492040941322186,4.92,LOW,146.72,P4,NORMAL_PROCESSING,Above-average order value,5-order value change increased predicted risk | Recent average order value increased predicted risk | Historical average order value increased predicted risk | Recent purchase frequency increased predicted risk | Account age increased predicted risk,Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Recent order-value change reduced predicted risk | Previous order count reduced predicted risk | Order value vs customer average reduced predicted risk
O12879,3270.87,0.1222319981909158,12.22,LOW,31.98,P4,NORMAL_PROCESSING,No major risk signal detected,Previous average order value increased predicted risk | Recent average order value increased predicted risk | Recent purchase frequency increased predicted risk | Historical average order value increased predicted risk | Previous order count increased predicted risk,Historical product return rate reduced predicted risk | Product price reduced predicted risk | Order value reduced predicted risk | Recent order-value change reduced predicted risk | Recent average order value reduced predicted risk
O17001,1369.98,0.2184932878884647,21.85,MEDIUM,23.95,P4,NORMAL_PROCESSING,No major risk signal detected,Order value increased predicted risk | Recent purchase frequency increased predicted risk | Recent order-value change increased predicted risk | Discount behaviour change increased predicted risk | 5-order value change increased predicted risk,Historical product return rate reduced predicted risk | Historical average order value reduced predicted risk | Product price reduced predicted risk | Recent average order value reduced predicted risk | Discount percentage reduced predicted risk
O10927,21267.23,0.0275128696223724,2.75,LOW,46.81,P4,NORMAL_PROCESSING,No major risk signal detected,Recent order-value change increased predicted risk | Recent average order value increased predicted risk | Recent purchase frequency increased predicted risk | Previous Avg Discount increased predicted risk | Recent return rate increased predicted risk,Historical product return rate reduced predicted risk | Order value vs customer average reduced predicted risk | Recent average order value reduced predicted risk | Account age reduced predicted risk | Previous order count reduced predicted risk
O08018,6929.14,0.4978122452077815,49.78,HIGH,275.95,P3,MONITOR,Elevated predicted return probability,Historical product return rate increased predicted risk | 5-order return-rate change increased predicted risk | Previous Avg Discount increased predicted risk | Order value vs customer average increased predicted risk | Order value increased predicted risk,Days since previous order reduced predicted risk | Previous average order value reduced predicted risk | Account age reduced predicted risk | Discount percentage reduced predicted risk | Historical average order value reduced predicted risk
O19694,31808.28,0.1052342662611774,10.52,LOW,267.79,P4,NORMAL_PROCESSING,Above-average order value,Days since previous order increased predicted risk | Recent average order value increased predicted risk | Discount behaviour change increased predicted risk | Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk,Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Product price reduced predicted risk | Account age reduced predicted risk | Order value reduced predicted risk
O10749,62364.52,0.3242097690406678,32.42,MEDIUM,1617.53,P4,NORMAL_PROCESSING,High estimated financial exposure | High-value order,Order value vs customer average increased predicted risk | Previous order count increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk | Recent average order value increased predicted risk,Historical product return rate reduced predicted risk | 5-order value change reduced predicted risk | Recent order-value change reduced predicted risk | Order value reduced predicted risk | Size Variant reduced predicted risk
O17851,13655.14,0.3032269883746421,30.32,MEDIUM,331.25,P4,NORMAL_PROCESSING,No major risk signal detected,Historical product return rate increased predicted risk | Order value vs customer average increased predicted risk | Recent purchase frequency increased predicted risk | Size Variant increased predicted risk | Recent order-value change increased predicted risk,Order value reduced predicted risk | Days since previous order reduced predicted risk | Recent average order value reduced predicted risk | Product price reduced predicted risk | Previous Avg Discount reduced predicted risk
O00218,1471.33,0.2909754841115978,29.1,MEDIUM,34.25,P4,NORMAL_PROCESSING,No major risk signal detected,Recent order-value change increased predicted risk | Order value vs customer average increased predicted risk | Account age increased predicted risk | Previous Avg Discount increased predicted risk | Order value increased predicted risk,Recent purchase frequency reduced predicted risk | Historical product return rate reduced predicted risk | 5-order value change reduced predicted risk | Product price reduced predicted risk | Discount behaviour change reduced predicted risk
O05098,5781.19,0.6934292482870065,69.34,VERY_HIGH,320.71,P2,REVIEW,High predicted return probability,Historical product return rate increased predicted risk | Order value increased predicted risk | Discount percentage increased predicted risk | Product price increased predicted risk | Returns Last 5 increased predicted risk,Previous average order value reduced predicted risk | Days since previous order reduced predicted risk | Size Variant reduced predicted risk | Previous order count reduced predicted risk | Category switching behaviour reduced predicted risk
O15547,1494.69,0.4220954564338435,42.21,HIGH,50.47,P3,MONITOR,Elevated predicted return probability,Order value increased predicted risk | Discount percentage increased predicted risk | Days since previous order increased predicted risk | Historical product return rate increased predicted risk | Discount behaviour change increased predicted risk,5-order value change reduced predicted risk | Product price reduced predicted risk | Recent order-value change reduced predicted risk | Order value vs customer average reduced predicted risk | Historical average order value reduced predicted risk
O04583,4528.41,0.3823223629056849,38.23,MEDIUM,138.5,P4,NORMAL_PROCESSING,No major risk signal detected,Order value vs customer average increased predicted risk | Discount percentage increased predicted risk | Historical product return rate increased predicted risk | City tier increased predicted risk | Recent order-value change increased predicted risk,Order value reduced predicted risk | Historical average order value reduced predicted risk | Size Variant reduced predicted risk | Returns Last 5 reduced predicted risk | Customer historical return rate reduced predicted risk
O02870,5492.72,0.2279467177184409,22.79,MEDIUM,100.16,P4,NORMAL_PROCESSING,No major risk signal detected,Historical product return rate increased predicted risk | Previous Avg Discount increased predicted risk | Product price increased predicted risk | Account age increased predicted risk | Recent average order value increased predicted risk,Days since previous order reduced predicted risk | Recent order-value change reduced predicted risk | Recent average order value reduced predicted risk | Previous average order value reduced predicted risk | 5-order value change reduced predicted risk
O11546,11444.52,0.4753792577353202,47.54,HIGH,435.24,P3,MONITOR,Elevated predicted return probability,Historical product return rate increased predicted risk | Size Variant increased predicted risk | Previous average order value increased predicted risk | Order value increased predicted risk | City tier increased predicted risk,Recent order-value change reduced predicted risk | Recent 5-order return rate reduced predicted risk | 5-order value change reduced predicted risk | Recent vs previous return behaviour reduced predicted risk | Discount percentage reduced predicted risk
O11216,4481.26,0.2633146339015166,26.33,MEDIUM,94.4,P4,NORMAL_PROCESSING,No major risk signal detected,Historical product return rate increased predicted risk | Product price increased predicted risk | Order value increased predicted risk | Historical average order value increased predicted risk | Discount behaviour change increased predicted risk,Previous average order value reduced predicted risk | Recent average order value reduced predicted risk | Recent purchase frequency reduced predicted risk | Days since previous order reduced predicted risk | 5-order value change reduced predicted risk
O00732,6407.25,0.3727192723396946,37.27,MEDIUM,191.05,P4,NORMAL_PROCESSING,No major risk signal detected,Historical product return rate increased predicted risk | Recent purchase frequency increased predicted risk | Product price increased predicted risk | Account age increased predicted risk | Historical average order value increased predicted risk,Recent order-value change reduced predicted risk | Previous average order value reduced predicted risk | Recent average order value reduced predicted risk | Customer historical return rate reduced predicted risk | 5-order value change reduced predicted risk
O17299,1322.83,0.4856724872130051,48.57,HIGH,51.4,P3,MONITOR,Elevated predicted return probability,Historical product return rate increased predicted risk | Account age increased predicted risk | Previous order count increased predicted risk | Size Variant increased predicted risk | Recent average order value increased predicted risk,Previous average order value reduced predicted risk | Product price reduced predicted risk | Recent order-value change reduced predicted risk | Days since previous order reduced predicted risk | 5-order return-rate change reduced predicted risk
