order_id,return_probability,risk_score,top_risk_drivers,risk_reducing_factors
O06473,0.609333,60.93,Historical product return rate increased predicted risk | Previous average order value increased predicted risk | Order value vs customer average increased predicted risk | Product price increased predicted risk | 5-order return-rate change increased predicted risk,Recent average order value reduced predicted risk | Orders Last 90 Days reduced predicted risk | Previous Avg Discount reduced predicted risk | Category switching behaviour reduced predicted risk | Size Variant reduced predicted risk
O01088,0.145016,14.5,Discount behaviour change increased predicted risk | Discount percentage increased predicted risk | Order value vs customer average increased predicted risk | Order value increased predicted risk | Recent average order value increased predicted risk,Historical product return rate reduced predicted risk | Previous average order value reduced predicted risk | Product price reduced predicted risk | Days since previous order reduced predicted risk | Previous Avg Discount reduced predicted risk
O01515,0.189869,18.99,Order value increased predicted risk | Previous Avg Discount increased predicted risk | Discount behaviour change increased predicted risk | Previous average order value increased predicted risk | 5-order value change increased predicted risk,Historical product return rate reduced predicted risk | Historical average order value reduced predicted risk | Recent average order value reduced predicted risk | Recent order-value change reduced predicted risk | Account age reduced predicted risk
O08535,0.400808,40.08,Historical product return rate increased predicted risk | Recent order-value change increased predicted risk | Order value increased predicted risk | Order value vs customer average increased predicted risk | Previous Avg Discount increased predicted risk,Account age reduced predicted risk | Recent vs previous return behaviour reduced predicted risk | Recent 5-order return rate reduced predicted risk | 5-order value change reduced predicted risk | Historical average order value reduced predicted risk
O16729,0.510255,51.03,Historical product return rate increased predicted risk | Previous order count increased predicted risk | 5-order return-rate change increased predicted risk | Order value increased predicted risk | Recent order-value change increased predicted risk,Account age reduced predicted risk | 5-order value change reduced predicted risk | Recent average order value reduced predicted risk | Product price reduced predicted risk | City tier reduced predicted risk
O14809,0.516594,51.66,Historical product return rate increased predicted risk | Order value vs customer average increased predicted risk | Account age increased predicted risk | Recent average order value increased predicted risk | Recent order-value change increased predicted risk,Product price reduced predicted risk | Historical average order value reduced predicted risk | Discount behaviour change reduced predicted risk | Days since previous order reduced predicted risk | Discount percentage reduced predicted risk
O15539,0.104084,10.41,Order value increased predicted risk | Historical average order value increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk | Recent purchase frequency increased predicted risk,Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Order value vs customer average reduced predicted risk | Discount percentage reduced predicted risk | Product price reduced predicted risk
O10152,0.467373,46.74,5-order return-rate change increased predicted risk | Previous order count increased predicted risk | Days since previous order increased predicted risk | Category switching behaviour increased predicted risk | Recent average order value increased predicted risk,Historical product return rate reduced predicted risk | Order value vs customer average reduced predicted risk | Recent average order value reduced predicted risk | Recent order-value change reduced predicted risk | Order value reduced predicted risk
O09442,0.230517,23.05,Historical product return rate increased predicted risk | Days since previous order increased predicted risk | Product price increased predicted risk | Account age increased predicted risk | Recent average order value increased predicted risk,Recent order-value change reduced predicted risk | Previous average order value reduced predicted risk | Previous Avg Discount reduced predicted risk | Order value reduced predicted risk | Orders Last 90 Days reduced predicted risk
O01378,0.087676,8.77,Recent order-value change increased predicted risk | Product price increased predicted risk | 5-order return-rate change increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk,Days since previous order reduced predicted risk | Historical product return rate reduced predicted risk | Order value reduced predicted risk | Recent average order value reduced predicted risk | Order value vs customer average reduced predicted risk
O10625,0.137731,13.77,5-order return-rate change increased predicted risk | Category switching behaviour increased predicted risk | Order value increased predicted risk | Previous Avg Discount increased predicted risk | Historical average order value increased predicted risk,Recent order-value change reduced predicted risk | 5-order value change reduced predicted risk | Historical product return rate reduced predicted risk | Product price reduced predicted risk | Previous average order value reduced predicted risk
O02773,0.223669,22.37,Account age increased predicted risk | 5-order value change increased predicted risk | Recent purchase frequency increased predicted risk | Previous Avg Discount increased predicted risk | Customer historical return rate increased predicted risk,Recent order-value change reduced predicted risk | Historical product return rate reduced predicted risk | Recent vs previous return behaviour reduced predicted risk | Recent 5-order return rate reduced predicted risk | 5-order return-rate change reduced predicted risk
O05038,0.389938,38.99,Historical product return rate increased predicted risk | Account age increased predicted risk | Order value increased predicted risk | Previous Avg Discount increased predicted risk | Recent purchase frequency increased predicted risk,Product price reduced predicted risk | Discount behaviour change reduced predicted risk | Orders Last 90 Days reduced predicted risk | Recent average order value reduced predicted risk | Discount percentage reduced predicted risk
O09556,0.19245,19.25,Account age increased predicted risk | Order value vs customer average increased predicted risk | Order value increased predicted risk | Previous average order value increased predicted risk | Previous Avg Discount increased predicted risk,Recent order-value change reduced predicted risk | Historical product return rate reduced predicted risk | Recent vs previous return behaviour reduced predicted risk | Product price reduced predicted risk | Recent 5-order return rate reduced predicted risk
O16049,0.338713,33.87,Historical product return rate increased predicted risk | Size Variant increased predicted risk | Order value increased predicted risk | Historical average order value increased predicted risk | Discount behaviour change increased predicted risk,Recent order-value change reduced predicted risk | Previous average order value reduced predicted risk | Product price reduced predicted risk | Days since previous order reduced predicted risk | Order value vs customer average reduced predicted risk
O03843,0.094105,9.41,Order value increased predicted risk | Order value vs customer average increased predicted risk | Previous Avg Discount increased predicted risk | Customer historical return rate increased predicted risk | Days since previous order increased predicted risk,5-order value change reduced predicted risk | Historical product return rate reduced predicted risk | Account age reduced predicted risk | Recent order-value change reduced predicted risk | Recent average order value reduced predicted risk
O10164,0.45062,45.06,Historical product return rate increased predicted risk | Previous order count increased predicted risk | Order value vs customer average increased predicted risk | Product price increased predicted risk | Discount percentage increased predicted risk,5-order return-rate change reduced predicted risk | Recent average order value reduced predicted risk | Discount behaviour change reduced predicted risk | Order value reduced predicted risk | Recent order-value change reduced predicted risk
O15282,0.213299,21.33,Days since previous order increased predicted risk | Order value increased predicted risk | Previous Avg Discount increased predicted risk | Recent purchase frequency increased predicted risk | Recent order-value change increased predicted risk,Historical product return rate reduced predicted risk | Discount behaviour change reduced predicted risk | Recent average order value reduced predicted risk | Product price reduced predicted risk | Order value vs customer average reduced predicted risk
O14357,0.244213,24.42,Previous average order value increased predicted risk | 5-order value change increased predicted risk | Days since previous order increased predicted risk | Recent average order value increased predicted risk | Previous Avg Discount increased predicted risk,Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Order value reduced predicted risk | Customer historical return rate reduced predicted risk | 3-order return-rate change reduced predicted risk
O08730,0.156508,15.65,Historical product return rate increased predicted risk | Category switching behaviour increased predicted risk | Recent purchase frequency increased predicted risk | Product price increased predicted risk | City tier increased predicted risk,5-order value change reduced predicted risk | Recent order-value change reduced predicted risk | Account age reduced predicted risk | Recent average order value reduced predicted risk | Previous order count reduced predicted risk
O05761,0.28818,28.82,Discount percentage increased predicted risk | Order value increased predicted risk | Product price increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk,Discount behaviour change reduced predicted risk | Recent average order value reduced predicted risk | Recent order-value change reduced predicted risk | Historical average order value reduced predicted risk | Historical product return rate reduced predicted risk
O03555,0.278496,27.85,Recent order-value change increased predicted risk | Previous order count increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk | Recent average order value increased predicted risk,Previous average order value reduced predicted risk | Historical product return rate reduced predicted risk | 5-order return-rate change reduced predicted risk | Orders Last 90 Days reduced predicted risk | Days since previous order reduced predicted risk
O19419,0.200677,20.07,Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk | Order value vs customer average increased predicted risk | Previous average order value increased predicted risk,Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Discount percentage reduced predicted risk | Days since previous order reduced predicted risk | Discount behaviour change reduced predicted risk
O02597,0.562111,56.21,Historical product return rate increased predicted risk | Previous order count increased predicted risk | Product price increased predicted risk | Recent purchase frequency increased predicted risk | Order value vs customer average increased predicted risk,Account age reduced predicted risk | Previous average order value reduced predicted risk | 5-order value change reduced predicted risk | Recent order-value change reduced predicted risk | Size Variant reduced predicted risk
O17620,0.2381,23.81,Account age increased predicted risk | Order value vs customer average increased predicted risk | Order value increased predicted risk | Recent average order value increased predicted risk | Previous average order value increased predicted risk,5-order value change reduced predicted risk | Historical product return rate reduced predicted risk | Previous order count reduced predicted risk | 5-order return-rate change reduced predicted risk | Product price reduced predicted risk
O03928,0.299021,29.9,Order value increased predicted risk | Recent purchase frequency increased predicted risk | Recent order-value change increased predicted risk | Orders Last 90 Days increased predicted risk | Orders Considered Last 5 increased predicted risk,Product price reduced predicted risk | Recent average order value reduced predicted risk | Account age reduced predicted risk | Order value vs customer average reduced predicted risk | Previous Avg Discount reduced predicted risk
O17077,0.044056,4.41,5-order return-rate change increased predicted risk | 5-order value change increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk | Recent purchase frequency increased predicted risk,Historical product return rate reduced predicted risk | Days since previous order reduced predicted risk | Recent order-value change reduced predicted risk | Recent average order value reduced predicted risk | Previous average order value reduced predicted risk
O14316,0.337142,33.71,Historical product return rate increased predicted risk | Order value vs customer average increased predicted risk | Account age increased predicted risk | Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk,5-order value change reduced predicted risk | Previous order count reduced predicted risk | Recent order-value change reduced predicted risk | Days since previous order reduced predicted risk | Previous average order value reduced predicted risk
O13021,0.049204,4.92,5-order value change increased predicted risk | Recent average order value increased predicted risk | Historical average order value increased predicted risk | Recent purchase frequency increased predicted risk | Account age increased predicted risk,Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Recent order-value change reduced predicted risk | Previous order count reduced predicted risk | Order value vs customer average reduced predicted risk
O12879,0.122232,12.22,Previous average order value increased predicted risk | Recent average order value increased predicted risk | Recent purchase frequency increased predicted risk | Historical average order value increased predicted risk | Previous order count increased predicted risk,Historical product return rate reduced predicted risk | Product price reduced predicted risk | Order value reduced predicted risk | Recent order-value change reduced predicted risk | Recent average order value reduced predicted risk
O17001,0.218493,21.85,Order value increased predicted risk | Recent purchase frequency increased predicted risk | Recent order-value change increased predicted risk | Discount behaviour change increased predicted risk | 5-order value change increased predicted risk,Historical product return rate reduced predicted risk | Historical average order value reduced predicted risk | Product price reduced predicted risk | Recent average order value reduced predicted risk | Discount percentage reduced predicted risk
O10927,0.027513,2.75,Recent order-value change increased predicted risk | Recent average order value increased predicted risk | Recent purchase frequency increased predicted risk | Previous Avg Discount increased predicted risk | Recent return rate increased predicted risk,Historical product return rate reduced predicted risk | Order value vs customer average reduced predicted risk | Recent average order value reduced predicted risk | Account age reduced predicted risk | Previous order count reduced predicted risk
O08018,0.497812,49.78,Historical product return rate increased predicted risk | 5-order return-rate change increased predicted risk | Previous Avg Discount increased predicted risk | Order value vs customer average increased predicted risk | Order value increased predicted risk,Days since previous order reduced predicted risk | Previous average order value reduced predicted risk | Account age reduced predicted risk | Discount percentage reduced predicted risk | Historical average order value reduced predicted risk
O19694,0.105234,10.52,Days since previous order increased predicted risk | Recent average order value increased predicted risk | Discount behaviour change increased predicted risk | Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk,Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Product price reduced predicted risk | Account age reduced predicted risk | Order value reduced predicted risk
O10749,0.32421,32.42,Order value vs customer average increased predicted risk | Previous order count increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk | Recent average order value increased predicted risk,Historical product return rate reduced predicted risk | 5-order value change reduced predicted risk | Recent order-value change reduced predicted risk | Order value reduced predicted risk | Size Variant reduced predicted risk
O17851,0.303227,30.32,Historical product return rate increased predicted risk | Order value vs customer average increased predicted risk | Recent purchase frequency increased predicted risk | Size Variant increased predicted risk | Recent order-value change increased predicted risk,Order value reduced predicted risk | Days since previous order reduced predicted risk | Recent average order value reduced predicted risk | Product price reduced predicted risk | Previous Avg Discount reduced predicted risk
O00218,0.290975,29.1,Recent order-value change increased predicted risk | Order value vs customer average increased predicted risk | Account age increased predicted risk | Previous Avg Discount increased predicted risk | Order value increased predicted risk,Recent purchase frequency reduced predicted risk | Historical product return rate reduced predicted risk | 5-order value change reduced predicted risk | Product price reduced predicted risk | Discount behaviour change reduced predicted risk
O05098,0.693429,69.34,Historical product return rate increased predicted risk | Order value increased predicted risk | Discount percentage increased predicted risk | Product price increased predicted risk | Returns Last 5 increased predicted risk,Previous average order value reduced predicted risk | Days since previous order reduced predicted risk | Size Variant reduced predicted risk | Previous order count reduced predicted risk | Category switching behaviour reduced predicted risk
O15547,0.422095,42.21,Order value increased predicted risk | Discount percentage increased predicted risk | Days since previous order increased predicted risk | Historical product return rate increased predicted risk | Discount behaviour change increased predicted risk,5-order value change reduced predicted risk | Product price reduced predicted risk | Recent order-value change reduced predicted risk | Order value vs customer average reduced predicted risk | Historical average order value reduced predicted risk
O04583,0.382322,38.23,Order value vs customer average increased predicted risk | Discount percentage increased predicted risk | Historical product return rate increased predicted risk | City tier increased predicted risk | Recent order-value change increased predicted risk,Order value reduced predicted risk | Historical average order value reduced predicted risk | Size Variant reduced predicted risk | Returns Last 5 reduced predicted risk | Customer historical return rate reduced predicted risk
O02870,0.227947,22.79,Historical product return rate increased predicted risk | Previous Avg Discount increased predicted risk | Product price increased predicted risk | Account age increased predicted risk | Recent average order value increased predicted risk,Days since previous order reduced predicted risk | Recent order-value change reduced predicted risk | Recent average order value reduced predicted risk | Previous average order value reduced predicted risk | 5-order value change reduced predicted risk
O11546,0.475379,47.54,Historical product return rate increased predicted risk | Size Variant increased predicted risk | Previous average order value increased predicted risk | Order value increased predicted risk | City tier increased predicted risk,Recent order-value change reduced predicted risk | Recent 5-order return rate reduced predicted risk | 5-order value change reduced predicted risk | Recent vs previous return behaviour reduced predicted risk | Discount percentage reduced predicted risk
O11216,0.263315,26.33,Historical product return rate increased predicted risk | Product price increased predicted risk | Order value increased predicted risk | Historical average order value increased predicted risk | Discount behaviour change increased predicted risk,Previous average order value reduced predicted risk | Recent average order value reduced predicted risk | Recent purchase frequency reduced predicted risk | Days since previous order reduced predicted risk | 5-order value change reduced predicted risk
O00732,0.372719,37.27,Historical product return rate increased predicted risk | Recent purchase frequency increased predicted risk | Product price increased predicted risk | Account age increased predicted risk | Historical average order value increased predicted risk,Recent order-value change reduced predicted risk | Previous average order value reduced predicted risk | Recent average order value reduced predicted risk | Customer historical return rate reduced predicted risk | 5-order value change reduced predicted risk
O17299,0.485672,48.57,Historical product return rate increased predicted risk | Account age increased predicted risk | Previous order count increased predicted risk | Size Variant increased predicted risk | Recent average order value increased predicted risk,Previous average order value reduced predicted risk | Product price reduced predicted risk | Recent order-value change reduced predicted risk | Days since previous order reduced predicted risk | 5-order return-rate change reduced predicted risk
O12678,0.066412,6.64,Previous order count increased predicted risk | Previous average order value increased predicted risk | Discount percentage increased predicted risk | Days since previous order increased predicted risk | Order value increased predicted risk,Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | 5-order return-rate change reduced predicted risk | Discount behaviour change reduced predicted risk | Product price reduced predicted risk
O12325,0.480163,48.02,Historical product return rate increased predicted risk | Previous order count increased predicted risk | Order value vs customer average increased predicted risk | Previous Avg Discount increased predicted risk | Days since previous order increased predicted risk,Recent order-value change reduced predicted risk | 5-order value change reduced predicted risk | Account age reduced predicted risk | Recent average order value reduced predicted risk | Size Variant reduced predicted risk
O02164,0.326786,32.68,Historical product return rate increased predicted risk | Discount percentage increased predicted risk | Order value vs customer average increased predicted risk | Order value increased predicted risk | Historical average order value increased predicted risk,Days since previous order reduced predicted risk | Recent order-value change reduced predicted risk | Recent average order value reduced predicted risk | Account age reduced predicted risk | Size Variant reduced predicted risk
O15773,0.152057,15.21,Historical average order value increased predicted risk | Order value vs customer average increased predicted risk | Recent average order value increased predicted risk | City tier increased predicted risk | Discount percentage increased predicted risk,Previous average order value reduced predicted risk | Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Order value reduced predicted risk | Days since previous order reduced predicted risk
O02934,0.241316,24.13,Historical product return rate increased predicted risk | Previous average order value increased predicted risk | Size Variant increased predicted risk | Order value vs customer average increased predicted risk | Discount behaviour change increased predicted risk,Recent order-value change reduced predicted risk | Account age reduced predicted risk | 5-order value change reduced predicted risk | Days since previous order reduced predicted risk | City tier reduced predicted risk
O13633,0.156318,15.63,Historical product return rate increased predicted risk | Product price increased predicted risk | Order value vs customer average increased predicted risk | Historical average order value increased predicted risk | Discount behaviour change increased predicted risk,Recent order-value change reduced predicted risk | 5-order return-rate change reduced predicted risk | Recent average order value reduced predicted risk | Account age reduced predicted risk | Recent vs previous return behaviour reduced predicted risk
O03492,0.187002,18.7,Historical product return rate increased predicted risk | Product price increased predicted risk | Days since previous order increased predicted risk | Size Variant increased predicted risk | Order value increased predicted risk,Recent order-value change reduced predicted risk | 5-order return-rate change reduced predicted risk | Account age reduced predicted risk | Previous order count reduced predicted risk | Order value vs customer average reduced predicted risk
O13284,0.413778,41.38,Historical product return rate increased predicted risk | Previous Avg Discount increased predicted risk | Historical average order value increased predicted risk | Product price increased predicted risk | Recent purchase frequency increased predicted risk,Recent order-value change reduced predicted risk | Discount behaviour change reduced predicted risk | Discount percentage reduced predicted risk | 5-order value change reduced predicted risk | Order value vs customer average reduced predicted risk
O04968,0.415416,41.54,Account age increased predicted risk | Historical product return rate increased predicted risk | Order value vs customer average increased predicted risk | Recent order-value change increased predicted risk | Discount behaviour change increased predicted risk,Days since previous order reduced predicted risk | Order value reduced predicted risk | Recent average order value reduced predicted risk | Size Variant reduced predicted risk | Previous Avg Discount reduced predicted risk
O01735,0.351509,35.15,Discount percentage increased predicted risk | Product price increased predicted risk | Order value vs customer average increased predicted risk | Discount behaviour change increased predicted risk | Previous average order value increased predicted risk,Historical product return rate reduced predicted risk | Historical average order value reduced predicted risk | Size Variant reduced predicted risk | Order value reduced predicted risk | Customer historical return rate reduced predicted risk
O09702,0.137116,13.71,Account age increased predicted risk | Order value vs customer average increased predicted risk | Recent order-value change increased predicted risk | Discount behaviour change increased predicted risk | Recent average order value increased predicted risk,Days since previous order reduced predicted risk | Previous order count reduced predicted risk | Previous average order value reduced predicted risk | Recent average order value reduced predicted risk | Order value reduced predicted risk
O08569,0.230091,23.01,Account age increased predicted risk | Recent average order value increased predicted risk | Recent average order value increased predicted risk | Previous average order value increased predicted risk | Recent purchase frequency increased predicted risk,Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Previous Avg Discount reduced predicted risk | Previous order count reduced predicted risk | Order value reduced predicted risk
O05671,0.288581,28.86,5-order value change increased predicted risk | Previous order count increased predicted risk | Discount percentage increased predicted risk | Recent average order value increased predicted risk | Previous Avg Discount increased predicted risk,Recent order-value change reduced predicted risk | Previous average order value reduced predicted risk | Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | City tier reduced predicted risk
O09744,0.223531,22.35,Account age increased predicted risk | Order value increased predicted risk | Order value vs customer average increased predicted risk | 5-order return-rate ratio increased predicted risk | Discount behaviour change increased predicted risk,Historical product return rate reduced predicted risk | Product price reduced predicted risk | Previous order count reduced predicted risk | 5-order return-rate change reduced predicted risk | Returns Last 5 reduced predicted risk
O04021,0.346428,34.64,Historical product return rate increased predicted risk | Product price increased predicted risk | Recent purchase frequency increased predicted risk | Previous order count increased predicted risk | Recent order-value change increased predicted risk,Account age reduced predicted risk | Discount percentage reduced predicted risk | Recent average order value reduced predicted risk | Historical average order value reduced predicted risk | City tier reduced predicted risk
O19638,0.074191,7.42,Days since previous order increased predicted risk | Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk | Recent order-value change increased predicted risk | 5-order return-rate change increased predicted risk,Historical product return rate reduced predicted risk | Order value vs customer average reduced predicted risk | Order value reduced predicted risk | Previous 3-order return rate reduced predicted risk | Product price reduced predicted risk
O09120,0.468916,46.89,Historical product return rate increased predicted risk | Product price increased predicted risk | Recent average order value increased predicted risk | Order value vs customer average increased predicted risk | Recent order-value change increased predicted risk,Recent average order value reduced predicted risk | Recent purchase frequency reduced predicted risk | Previous Avg Discount reduced predicted risk | Size Variant reduced predicted risk | Customer historical return rate reduced predicted risk
O16727,0.227634,22.76,Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk | Recent average order value increased predicted risk | Order value vs customer average increased predicted risk | Recent order-value change increased predicted risk,Historical product return rate reduced predicted risk | Order value reduced predicted risk | Product price reduced predicted risk | Size Variant reduced predicted risk | Discount percentage reduced predicted risk
O13696,0.19129,19.13,Historical product return rate increased predicted risk | Order value increased predicted risk | 5-order value change increased predicted risk | Previous Avg Discount increased predicted risk | Recent purchase frequency increased predicted risk,5-order return-rate change reduced predicted risk | Recent order-value change reduced predicted risk | Recent average order value reduced predicted risk | Order value vs customer average reduced predicted risk | Discount percentage reduced predicted risk
