threshold,orders_selected,selection_rate,average_return_probability,baseline_expected_loss,potential_loss_avoided,intervention_cost,net_benefit,roi,expected_returns_captured,expected_return_capture_rate
0.53,470,0.11853720050441362,0.6132660524631889,139192.57556785695,55677.030227142786,70500.0,-14822.969772857214,-0.21025489039513778,288.2350446576988,0.2532285585171604
0.54,427,0.1076923076923077,0.6211351313226917,129285.88975561272,51714.35590224509,64050.0,-12335.644097754906,-0.1925939749844638,265.2247010747894,0.23301284830258676
0.55,399,0.10063051702395964,0.6264777272692713,119063.27928260063,47625.31171304025,59850.0,-12224.688286959747,-0.2042554433911403,249.96461318043924,0.21960611608194164
0.56,365,0.09205548549810845,0.6330990221145719,110246.28876555369,44098.515506221476,54750.0,-10651.484493778524,-0.19454766198682236,231.08114307181876,0.20301606569064848
0.57,337,0.08499369482976041,0.6387737773332742,103441.55150444864,41376.62060177946,50550.0,-9173.379398220539,-0.18147140253650917,215.26676296131342,0.18912236069727562
0.58,295,0.07440100882723834,0.6479759090120271,92727.89822088428,37091.159288353716,44250.0,-7158.840711646284,-0.16178171099765615,191.15289315854798,0.1679371488238322
0.59,259,0.06532156368221942,0.6567452220617652,82185.12508636725,32874.0500345469,38850.0,-5975.949965453103,-0.1538211059318688,170.09701251399719,0.14943852971850768
0.6,233,0.05876418663303909,0.6636980152285415,74328.16133385652,29731.26453354261,34950.0,-5218.73546645739,-0.14932004195872361,154.64163754825017,0.1358602282716236
0.61,209,0.05271122320302648,0.6704367311323561,65990.61698324452,26396.246793297807,31350.0,-4953.753206702193,-0.15801445635413694,140.12127680666242,0.12310338246854606
0.62,187,0.04716267339218159,0.6770282191792498,61857.315503717036,24742.926201486815,28050.0,-3307.0737985131855,-0.11789924415376775,126.60427698651971,0.11122803821956204
0.63,164,0.04136191677175284,0.684349062533845,54423.881205875485,21769.552482350195,24600.0,-2830.4475176498054,-0.1150588421808864,112.23324625555058,0.09860238612118205
0.64,139,0.03505674653215637,0.6931009367905155,47263.759592088216,18905.503836835287,20850.0,-1944.496163164713,-0.0932612068664131,96.34103021388167,0.08464029846229118
0.65,126,0.0317780580075662,0.6980584920357783,42987.12475093028,17194.84990037211,18900.0,-1705.1500996278883,-0.09021958199089355,87.95536999650807,0.07727308656901839
0.66,111,0.027994955863808322,0.7039762461777272,37741.70615904833,15096.682463619332,16650.0,-1553.3175363806677,-0.09329234452736743,78.14136332572772,0.06865100258380814
0.67,92,0.023203026481715006,0.7120990413440189,32361.1341304812,12944.453652192482,13800.0,-855.546347807518,-0.061996112159965075,65.51311180364974,0.05755646710382993
0.68,74,0.01866330390920555,0.7210358783531984,27055.370009973845,10822.14800398954,11100.0,-277.8519960104604,-0.02503171135229373,53.356654998136676,0.04687642631561839
0.69,64,0.01614123581336696,0.7265982345060902,21531.354707091567,8612.541882836627,9600.0,-987.4581171633727,-0.10286022053785132,46.50228700838977,0.04085452940280171
0.7,43,0.010844892812105928,0.7422947643921326,14291.167432471937,5716.4669729887755,6450.0,-733.5330270112245,-0.11372605069941465,31.9186748688617,0.028042114158667322
0.71,37,0.009331651954602775,0.7483272999200953,12417.092241170214,4966.836896468086,5550.0,-583.1631035319142,-0.10507443306881337,27.688110097043527,0.024325356468244054
0.72,29,0.007313997477931904,0.7576977748694229,10907.812905514105,4363.1251622056425,4350.0,13.125162205642482,0.003017278667963789,21.973235471213265,0.019304560106289115
0.73,27,0.006809583858764187,0.7600738114847105,9832.821441399365,3933.128576559746,4050.0,-116.87142344025415,-0.02885714159018621,20.521992910087185,0.018029572665920306
0.74,18,0.004539722572509458,0.7727823696194139,7267.491130534704,2906.9964522138816,2700.0,206.99645221388164,0.07666535267180802,13.91008265314945,0.012220686708289583
0.75,15,0.0037831021437578815,0.7784289941302854,6040.482565632359,2416.1930262529436,2250.0,166.19302625294358,0.07386356722353048,11.676434911954281,0.01025831811980068
0.76,13,0.003278688524590164,0.7824583548859191,5038.405700910172,2015.3622803640687,1950.0,65.36228036406874,0.03351911813541986,10.171958613516948,0.008936562242305083
0.77,8,0.00201765447667087,0.7941243652940743,2866.8753155799586,1146.7501262319836,1200.0,-53.249873768016414,-0.044374894806680346,6.352994922352594,0.005581416195815857
0.78,5,0.0012610340479192938,0.8046493057717286,2105.5739415548346,842.2295766219339,750.0,92.22957662193392,0.12297276882924522,4.0232465288586425,0.003534618492598454
0.79,3,0.0007566204287515763,0.8198523202221416,1122.1895610247757,448.8758244099103,450.0,-1.124175590089692,-0.0024981679779770933,2.4595569606664247,0.0021608408668004455
0.8,2,0.0005044136191677175,0.8323821935463707,759.2319543679112,303.6927817471645,300.0,3.6927817471644744,0.012309272490548247,1.6647643870927413,0.0014625767887275496
0.81,1,0.00025220680958385876,0.8571619861149555,342.0432903984897,136.8173161593959,150.0,-13.182683840604113,-0.08788455893736076,0.8571619861149555,0.0007530586518976878
0.82,1,0.00025220680958385876,0.8571619861149555,342.0432903984897,136.8173161593959,150.0,-13.182683840604113,-0.08788455893736076,0.8571619861149555,0.0007530586518976878
0.83,1,0.00025220680958385876,0.8571619861149555,342.0432903984897,136.8173161593959,150.0,-13.182683840604113,-0.08788455893736076,0.8571619861149555,0.0007530586518976878
0.84,1,0.00025220680958385876,0.8571619861149555,342.0432903984897,136.8173161593959,150.0,-13.182683840604113,-0.08788455893736076,0.8571619861149555,0.0007530586518976878
0.85,1,0.00025220680958385876,0.8571619861149555,342.0432903984897,136.8173161593959,150.0,-13.182683840604113,-0.08788455893736076,0.8571619861149555,0.0007530586518976878
0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
