customer_id,signup_date,city_tier,account_age_days,behavior_profile
C0293,2024-08-14,1,739,stable
C0294,2022-06-10,1,1535,stable
C0295,2024-03-11,3,895,stable
C0296,2023-02-02,2,1298,stable
C0297,2025-07-24,3,395,stable
C0298,2024-03-26,2,880,stable
C0299,2025-11-16,2,280,high_return
C0300,2025-03-04,1,537,stable
C0301,2025-05-03,2,477,high_return
C0302,2023-02-05,1,1295,stable
C0303,2023-10-02,3,1056,stable
C0304,2024-11-22,3,639,stable
C0305,2023-11-19,1,1008,stable
C0306,2023-04-05,3,1236,stable
C0307,2024-08-12,3,741,stable
C0308,2023-04-15,2,1226,stable
C0309,2025-10-30,1,297,stable
C0310,2024-11-11,2,650,stable
C0311,2024-01-20,2,946,stable
C0312,2022-02-07,1,1658,stable
C0313,2022-08-18,1,1466,stable
C0314,2025-10-20,3,307,stable
C0315,2023-07-17,1,1133,stable
C0316,2023-03-14,2,1258,stable
C0317,2025-07-30,3,389,stable
C0318,2022-01-27,3,1669,stable
C0319,2022-08-14,1,1470,stable
C0320,2025-07-24,3,395,stable
C0321,2024-03-08,1,898,stable
C0322,2022-10-11,1,1412,high_return
C0323,2024-05-28,2,817,stable
C0324,2024-08-17,1,736,stable
C0325,2023-03-29,1,1243,stable
C0326,2024-10-16,2,676,stable
C0327,2024-03-26,1,880,stable
C0328,2023-10-21,1,1037,stable
C0329,2023-07-01,2,1149,stable
C0330,2025-04-30,3,480,stable
C0331,2024-12-08,2,623,stable
C0332,2022-01-17,1,1679,stable
C0333,2025-04-10,2,500,stable
C0334,2025-05-28,1,452,stable
C0335,2022-06-07,1,1538,drift
C0336,2023-04-22,3,1219,stable
C0337,2024-12-05,1,626,drift
C0338,2025-10-28,1,299,high_return
C0339,2023-06-02,2,1178,stable
C0340,2022-04-09,2,1597,stable
C0341,2024-11-26,2,635,stable
C0342,2022-10-07,1,1416,stable
C0343,2025-10-04,1,323,stable
C0344,2023-05-12,1,1199,stable
C0345,2022-10-29,1,1394,stable
C0346,2022-06-30,2,1515,stable
C0347,2023-08-30,3,1089,high_return
C0348,2025-01-27,2,573,stable
C0349,2023-12-01,3,996,stable
C0350,2024-09-19,2,703,stable
C0351,2025-02-13,2,556,high_return
C0352,2022-07-10,1,1505,stable
C0353,2022-09-10,2,1443,stable
C0354,2024-09-07,2,715,stable
C0355,2024-07-16,1,768,stable
C0356,2025-03-30,1,511,stable
C0357,2025-07-03,3,416,high_return
C0358,2025-09-08,1,349,stable
C0359,2022-05-08,1,1568,stable
C0360,2022-01-18,2,1678,high_return
C0361,2023-07-20,3,1130,stable
C0362,2023-07-24,2,1126,stable
C0363,2025-09-08,2,349,high_return
C0364,2023-11-17,1,1010,stable
C0365,2023-09-18,2,1070,stable
C0366,2025-08-04,1,384,stable
C0367,2024-05-03,3,842,stable
C0368,2024-08-19,2,734,stable
C0369,2022-06-04,1,1541,stable
C0370,2023-05-05,1,1206,stable
C0371,2025-11-10,1,286,high_return
C0372,2024-02-24,1,911,stable
C0373,2025-02-01,1,568,high_return
C0374,2025-11-17,2,279,stable
C0375,2022-09-03,2,1450,stable
C0376,2025-04-14,1,496,stable
C0377,2024-11-28,1,633,stable
C0378,2024-01-29,1,937,stable
C0379,2023-06-22,3,1158,high_return
C0380,2024-07-09,1,775,stable
C0381,2023-02-12,2,1288,stable
C0382,2023-06-09,3,1171,stable
C0383,2024-04-07,2,868,stable
C0384,2024-06-21,3,793,stable
C0385,2022-02-05,1,1660,stable
C0386,2023-11-16,3,1011,stable
C0387,2022-01-20,1,1676,stable
C0388,2022-11-17,1,1375,stable
C0389,2023-05-27,2,1184,stable
C0390,2023-02-04,3,1296,stable
C0391,2023-10-16,3,1042,high_return
C0392,2024-08-29,1,724,stable
C0393,2023-04-16,1,1225,stable
C0394,2025-03-12,3,529,stable
C0395,2025-01-20,1,580,stable
C0396,2025-10-09,3,318,high_return
C0397,2024-04-13,3,862,stable
C0398,2023-12-28,2,969,stable
C0399,2024-05-03,1,842,stable
C0400,2022-02-20,2,1645,stable
C0401,2023-07-29,1,1121,stable
C0402,2025-04-28,3,482,stable
C0403,2025-02-22,2,547,stable
C0404,2022-05-30,3,1546,stable
C0405,2022-11-10,1,1382,stable
C0406,2023-07-24,3,1126,high_return
C0407,2025-09-27,2,330,stable
C0408,2022-11-01,1,1391,stable
C0409,2023-11-13,1,1014,stable
C0410,2024-04-17,2,858,high_return
C0411,2024-12-13,2,618,stable
C0412,2024-09-29,3,693,high_return
C0413,2023-03-20,1,1252,stable
C0414,2023-09-05,1,1083,stable
C0415,2024-09-19,2,703,stable
C0416,2022-09-21,1,1432,stable
C0417,2024-12-12,2,619,stable
C0418,2024-09-30,3,692,stable
C0419,2022-01-05,3,1691,stable
C0420,2025-01-31,3,569,stable
C0421,2025-05-04,3,476,stable
C0422,2024-02-13,1,922,stable
C0423,2024-05-26,2,819,stable
C0424,2024-09-18,2,704,stable
C0425,2024-06-02,3,812,stable
C0426,2025-10-05,1,322,stable
C0427,2022-02-16,2,1649,drift
C0428,2024-05-16,1,829,stable
C0429,2024-04-02,2,873,stable
C0430,2024-07-24,3,760,stable
C0431,2023-10-18,3,1040,high_return
C0432,2022-09-26,1,1427,stable
C0433,2023-01-05,3,1326,stable
C0434,2023-09-28,2,1060,high_return
C0435,2025-02-03,1,566,stable
C0436,2023-10-19,1,1039,stable
C0437,2022-04-30,1,1576,stable
C0438,2024-04-10,1,865,stable
C0439,2024-12-17,3,614,stable
C0440,2025-10-01,2,326,stable
C0441,2024-01-11,3,955,stable
C0442,2022-04-27,1,1579,high_return
C0443,2024-03-01,1,905,stable
C0444,2025-02-24,2,545,stable
C0445,2025-11-17,1,279,stable
C0446,2024-10-09,2,683,stable
C0447,2024-12-17,3,614,stable
C0448,2023-09-26,2,1062,stable
C0449,2023-05-28,2,1183,stable
C0450,2024-03-12,1,894,stable
C0451,2025-01-24,1,576,stable
C0452,2025-02-15,1,554,stable
C0453,2023-07-14,2,1136,stable
C0454,2023-05-03,1,1208,stable
C0455,2025-06-14,1,435,stable
C0456,2024-06-15,2,799,high_return
C0457,2025-07-19,1,400,stable
C0458,2025-04-27,1,483,stable
C0459,2023-12-05,1,992,stable
C0460,2023-08-04,3,1115,stable
C0461,2024-02-29,2,906,stable
C0462,2024-05-10,2,835,high_return
C0463,2022-09-04,1,1449,stable
C0464,2025-01-04,3,596,stable
C0465,2022-06-03,2,1542,stable
C0466,2025-12-29,1,237,stable
C0467,2024-09-23,3,699,stable
C0468,2025-01-14,1,586,stable
C0469,2023-11-28,2,999,stable
C0470,2025-08-01,2,387,stable
C0471,2025-05-28,1,452,stable
C0472,2024-12-28,3,603,stable
C0473,2024-12-06,2,625,high_return
C0474,2024-10-05,2,687,stable
C0475,2022-04-04,1,1602,stable
C0476,2024-08-15,1,738,stable
C0477,2024-10-08,1,684,high_return
C0478,2023-03-29,3,1243,drift
C0479,2025-05-12,1,468,stable
C0480,2024-06-30,2,784,stable
C0481,2022-08-06,2,1478,stable
C0482,2023-04-19,1,1222,stable
C0483,2023-03-08,2,1264,stable
C0484,2022-12-07,1,1355,stable
C0485,2023-07-05,3,1145,stable
C0486,2025-08-05,2,383,stable
C0487,2025-07-01,1,418,stable
C0488,2022-12-23,1,1339,high_return
C0489,2022-01-23,2,1673,stable
C0490,2023-06-06,3,1174,stable
C0491,2025-01-28,2,572,stable
C0492,2024-03-12,2,894,stable
C0493,2025-04-18,1,492,stable
C0494,2025-05-31,1,449,stable
C0495,2024-02-01,1,934,drift
C0496,2023-03-18,2,1254,stable
C0497,2024-02-08,3,927,stable
C0498,2024-10-12,2,680,stable
C0499,2025-09-10,1,347,stable
C0500,2023-05-31,2,1180,stable
C0501,2024-11-05,3,656,stable
C0502,2024-03-02,2,904,stable
C0503,2022-12-02,3,1360,stable
C0504,2022-09-15,1,1438,stable
C0505,2023-05-12,1,1199,stable
C0506,2024-06-14,3,800,stable
C0507,2022-06-09,2,1536,stable
C0508,2024-05-01,1,844,stable
C0509,2023-11-21,2,1006,stable
C0510,2023-01-15,3,1316,high_return
C0511,2024-08-14,2,739,stable
C0512,2023-11-22,2,1005,stable
C0513,2025-12-21,1,245,high_return
C0514,2025-07-15,2,404,stable
C0515,2025-12-11,2,255,stable
C0516,2025-04-06,3,504,stable
C0517,2024-12-02,3,629,stable
C0518,2022-10-12,3,1411,stable
C0519,2023-02-01,1,1299,stable
C0520,2022-01-12,2,1684,stable
C0521,2025-08-18,3,370,stable
C0522,2025-06-30,2,419,high_return
C0523,2023-05-14,3,1197,stable
C0524,2024-01-24,3,942,high_return
C0525,2022-02-04,2,1661,stable
C0526,2023-12-28,2,969,stable
C0527,2024-04-28,1,847,stable
C0528,2022-03-31,1,1606,stable
C0529,2024-02-15,2,920,stable
C0530,2023-08-28,3,1091,stable
C0531,2024-08-27,1,726,stable
C0532,2024-10-18,1,674,high_return
C0533,2023-02-22,2,1278,stable
C0534,2022-04-25,1,1581,stable
C0535,2023-09-09,1,1079,stable
C0536,2025-05-04,1,476,stable
C0537,2024-04-05,1,870,stable
C0538,2025-01-03,1,597,stable
C0539,2023-02-17,1,1283,stable
C0540,2025-10-31,2,296,drift
C0541,2025-12-14,3,252,stable
C0542,2023-12-30,2,967,stable
C0543,2025-07-24,2,395,stable
C0544,2024-10-17,1,675,stable
C0545,2024-01-31,1,935,stable
C0546,2023-11-07,2,1020,stable
C0547,2025-11-18,1,278,high_return
C0548,2023-04-02,2,1239,stable
C0549,2024-07-08,2,776,stable
C0550,2022-07-11,2,1504,high_return
C0551,2024-01-09,1,957,stable
C0552,2025-01-27,1,573,stable
C0553,2024-09-04,2,718,stable
C0554,2024-10-05,1,687,stable
C0555,2022-04-06,2,1600,stable
C0556,2023-10-25,2,1033,stable
C0557,2025-04-28,3,482,stable
C0558,2022-02-06,1,1659,stable
C0559,2025-10-24,3,303,stable
C0560,2022-10-06,2,1417,stable
C0561,2022-08-05,1,1479,stable
C0562,2024-05-16,1,829,stable
C0563,2024-05-22,2,823,stable
C0564,2025-07-20,1,399,stable
C0565,2022-03-03,1,1634,stable
C0566,2023-08-19,1,1100,high_return
C0567,2023-12-30,3,967,stable
C0568,2025-09-27,3,330,stable
C0569,2023-02-01,2,1299,stable
C0570,2023-11-30,1,997,stable
C0571,2024-11-08,1,653,stable
C0572,2022-06-26,2,1519,high_return
C0573,2023-01-31,2,1300,stable
C0574,2023-03-21,1,1251,stable
C0575,2025-06-10,2,439,stable
C0576,2022-03-17,3,1620,high_return
C0577,2022-09-22,2,1431,stable
C0578,2023-03-31,2,1241,high_return
C0579,2023-12-19,3,978,stable
C0580,2024-01-05,1,961,stable
C0581,2025-11-08,2,288,stable
C0582,2024-04-30,3,845,stable
C0583,2025-10-22,1,305,stable
C0584,2022-05-24,2,1552,stable
C0585,2024-06-03,2,811,stable
C0586,2024-12-28,2,603,stable
C0587,2025-01-27,2,573,stable
C0588,2023-01-31,3,1300,stable
C0589,2024-11-14,3,647,stable
C0590,2024-08-05,1,748,stable
C0591,2024-06-09,3,805,stable
C0592,2025-03-20,1,521,stable
C0593,2025-03-13,1,528,stable
C0594,2023-07-23,2,1127,stable
C0595,2024-11-28,2,633,stable
C0596,2022-04-19,2,1587,stable
C0597,2024-12-01,3,630,stable
C0598,2025-04-24,2,486,stable
C0599,2024-07-23,2,761,stable
C0600,2023-02-02,1,1298,stable
C0601,2025-05-31,3,449,stable
C0602,2023-09-26,3,1062,stable
C0603,2025-03-02,3,539,stable
C0604,2025-04-01,1,509,stable
C0605,2025-05-23,1,457,stable
C0606,2024-01-03,1,963,stable
C0607,2022-08-23,1,1461,stable
C0608,2023-10-20,1,1038,high_return
C0609,2024-01-21,3,945,stable
C0610,2023-08-11,2,1108,stable
C0611,2024-10-29,1,663,stable
C0612,2025-01-02,1,598,stable
C0613,2024-08-11,1,742,stable
C0614,2023-05-07,1,1204,stable
C0615,2024-07-01,1,783,stable
C0616,2025-06-30,1,419,stable
C0617,2025-06-07,3,442,high_return
C0618,2025-04-12,3,498,stable
C0619,2025-04-06,1,504,stable
C0620,2022-06-19,2,1526,stable
C0621,2025-11-17,3,279,stable
C0622,2024-08-03,1,750,stable
C0623,2024-03-05,1,901,stable
C0624,2023-09-26,3,1062,stable
C0625,2025-05-02,1,478,stable
C0626,2022-01-29,2,1667,stable
C0627,2025-04-03,2,507,stable
C0628,2025-12-16,1,250,stable
C0629,2022-12-05,1,1357,drift
C0630,2025-10-20,3,307,stable
C0631,2025-09-27,1,330,stable
C0632,2023-05-15,1,1196,stable
C0633,2023-05-26,2,1185,stable
C0634,2025-09-12,2,345,stable
C0635,2022-08-05,1,1479,stable
C0636,2025-08-17,3,371,high_return
C0637,2025-03-01,1,540,stable
C0638,2024-12-29,3,602,stable
C0639,2025-06-29,3,420,stable
C0640,2025-12-09,2,257,stable
C0641,2023-03-21,2,1251,stable
C0642,2024-05-25,3,820,stable
C0643,2025-04-20,1,490,stable
C0644,2022-06-16,2,1529,stable
C0645,2022-04-01,1,1605,stable
C0646,2023-12-15,1,982,drift
C0647,2022-02-08,1,1657,stable
C0648,2025-02-23,3,546,stable
C0649,2022-06-22,3,1523,stable
C0650,2023-10-15,1,1043,stable
C0651,2024-01-24,1,942,stable
C0652,2025-05-28,2,452,stable
C0653,2024-12-17,2,614,stable
C0654,2023-04-21,1,1220,stable
C0655,2023-04-01,2,1240,stable
C0656,2024-04-08,2,867,drift
C0657,2024-06-13,3,801,stable
C0658,2025-10-16,1,311,stable
C0659,2024-10-21,2,671,stable
C0660,2023-01-22,2,1309,stable
C0661,2022-12-14,3,1348,stable
C0662,2022-07-09,2,1506,stable
C0663,2023-05-20,2,1191,stable
C0664,2025-04-29,1,481,stable
C0665,2025-10-24,3,303,stable
C0666,2025-12-03,2,263,stable
C0667,2024-04-03,1,872,stable
C0668,2024-07-17,2,767,stable
C0669,2024-07-22,1,762,stable
C0670,2025-02-14,1,555,stable
C0671,2022-05-14,3,1562,stable
C0672,2022-02-27,2,1638,stable
C0673,2023-11-16,2,1011,stable
C0674,2023-11-03,1,1024,stable
C0675,2022-06-22,3,1523,stable
C0676,2024-03-25,1,881,stable
C0677,2025-03-18,1,523,stable
C0678,2022-03-21,3,1616,stable
C0679,2024-06-04,3,810,stable
C0680,2025-05-21,2,459,stable
C0681,2022-07-22,1,1493,stable
C0682,2024-02-03,3,932,stable
C0683,2025-06-06,2,443,drift
C0684,2025-06-04,3,445,stable
C0685,2025-11-26,3,270,stable
C0686,2022-02-16,1,1649,high_return
C0687,2025-06-10,1,439,high_return
C0688,2025-08-21,2,367,stable
C0689,2025-03-12,1,529,stable
C0690,2025-12-09,1,257,stable
C0691,2025-10-28,3,299,stable
C0692,2025-07-06,2,413,stable
C0693,2023-10-18,3,1040,stable
C0694,2023-04-16,2,1225,stable
C0695,2024-08-28,2,725,high_return
C0696,2024-11-01,1,660,stable
C0697,2025-09-15,1,342,stable
C0698,2024-01-06,1,960,stable
C0699,2024-02-23,1,912,stable
C0700,2024-08-25,3,728,stable
C0701,2022-12-24,1,1338,stable
C0702,2024-08-29,2,724,stable
C0703,2025-12-02,1,264,stable
C0704,2023-10-30,1,1028,stable
C0705,2023-01-08,2,1323,drift
C0706,2024-10-28,1,664,stable
C0707,2025-02-19,1,550,stable
C0708,2025-10-03,1,324,stable
C0709,2023-11-07,1,1020,stable
C0710,2022-03-31,3,1606,stable
C0711,2023-11-29,1,998,stable
C0712,2025-09-01,1,356,stable
C0713,2025-04-16,2,494,stable
C0714,2023-06-24,1,1156,stable
C0715,2024-01-02,3,964,stable
C0716,2024-05-18,2,827,stable
C0717,2022-02-10,2,1655,stable
C0718,2024-01-10,2,956,stable
C0719,2023-05-17,1,1194,stable
C0720,2024-08-16,2,737,stable
C0721,2025-03-14,1,527,stable
C0722,2025-05-09,3,471,stable
C0723,2024-07-17,1,767,stable
C0724,2023-04-06,2,1235,stable
C0725,2024-01-02,2,964,stable
C0726,2024-01-22,1,944,stable
C0727,2024-07-13,1,771,stable
C0728,2024-06-27,2,787,stable
C0729,2025-06-30,3,419,stable
C0730,2023-01-25,1,1306,stable
C0731,2024-06-01,3,813,high_return
C0732,2022-09-13,3,1440,stable
C0733,2023-12-10,3,987,high_return
C0734,2023-03-26,1,1246,drift
C0735,2022-01-10,2,1686,stable
C0736,2024-04-03,1,872,stable
C0737,2024-03-08,3,898,drift
C0738,2025-06-19,2,430,stable
C0739,2025-06-28,1,421,stable
C0740,2024-05-26,2,819,stable
C0741,2024-10-25,1,667,stable
C0742,2025-02-16,3,553,stable
C0743,2024-10-12,3,680,stable
C0744,2023-01-09,2,1322,stable
C0745,2024-12-24,1,607,stable
C0746,2022-05-26,2,1550,high_return
C0747,2022-08-12,1,1472,stable
C0748,2025-06-16,1,433,stable
C0749,2022-06-26,3,1519,stable
C0750,2024-05-02,1,843,stable
C0751,2025-07-29,1,390,stable
C0752,2022-03-04,3,1633,high_return
