product_id,category,price,historical_return_rate
P0108,Electronics,82271.0,0.0286
P0109,Apparel,2295.36,0.0997
P0110,Footwear,4598.88,0.1312
P0111,Home,7413.92,0.0549
P0112,Electronics,13245.39,0.0317
P0113,Footwear,11233.58,0.1193
P0114,Home,1522.2,0.0551
P0115,Apparel,9189.6,0.1145
P0116,Electronics,45903.71,0.0208
P0117,Apparel,7422.05,0.117
P0118,Apparel,2419.77,0.0877
P0119,Grocery,1978.6,0.0451
P0120,Electronics,86664.16,0.0321
P0121,Home,21962.32,0.0546
P0122,Electronics,59224.48,0.0333
P0123,Apparel,2406.77,0.1416
P0124,Footwear,3568.95,0.1188
P0125,Apparel,6395.29,0.1247
P0126,Footwear,10731.26,0.1067
P0127,Electronics,85096.98,0.0307
P0128,Apparel,4977.56,0.1487
P0129,Home,22341.16,0.0547
P0130,Apparel,7687.12,0.0867
P0131,Beauty,511.52,0.0561
P0132,Home,29810.56,0.057
P0133,Apparel,6890.12,0.0921
P0134,Electronics,72753.91,0.0301
P0135,Footwear,10455.6,0.1122
P0136,Beauty,6041.34,0.0798
P0137,Apparel,6823.68,0.1145
P0138,Beauty,7408.44,0.0406
P0139,Apparel,7434.27,0.1422
P0140,Beauty,774.89,0.058
P0141,Electronics,21267.23,0.0313
P0142,Beauty,5301.48,0.0521
P0143,Footwear,7331.74,0.1168
P0144,Apparel,4009.22,0.0912
P0145,Apparel,8912.81,0.0807
P0146,Apparel,8882.89,0.12
P0147,Grocery,1725.12,0.0417
P0148,Apparel,5323.65,0.1149
P0149,Electronics,11904.09,0.0278
P0150,Footwear,4223.11,0.1009
P0151,Footwear,5913.41,0.1054
P0152,Footwear,4446.99,0.1056
P0153,Home,3477.78,0.058
P0154,Apparel,9998.57,0.0802
P0155,Grocery,3229.5,0.0242
P0156,Apparel,9245.97,0.0866
P0157,Electronics,95551.26,0.0322
P0158,Home,537.41,0.0858
P0159,Home,15890.5,0.0605
P0160,Apparel,7789.15,0.1449
P0161,Home,14768.88,0.0626
P0162,Apparel,7994.98,0.1277
P0163,Apparel,8943.15,0.1285
P0164,Beauty,2175.17,0.0773
P0165,Electronics,11378.74,0.0254
P0166,Apparel,5441.85,0.1196
P0167,Beauty,417.89,0.0712
P0168,Grocery,1871.88,0.0322
P0169,Footwear,12293.05,0.1228
P0170,Footwear,1470.59,0.1106
P0171,Footwear,14373.83,0.1042
P0172,Grocery,1839.16,0.0351
P0173,Beauty,4098.26,0.0402
P0174,Electronics,50615.11,0.0277
P0175,Apparel,9734.75,0.0911
P0176,Footwear,5828.99,0.1252
P0177,Beauty,3308.34,0.0666
P0178,Home,6857.63,0.0588
P0179,Home,22011.72,0.07
P0180,Grocery,2134.26,0.0251
P0181,Electronics,19565.2,0.0202
P0182,Apparel,1368.55,0.119
P0183,Apparel,8972.79,0.1001
P0184,Apparel,3613.6,0.0881
P0185,Electronics,39474.46,0.0207
P0186,Electronics,91842.47,0.0335
P0187,Home,29727.09,0.0853
P0188,Beauty,3942.03,0.0608
P0189,Footwear,3506.18,0.1277
P0190,Footwear,13623.0,0.1031
P0191,Apparel,8703.79,0.1039
P0192,Beauty,7226.25,0.0776
P0193,Beauty,5465.66,0.0666
P0194,Footwear,7229.11,0.1501
P0195,Apparel,9635.32,0.1343
P0196,Electronics,62571.74,0.0321
P0197,Electronics,85097.52,0.0308
P0198,Footwear,12214.81,0.1305
P0199,Beauty,780.82,0.0554
P0200,Beauty,3722.2,0.0457
P0201,Footwear,2255.45,0.1321
P0202,Beauty,955.61,0.0521
P0203,Grocery,3748.53,0.0489
P0204,Apparel,7319.77,0.1495
P0205,Apparel,7134.21,0.1006
P0206,Grocery,3393.06,0.0411
P0207,Apparel,4031.41,0.0812
P0208,Grocery,3545.68,0.0207
P0209,Grocery,3192.82,0.0249
P0210,Home,17185.3,0.0702
P0211,Beauty,404.06,0.0545
P0212,Home,18232.19,0.0839
P0213,Home,26714.94,0.0694
P0214,Apparel,7420.01,0.1022
P0215,Electronics,34876.45,0.0239
P0216,Apparel,5838.51,0.102
P0217,Home,2988.94,0.0774
P0218,Electronics,71067.57,0.0272
P0219,Electronics,8595.62,0.0285
P0220,Electronics,44791.21,0.0334
P0221,Home,9804.78,0.0773
P0222,Grocery,4370.29,0.0271
P0223,Grocery,4896.71,0.0316
P0224,Footwear,4595.07,0.1253
P0225,Beauty,1026.86,0.045
P0226,Home,12725.8,0.0805
P0227,Footwear,13584.43,0.1399
P0228,Footwear,2294.12,0.1403
P0229,Electronics,63907.36,0.0361
P0230,Grocery,4143.72,0.046
P0231,Apparel,4434.25,0.1289
P0232,Apparel,3048.38,0.15
P0233,Home,5672.36,0.0504
P0234,Apparel,1913.68,0.1343
P0235,Apparel,4744.44,0.1113
P0236,Home,28673.18,0.0868
P0237,Electronics,31808.28,0.0242
P0238,Home,25530.23,0.0862
P0239,Footwear,8490.68,0.1378
P0240,Home,8078.97,0.082
P0241,Home,19147.61,0.0701
P0242,Footwear,1653.54,0.155
P0243,Footwear,9539.41,0.1116
P0244,Home,18388.39,0.0771
P0245,Beauty,4348.43,0.0687
P0246,Home,17652.89,0.0879
P0247,Beauty,713.47,0.0442
P0248,Electronics,18193.49,0.0338
P0249,Apparel,6633.16,0.1424
P0250,Grocery,3691.1,0.0353
P0251,Apparel,9922.4,0.0986
P0252,Electronics,83485.97,0.0285
P0253,Footwear,10012.04,0.1436
P0254,Electronics,63741.65,0.0228
P0255,Apparel,4708.03,0.1193
P0256,Grocery,4260.31,0.0333
P0257,Footwear,13846.21,0.1264
P0258,Apparel,5713.41,0.1357
P0259,Grocery,2957.03,0.0488
P0260,Grocery,3335.65,0.0357
P0261,Apparel,724.12,0.109
P0262,Apparel,3342.86,0.1324
P0263,Beauty,1903.74,0.0482
P0264,Home,6090.81,0.055
P0265,Home,9674.71,0.0854
P0266,Beauty,6266.95,0.0694
P0267,Home,24021.44,0.0608
P0268,Apparel,8930.7,0.0896
P0269,Home,10422.2,0.0735
P0270,Apparel,1477.6,0.1311
P0271,Beauty,3281.79,0.0714
P0272,Home,15040.44,0.0572
P0273,Electronics,73741.42,0.025
P0274,Footwear,7769.51,0.1045
P0275,Apparel,6369.73,0.1266
P0276,Apparel,4097.4,0.1468
P0277,Home,26287.98,0.0783
P0278,Apparel,7279.69,0.0977
P0279,Beauty,5357.48,0.0479
P0280,Electronics,15256.32,0.04
P0281,Home,18860.09,0.0672
P0282,Beauty,2518.87,0.0642
P0283,Home,1963.01,0.0538
P0284,Footwear,1266.57,0.13
P0285,Grocery,3042.97,0.0219
P0286,Apparel,7351.63,0.0961
P0287,Electronics,68834.94,0.0396
P0288,Apparel,7065.51,0.1418
P0289,Electronics,94871.65,0.0297
P0290,Grocery,3541.39,0.0456
P0291,Apparel,3887.78,0.0983
P0292,Beauty,7588.81,0.0691
P0293,Beauty,1991.55,0.058
P0294,Apparel,8066.29,0.1183
P0295,Home,19673.59,0.0802
P0296,Electronics,62578.91,0.0308
P0297,Footwear,11444.52,0.1437
P0298,Electronics,63357.37,0.0272
P0299,Grocery,2088.48,0.0491
P0300,Grocery,650.69,0.0281
P0301,Apparel,5177.82,0.1386
P0302,Apparel,2054.92,0.0994
P0303,Beauty,806.65,0.0682
P0304,Apparel,2762.99,0.1072
P0305,Beauty,3716.5,0.0757
P0306,Footwear,6640.89,0.1087
P0307,Apparel,5480.99,0.1474
P0308,Beauty,4979.18,0.0793
P0309,Footwear,12743.72,0.1022
P0310,Grocery,3326.16,0.0286
P0311,Grocery,2842.12,0.0284
P0312,Electronics,35538.17,0.0385
P0313,Electronics,21457.68,0.0375
P0314,Grocery,249.24,0.0227
P0315,Grocery,4287.91,0.0389
P0316,Electronics,74976.38,0.0242
P0317,Beauty,4435.54,0.0695
P0318,Footwear,9707.86,0.1283
P0319,Apparel,9617.95,0.1273
P0320,Beauty,7289.68,0.0692
P0321,Electronics,73810.89,0.0216
P0322,Grocery,1861.38,0.0458
P0323,Apparel,2709.74,0.0881
P0324,Home,10120.13,0.0588
P0325,Apparel,9290.24,0.1408
P0326,Footwear,7895.5,0.1037
P0327,Home,21579.59,0.0749
P0328,Electronics,97084.91,0.0312
P0329,Footwear,5576.79,0.1311
P0330,Footwear,14705.54,0.1418
P0331,Electronics,67525.64,0.0248
P0332,Beauty,6025.74,0.07
P0333,Apparel,3514.25,0.1139
P0334,Footwear,4983.37,0.1155
P0335,Footwear,1167.72,0.1171
P0336,Footwear,8666.37,0.1001
P0337,Electronics,29038.69,0.0376
P0338,Apparel,6139.66,0.1226
P0339,Footwear,6527.77,0.1406
P0340,Home,6103.02,0.0827
P0341,Beauty,1198.51,0.0662
P0342,Footwear,5644.32,0.1449
P0343,Electronics,55426.69,0.029
P0344,Apparel,2109.51,0.1246
P0345,Electronics,97502.21,0.0365
P0346,Electronics,6940.81,0.0275
P0347,Apparel,9293.04,0.1152
P0348,Apparel,6790.06,0.1439
P0349,Apparel,8801.05,0.1151
P0350,Electronics,44326.98,0.0268
P0351,Electronics,72182.92,0.0257
P0352,Electronics,25738.87,0.0271
P0353,Electronics,18544.29,0.0339
P0354,Apparel,6354.29,0.1138
P0355,Footwear,6342.63,0.1545
P0356,Electronics,3883.25,0.0354
P0357,Apparel,9068.14,0.1112
P0358,Apparel,5731.56,0.1461
P0359,Electronics,22015.47,0.0304
P0360,Electronics,47997.39,0.0252
P0361,Footwear,12424.02,0.154
P0362,Home,23567.01,0.0578
P0363,Apparel,1324.11,0.1224
P0364,Electronics,6652.38,0.0335
P0365,Beauty,4384.27,0.0665
P0366,Apparel,6106.62,0.1096
P0367,Apparel,2408.33,0.1014
P0368,Beauty,4338.65,0.0661
P0369,Beauty,6302.02,0.0707
P0370,Apparel,9740.54,0.1
P0371,Footwear,1809.77,0.1207
P0372,Apparel,7561.3,0.1107
P0373,Electronics,81961.05,0.031
P0374,Footwear,14003.04,0.1569
P0375,Electronics,7861.15,0.0291
P0376,Apparel,6292.05,0.0979
P0377,Grocery,2094.68,0.0403
P0378,Grocery,1211.0,0.0381
P0379,Apparel,7125.75,0.0863
P0380,Home,15177.11,0.0605
P0381,Footwear,11086.29,0.1114
P0382,Beauty,7170.23,0.0572
P0383,Apparel,2381.03,0.1107
P0384,Electronics,41465.63,0.0286
P0385,Electronics,58970.57,0.0304
P0386,Apparel,1922.88,0.0846
P0387,Apparel,7429.45,0.1192
P0388,Beauty,3064.31,0.0723
P0389,Home,11947.72,0.0818
P0390,Apparel,3404.68,0.0851
P0391,Footwear,14043.48,0.1237
P0392,Electronics,79476.56,0.0256
P0393,Beauty,5277.01,0.0749
P0394,Grocery,304.06,0.0449
P0395,Grocery,2899.53,0.0382
P0396,Beauty,4328.32,0.075
P0397,Electronics,5299.9,0.0252
P0398,Electronics,87700.49,0.035
P0399,Footwear,1050.56,0.131
P0400,Grocery,2694.91,0.032
P0401,Electronics,30441.94,0.0336
P0402,Electronics,21571.26,0.036
P0403,Beauty,6483.39,0.0566
P0404,Electronics,29071.25,0.0257
P0405,Apparel,5081.77,0.1304
P0406,Home,11086.63,0.0744
P0407,Apparel,4133.6,0.1013
P0408,Electronics,3461.09,0.0201
P0409,Beauty,2049.5,0.0563
P0410,Home,25612.2,0.0819
P0411,Grocery,1409.11,0.0273
P0412,Apparel,2659.56,0.1037
P0413,Electronics,50321.67,0.0288
P0414,Home,6939.06,0.0552
P0415,Footwear,978.6,0.1092
P0416,Apparel,7200.89,0.0971
P0417,Beauty,3908.23,0.0637
P0418,Apparel,8924.99,0.1422
P0419,Apparel,7584.47,0.0825
P0420,Electronics,57931.97,0.0357
P0421,Apparel,664.24,0.1185
P0422,Apparel,8648.76,0.1132
P0423,Footwear,858.31,0.1007
P0424,Home,12790.76,0.0562
P0425,Grocery,3355.81,0.0413
P0426,Electronics,18610.1,0.0378
P0427,Electronics,44748.88,0.0229
P0428,Electronics,76660.91,0.0358
P0429,Electronics,64290.25,0.0371
P0430,Home,22252.5,0.0853
P0431,Home,13299.7,0.0799
P0432,Beauty,7998.09,0.069
P0433,Apparel,1584.75,0.1163
P0434,Apparel,6079.8,0.0922
P0435,Footwear,14473.06,0.1105
P0436,Electronics,18578.23,0.0383
P0437,Home,14223.56,0.0525
P0438,Grocery,3031.12,0.0381
P0439,Apparel,1112.76,0.1481
P0440,Beauty,4489.03,0.0624
P0441,Footwear,8185.64,0.1366
P0442,Electronics,27165.68,0.0257
P0443,Footwear,8061.02,0.1484
P0444,Apparel,973.71,0.1222
P0445,Electronics,80871.04,0.0231
P0446,Home,943.16,0.0625
P0447,Beauty,4828.71,0.0455
P0448,Apparel,4548.16,0.1187
P0449,Apparel,6189.39,0.0992
P0450,Beauty,3380.23,0.0711
P0451,Beauty,7547.35,0.0745
P0452,Home,17146.36,0.0664
P0453,Apparel,3663.09,0.0887
P0454,Grocery,622.1,0.0407
P0455,Electronics,26719.65,0.0251
P0456,Home,29946.75,0.0575
P0457,Electronics,15657.92,0.022
P0458,Home,17604.26,0.0751
P0459,Apparel,3969.67,0.1175
P0460,Apparel,7989.8,0.1373
P0461,Apparel,9600.16,0.1377
P0462,Electronics,56919.3,0.0236
P0463,Home,3443.02,0.0522
P0464,Beauty,5432.25,0.0723
P0465,Grocery,2592.55,0.0216
P0466,Electronics,54011.59,0.0387
P0467,Home,18129.59,0.0824
P0468,Home,24104.5,0.0873
P0469,Apparel,7817.17,0.1323
P0470,Electronics,24176.16,0.0212
P0471,Home,15769.18,0.055
P0472,Grocery,4814.76,0.0287
P0473,Home,25661.85,0.0655
P0474,Apparel,3570.35,0.1455
P0475,Footwear,5959.18,0.1234
P0476,Electronics,11503.09,0.0334
P0477,Beauty,2524.06,0.0634
P0478,Home,17944.88,0.0788
P0479,Electronics,74778.91,0.0303
P0480,Beauty,2848.64,0.0735
P0481,Apparel,3443.72,0.1155
P0482,Grocery,2066.14,0.0457
P0483,Apparel,4603.23,0.107
P0484,Electronics,69292.55,0.032
P0485,Apparel,1518.84,0.1156
P0486,Apparel,7487.04,0.1494
P0487,Electronics,63285.54,0.0274
P0488,Footwear,4011.35,0.1524
P0489,Footwear,12366.83,0.114
P0490,Home,6418.65,0.0786
P0491,Electronics,32180.25,0.0261
P0492,Footwear,2962.52,0.1158
P0493,Electronics,43323.25,0.0347
P0494,Home,10421.09,0.0631
P0495,Electronics,29206.41,0.0296
P0496,Grocery,985.12,0.0346
P0497,Home,21273.18,0.0512
P0498,Footwear,938.87,0.1045
P0499,Apparel,5588.77,0.1398
P0500,Electronics,1483.56,0.0387
