order_id,customer_id,product_id,order_ts,order_value,payment_method,discount_pct,category,size_variant
O00045,C0005,P0276,2026-01-04 22:06:00,4097.4,UPI,0,Apparel,XL
O00041,C0005,P0194,2026-02-18 10:23:00,5783.29,Card,20,Footwear,8
O00048,C0005,P0362,2026-02-19 19:22:00,14140.21,UPI,40,Home,
O00042,C0005,P0297,2026-03-21 19:08:00,6866.71,Card,40,Footwear,7
O00043,C0005,P0351,2026-04-07 17:36:00,50528.04,UPI,30,Electronics,
O00049,C0005,P0300,2026-04-14 17:25:00,553.09,UPI,15,Grocery,
O00050,C0005,P0497,2026-05-15 14:49:00,18082.2,Card,15,Home,
O00053,C0006,P0376,2025-04-06 13:44:00,6292.05,UPI,0,Apparel,L
O00055,C0006,P0078,2025-04-17 21:14:00,645.99,UPI,30,Apparel,XL
O00051,C0006,P0234,2025-11-09 20:08:00,956.84,Card,50,Apparel,M
O00052,C0006,P0131,2025-12-17 11:33:00,306.91,Card,40,Beauty,
O00054,C0006,P0225,2026-02-16 22:20:00,616.12,UPI,40,Beauty,
O00056,C0006,P0354,2026-06-22 09:27:00,5401.15,UPI,15,Apparel,XL
O00061,C0007,P0323,2025-04-21 09:56:00,2709.74,UPI,0,Apparel,XL
O00064,C0007,P0038,2025-04-24 10:55:00,5440.18,NetBanking,20,Beauty,
O00058,C0007,P0122,2025-07-30 15:25:00,29612.24,Card,50,Electronics,
O00057,C0007,P0344,2025-09-10 20:42:00,1265.71,UPI,40,Apparel,L
O00065,C0007,P0102,2025-11-30 08:40:00,9206.34,Card,10,Footwear,9
O00066,C0007,P0287,2026-04-17 09:56:00,41300.96,UPI,40,Electronics,
O00059,C0007,P0082,2026-05-07 11:41:00,5538.87,Wallet,10,Home,
O00063,C0007,P0359,2026-05-18 11:40:00,20914.7,Card,5,Electronics,
O00062,C0007,P0099,2026-06-23 16:17:00,2075.24,UPI,15,Beauty,
O00060,C0007,P0493,2026-07-27 18:28:00,36824.76,Card,15,Electronics,
O00070,C0008,P0124,2025-01-10 16:58:00,3212.06,Card,10,Footwear,9
O00069,C0008,P0234,2025-02-15 15:17:00,1530.94,UPI,20,Apparel,L
O00067,C0008,P0273,2025-09-01 14:26:00,62680.21,Wallet,15,Electronics,
O00068,C0008,P0013,2026-01-15 20:25:00,7748.65,Wallet,40,Footwear,7
O00071,C0008,P0374,2026-03-18 16:14:00,7001.52,Card,50,Footwear,10
O00080,C0009,P0433,2025-02-17 15:48:00,950.85,NetBanking,40,Apparel,S
O00072,C0009,P0486,2025-04-01 14:14:00,7112.69,NetBanking,5,Apparel,S
O00078,C0009,P0397,2025-09-14 08:46:00,4239.92,UPI,20,Electronics,
O00073,C0009,P0249,2025-11-02 21:21:00,5306.53,UPI,20,Apparel,S
O00076,C0009,P0287,2026-03-07 17:04:00,68834.94,UPI,0,Electronics,
O00081,C0009,P0216,2026-03-25 16:00:00,5546.58,Wallet,5,Apparel,S
O00075,C0009,P0139,2026-04-04 13:00:00,5947.42,UPI,20,Apparel,XL
O00077,C0009,P0064,2026-07-14 17:49:00,74806.08,UPI,20,Electronics,
O00074,C0009,P0164,2026-07-22 22:25:00,1522.62,UPI,30,Beauty,
O00079,C0009,P0461,2026-07-25 19:32:00,8160.14,NetBanking,15,Apparel,S
O00082,C0010,P0434,2025-05-24 16:55:00,4863.84,UPI,20,Apparel,S
O00092,C0010,P0383,2025-06-08 20:10:00,2142.93,Card,10,Apparel,M
O00083,C0010,P0273,2025-07-10 19:59:00,44244.85,NetBanking,40,Electronics,
O00084,C0010,P0057,2025-07-11 11:16:00,10041.56,Wallet,0,Home,
O00089,C0010,P0032,2025-10-29 16:58:00,51573.45,Card,40,Electronics,
O00086,C0010,P0125,2025-11-30 13:15:00,5116.23,UPI,20,Apparel,XL
O00091,C0010,P0159,2025-12-11 23:19:00,14301.45,Card,10,Home,
O00088,C0010,P0027,2025-12-22 17:57:00,6208.27,UPI,5,Apparel,L
O00087,C0010,P0201,2025-12-22 19:16:00,1804.36,UPI,20,Footwear,9
O00090,C0010,P0046,2026-04-28 17:15:00,8857.69,UPI,0,Footwear,7
O00085,C0010,P0271,2026-07-13 23:10:00,2953.61,UPI,10,Beauty,
O00094,C0011,P0122,2025-03-22 20:25:00,56263.26,NetBanking,5,Electronics,
O00098,C0011,P0472,2025-07-14 21:51:00,4333.28,Card,10,Grocery,
O00100,C0011,P0178,2025-08-30 18:30:00,6857.63,Wallet,0,Home,
O00093,C0011,P0035,2025-12-02 23:20:00,12386.97,Card,5,Electronics,
O00101,C0011,P0417,2026-01-19 14:30:00,3908.23,NetBanking,0,Beauty,
O00097,C0011,P0072,2026-03-03 21:41:00,380.33,UPI,10,Beauty,
O00095,C0011,P0156,2026-03-25 19:35:00,8321.37,UPI,10,Apparel,XL
O00096,C0011,P0166,2026-04-06 18:15:00,3265.11,Card,40,Apparel,XL
O00102,C0011,P0047,2026-04-21 12:42:00,67569.55,UPI,30,Electronics,
O00099,C0011,P0467,2026-07-20 15:21:00,9064.8,Card,50,Home,
O00103,C0012,P0268,2025-01-23 13:53:00,7591.1,Card,15,Apparel,L
O00108,C0012,P0116,2025-02-20 12:03:00,39018.15,Card,15,Electronics,
O00106,C0012,P0338,2025-06-20 11:02:00,5832.68,UPI,5,Apparel,M
O00109,C0012,P0074,2025-07-03 14:17:00,6763.21,UPI,5,Apparel,M
O00104,C0012,P0164,2025-08-04 14:56:00,1740.14,UPI,20,Beauty,
O00107,C0012,P0320,2025-08-20 22:04:00,6925.2,Card,5,Beauty,
O00105,C0012,P0311,2026-07-11 19:00:00,1989.48,Card,30,Grocery,
O00110,C0012,P0479,2026-07-25 19:00:00,44867.35,UPI,40,Electronics,
O00114,C0013,P0489,2025-11-25 22:54:00,9893.46,UPI,20,Footwear,11
O00116,C0013,P0142,2025-12-10 23:32:00,4771.33,NetBanking,10,Beauty,
O00117,C0013,P0055,2026-04-06 20:04:00,6839.65,NetBanking,0,Apparel,S
O00115,C0013,P0147,2026-04-19 08:21:00,1552.61,NetBanking,10,Grocery,
O00112,C0013,P0471,2026-06-17 14:03:00,12615.34,UPI,20,Home,
O00111,C0013,P0189,2026-06-25 21:49:00,2804.94,UPI,20,Footwear,9
O00113,C0013,P0213,2026-08-05 16:57:00,24043.45,Card,10,Home,
O00127,C0014,P0042,2025-02-08 08:41:00,1783.8,UPI,30,Apparel,M
O00128,C0014,P0137,2025-05-13 10:15:00,4776.58,UPI,30,Apparel,L
O00125,C0014,P0474,2025-07-07 08:07:00,2499.24,Wallet,30,Apparel,L
O00120,C0014,P0397,2025-10-02 12:55:00,4239.92,NetBanking,20,Electronics,
O00122,C0014,P0312,2025-12-02 14:32:00,21322.9,UPI,40,Electronics,
O00126,C0014,P0248,2026-02-14 17:22:00,15464.47,UPI,15,Electronics,
O00123,C0014,P0456,2026-05-05 11:03:00,20962.72,UPI,30,Home,
O00121,C0014,P0408,2026-05-12 20:22:00,2768.87,NetBanking,20,Electronics,
O00118,C0014,P0052,2026-05-14 17:40:00,10908.65,UPI,40,Home,
O00124,C0014,P0197,2026-05-24 17:25:00,68078.02,UPI,20,Electronics,
O00119,C0014,P0370,2026-08-14 09:48:00,8279.46,Card,15,Apparel,XL
O00138,C0015,P0482,2025-01-19 11:19:00,1652.91,Card,20,Grocery,
O00129,C0015,P0457,2025-01-21 10:24:00,14875.02,Card,5,Electronics,
O00136,C0015,P0110,2025-02-06 23:06:00,3219.22,Card,30,Footwear,10
O00135,C0015,P0411,2025-06-22 11:21:00,1127.29,NetBanking,20,Grocery,
O00139,C0015,P0080,2025-07-11 23:03:00,3844.83,Card,20,Apparel,XL
O00134,C0015,P0440,2025-09-21 08:30:00,4040.13,Card,10,Beauty,
O00137,C0015,P0011,2025-12-10 15:31:00,17083.36,Card,10,Electronics,
O00133,C0015,P0196,2025-12-16 11:02:00,62571.74,Card,0,Electronics,
O00140,C0015,P0059,2026-03-12 08:47:00,19881.45,Card,10,Electronics,
O00130,C0015,P0416,2026-03-24 23:20:00,5040.62,UPI,30,Apparel,M
O00132,C0015,P0490,2026-05-05 20:05:00,5455.85,UPI,15,Home,
O00131,C0015,P0485,2026-06-05 16:24:00,911.3,Card,40,Apparel,XL
O00141,C0016,P0428,2025-01-08 23:17:00,53662.64,Card,30,Electronics,
O00150,C0016,P0210,2025-01-29 14:26:00,14607.5,Card,15,Home,
O00149,C0016,P0227,2025-02-02 16:21:00,10867.54,NetBanking,20,Footwear,7
O00145,C0016,P0441,2025-08-19 23:15:00,4911.38,NetBanking,40,Footwear,9
O00152,C0016,P0094,2025-08-25 20:22:00,14306.62,NetBanking,20,Electronics,
O00148,C0016,P0345,2025-09-26 15:55:00,78001.77,UPI,20,Electronics,
O00144,C0016,P0183,2025-12-04 09:52:00,8075.51,NetBanking,10,Apparel,S
O00143,C0016,P0338,2025-12-05 13:07:00,6139.66,Wallet,0,Apparel,S
O00146,C0016,P0437,2026-01-03 16:31:00,12801.2,UPI,10,Home,
O00142,C0016,P0204,2026-06-02 16:54:00,7319.77,NetBanking,0,Apparel,S
O00147,C0016,P0308,2026-06-25 23:11:00,3485.43,Wallet,30,Beauty,
O00151,C0016,P0226,2026-07-12 10:04:00,10180.64,UPI,20,Home,
O00168,C0017,P0223,2025-09-02 12:12:00,4407.04,UPI,10,Grocery,
O00171,C0017,P0296,2025-09-15 23:28:00,37547.35,UPI,40,Electronics,
O00157,C0017,P0216,2025-11-01 12:16:00,5254.66,Card,10,Apparel,L
O00172,C0017,P0183,2025-11-07 08:54:00,7626.87,NetBanking,15,Apparel,M
O00166,C0017,P0005,2025-11-10 18:22:00,1778.83,UPI,10,Beauty,
O00165,C0017,P0365,2025-11-22 23:35:00,3945.84,Card,10,Beauty,
O00156,C0017,P0260,2025-11-27 20:40:00,2668.52,UPI,20,Grocery,
O00153,C0017,P0183,2025-12-30 12:21:00,7178.23,Card,20,Apparel,XL
O00161,C0017,P0471,2026-01-02 10:06:00,12615.34,Card,20,Home,
O00160,C0017,P0376,2026-01-25 17:30:00,5348.24,UPI,15,Apparel,S
O00170,C0017,P0218,2026-03-01 20:50:00,56854.06,NetBanking,20,Electronics,
O00154,C0017,P0049,2026-03-13 11:01:00,1910.09,UPI,30,Grocery,
O00158,C0017,P0208,2026-03-25 09:09:00,2127.41,UPI,40,Grocery,
O00159,C0017,P0077,2026-06-08 20:46:00,7116.38,Card,40,Home,
O00164,C0017,P0259,2026-06-12 18:14:00,2957.03,Card,0,Grocery,
O00163,C0017,P0486,2026-06-16 08:28:00,7487.04,NetBanking,0,Apparel,L
O00169,C0017,P0310,2026-07-20 23:30:00,1663.08,UPI,50,Grocery,
O00167,C0017,P0500,2026-07-29 22:53:00,1038.49,Card,30,Electronics,
O00155,C0017,P0123,2026-08-01 18:12:00,1684.74,NetBanking,30,Apparel,XL
O00162,C0017,P0195,2026-08-08 21:38:00,8671.79,UPI,10,Apparel,XL
O00177,C0018,P0076,2025-06-13 16:27:00,6587.44,Card,15,Apparel,M
O00175,C0018,P0056,2025-08-11 15:50:00,3273.49,Card,15,Grocery,
O00173,C0018,P0346,2025-12-02 22:05:00,5552.65,Card,20,Electronics,
O00178,C0018,P0470,2025-12-11 20:17:00,14505.7,UPI,40,Electronics,
O00176,C0018,P0281,2026-05-07 20:01:00,11316.05,UPI,40,Home,
O00174,C0018,P0403,2026-06-24 15:13:00,6159.22,Card,5,Beauty,
O00188,C0019,P0144,2025-01-24 12:40:00,3207.38,UPI,20,Apparel,S
O00187,C0019,P0284,2025-03-11 13:54:00,1013.26,UPI,20,Footwear,7
O00183,C0019,P0141,2025-05-18 09:05:00,21267.23,NetBanking,0,Electronics,
O00179,C0019,P0119,2025-07-07 20:56:00,989.3,Card,50,Grocery,
O00186,C0019,P0033,2025-09-17 17:02:00,2941.97,UPI,40,Grocery,
O00189,C0019,P0357,2025-12-14 21:17:00,8161.33,UPI,10,Apparel,S
O00185,C0019,P0086,2026-02-01 20:20:00,6521.54,Card,20,Apparel,XL
O00184,C0019,P0316,2026-03-07 15:06:00,63729.92,UPI,15,Electronics,
O00182,C0019,P0163,2026-05-18 17:18:00,7154.52,Card,20,Apparel,S
O00181,C0019,P0438,2026-06-25 13:00:00,2728.01,NetBanking,10,Grocery,
O00180,C0019,P0406,2026-07-21 10:56:00,8869.3,UPI,20,Home,
O00195,C0020,P0175,2025-12-08 10:36:00,5840.85,NetBanking,40,Apparel,M
O00193,C0020,P0076,2026-01-11 18:43:00,6199.94,UPI,20,Apparel,XL
O00191,C0020,P0386,2026-03-14 14:42:00,1538.3,UPI,20,Apparel,S
O00196,C0020,P0206,2026-03-22 21:34:00,2884.1,UPI,15,Grocery,
O00194,C0020,P0084,2026-03-31 22:03:00,16113.39,Card,0,Home,
O00198,C0020,P0146,2026-04-21 20:35:00,8882.89,Card,0,Apparel,L
O00192,C0020,P0226,2026-05-23 14:41:00,10180.64,NetBanking,20,Home,
O00197,C0020,P0386,2026-06-09 22:12:00,1538.3,NetBanking,20,Apparel,XL
O00190,C0020,P0402,2026-07-20 16:55:00,19414.13,Card,10,Electronics,
O00206,C0021,P0367,2025-04-11 23:47:00,1685.83,UPI,30,Apparel,L
O00203,C0021,P0401,2025-04-20 20:49:00,25875.65,UPI,15,Electronics,
O00204,C0021,P0244,2025-06-15 17:10:00,18388.39,Card,0,Home,
O00207,C0021,P0372,2025-06-22 13:34:00,5292.91,Card,30,Apparel,S
O00199,C0021,P0235,2025-08-22 23:54:00,4507.22,UPI,5,Apparel,L
O00202,C0021,P0114,2025-09-21 23:42:00,1065.54,UPI,30,Home,
O00209,C0021,P0471,2025-11-29 22:43:00,15769.18,UPI,0,Home,
O00201,C0021,P0288,2025-12-30 17:49:00,6358.96,UPI,10,Apparel,L
O00210,C0021,P0336,2026-02-13 14:22:00,8666.37,NetBanking,0,Footwear,9
O00211,C0021,P0195,2026-06-11 08:06:00,9635.32,UPI,0,Apparel,S
O00208,C0021,P0460,2026-06-17 11:34:00,6391.84,UPI,20,Apparel,L
O00205,C0021,P0483,2026-06-27 20:53:00,3222.26,UPI,30,Apparel,M
O00200,C0021,P0378,2026-08-15 17:55:00,968.8,UPI,20,Grocery,
O00213,C0022,P0051,2025-03-22 11:02:00,381.92,NetBanking,40,Apparel,L
O00217,C0022,P0425,2026-03-09 08:48:00,2013.49,Wallet,40,Grocery,
O00220,C0022,P0208,2026-03-26 22:27:00,1772.84,UPI,50,Grocery,
O00219,C0022,P0147,2026-04-08 22:55:00,1207.58,NetBanking,30,Grocery,
O00216,C0022,P0445,2026-04-09 15:22:00,64696.83,Card,20,Electronics,
O00214,C0022,P0168,2026-04-26 11:13:00,1310.32,UPI,30,Grocery,
O00212,C0022,P0349,2026-04-26 14:11:00,4400.52,UPI,50,Apparel,L
O00218,C0022,P0172,2026-05-09 17:54:00,1471.33,UPI,20,Grocery,
O00215,C0022,P0376,2026-08-14 13:32:00,6292.05,Card,0,Apparel,S
O00226,C0023,P0008,2025-05-31 11:09:00,2899.55,NetBanking,10,Grocery,
O00232,C0023,P0411,2025-09-06 16:13:00,1197.74,Card,15,Grocery,
O00230,C0023,P0362,2025-09-15 20:16:00,14140.21,Card,40,Home,
O00229,C0023,P0435,2025-11-11 14:56:00,10131.14,Card,30,Footwear,8
O00223,C0023,P0475,2025-12-07 10:52:00,5661.22,NetBanking,5,Footwear,9
O00233,C0023,P0163,2025-12-21 13:54:00,8048.84,NetBanking,10,Apparel,M
O00221,C0023,P0024,2025-12-29 14:03:00,24769.76,UPI,40,Electronics,
O00228,C0023,P0204,2026-01-21 09:49:00,7319.77,UPI,0,Apparel,XL
O00224,C0023,P0263,2026-05-15 08:56:00,1618.18,UPI,15,Beauty,
O00231,C0023,P0440,2026-07-09 23:19:00,4040.13,Card,10,Beauty,
O00227,C0023,P0061,2026-07-11 15:28:00,7744.07,Card,0,Apparel,S
O00225,C0023,P0077,2026-08-05 13:04:00,11267.6,Card,5,Home,
O00222,C0023,P0055,2026-08-19 21:29:00,5471.72,NetBanking,20,Apparel,S
O00241,C0024,P0319,2025-01-01 10:05:00,9137.05,Card,5,Apparel,M
O00239,C0024,P0033,2025-03-03 12:46:00,4412.95,Card,10,Grocery,
O00237,C0024,P0494,2025-03-23 15:46:00,7294.76,Card,30,Home,
O00243,C0024,P0485,2025-04-15 09:58:00,1442.9,NetBanking,5,Apparel,XL
O00235,C0024,P0430,2025-06-11 12:19:00,21139.88,Card,5,Home,
O00242,C0024,P0476,2025-11-20 11:03:00,6901.85,UPI,40,Electronics,
O00234,C0024,P0202,2026-02-20 11:09:00,812.27,UPI,15,Beauty,
O00238,C0024,P0263,2026-03-25 23:57:00,1903.74,Card,0,Beauty,
O00236,C0024,P0326,2026-04-11 10:41:00,5526.85,NetBanking,30,Footwear,11
O00240,C0024,P0076,2026-05-17 16:18:00,7362.43,Wallet,5,Apparel,XL
O00245,C0025,P0380,2025-02-11 20:56:00,13659.4,UPI,10,Home,
O00253,C0025,P0019,2025-03-07 14:08:00,27441.02,UPI,5,Home,
O00249,C0025,P0477,2025-03-15 20:59:00,2145.45,Card,15,Beauty,
O00247,C0025,P0375,2025-04-05 13:09:00,7468.09,UPI,5,Electronics,
O00254,C0025,P0409,2025-04-22 09:22:00,1639.6,UPI,20,Beauty,
O00251,C0025,P0394,2025-04-25 16:57:00,288.86,Card,5,Grocery,
O00248,C0025,P0077,2025-07-27 11:28:00,5930.32,Card,50,Home,
O00246,C0025,P0265,2025-10-19 16:15:00,8223.5,Card,15,Home,
O00250,C0025,P0235,2025-11-28 21:24:00,4744.44,NetBanking,0,Apparel,L
O00252,C0025,P0306,2026-06-10 17:15:00,4648.62,UPI,30,Footwear,10
O00244,C0025,P0290,2026-08-01 20:22:00,3187.25,Card,10,Grocery,
O00259,C0026,P0266,2025-08-10 21:48:00,4386.86,UPI,30,Beauty,
O00264,C0026,P0081,2025-09-20 21:38:00,58550.78,NetBanking,0,Electronics,
O00263,C0026,P0059,2025-09-26 10:33:00,18776.92,Card,15,Electronics,
O00262,C0026,P0099,2026-02-22 09:35:00,2441.46,Card,0,Beauty,
O00257,C0026,P0180,2026-03-06 12:58:00,1920.83,Wallet,10,Grocery,
O00256,C0026,P0307,2026-03-18 16:11:00,4384.79,Wallet,20,Apparel,S
O00265,C0026,P0318,2026-03-19 20:58:00,7766.29,Card,20,Footwear,8
O00261,C0026,P0132,2026-03-24 18:47:00,29810.56,Card,0,Home,
O00258,C0026,P0150,2026-05-14 17:15:00,4223.11,Card,0,Footwear,9
O00255,C0026,P0480,2026-05-17 20:58:00,1709.18,NetBanking,40,Beauty,
O00260,C0026,P0379,2026-06-12 18:46:00,6413.18,Card,10,Apparel,S
O00266,C0027,P0380,2025-01-08 08:50:00,15177.11,UPI,0,Home,
O00271,C0027,P0035,2025-01-18 12:12:00,11083.08,Card,15,Electronics,
O00273,C0027,P0212,2025-03-21 12:28:00,14585.75,UPI,20,Home,
O00267,C0027,P0175,2025-09-06 18:18:00,9248.01,UPI,5,Apparel,XL
O00269,C0027,P0326,2025-09-30 09:36:00,7895.5,UPI,0,Footwear,11
O00274,C0027,P0212,2025-10-09 23:18:00,16408.97,UPI,10,Home,
O00275,C0027,P0298,2025-11-13 17:53:00,60189.5,UPI,5,Electronics,
O00270,C0027,P0413,2026-02-20 15:15:00,50321.67,UPI,0,Electronics,
O00272,C0027,P0465,2026-03-24 08:24:00,2333.3,UPI,10,Grocery,
O00268,C0027,P0417,2026-08-06 08:57:00,3517.41,UPI,10,Beauty,
O00283,C0028,P0273,2026-01-11 16:07:00,51618.99,UPI,30,Electronics,
O00276,C0028,P0025,2026-04-20 18:58:00,3896.5,UPI,30,Apparel,XL
O00282,C0028,P0378,2026-04-30 11:32:00,605.5,UPI,50,Grocery,
O00279,C0028,P0086,2026-05-30 10:16:00,7336.74,Card,10,Apparel,M
O00278,C0028,P0352,2026-06-13 12:58:00,15443.32,UPI,40,Electronics,
O00281,C0028,P0485,2026-06-16 11:22:00,911.3,Wallet,40,Apparel,M
O00280,C0028,P0397,2026-07-13 13:14:00,4239.92,UPI,20,Electronics,
O00277,C0028,P0207,2026-08-08 12:06:00,2821.99,Card,30,Apparel,M
O00290,C0029,P0252,2025-05-20 17:34:00,41742.98,Card,50,Electronics,
O00285,C0029,P0327,2025-07-01 17:13:00,18342.65,UPI,15,Home,
O00284,C0029,P0176,2025-07-30 22:09:00,4663.19,UPI,20,Footwear,7
O00287,C0029,P0418,2025-09-22 14:15:00,6247.49,NetBanking,30,Apparel,L
O00286,C0029,P0093,2025-11-26 10:55:00,1283.1,UPI,15,Apparel,S
O00289,C0029,P0020,2026-07-16 11:27:00,2528.66,Card,0,Beauty,
O00288,C0029,P0139,2026-07-27 17:41:00,7434.27,Card,0,Apparel,M
O00297,C0030,P0356,2025-02-09 14:46:00,2718.27,Card,30,Electronics,
O00291,C0030,P0106,2025-05-17 21:21:00,4650.06,UPI,5,Apparel,XL
O00292,C0030,P0150,2025-08-31 10:15:00,3589.64,Card,15,Footwear,8
O00294,C0030,P0343,2025-11-07 16:26:00,52655.36,UPI,5,Electronics,
O00296,C0030,P0094,2026-01-08 10:52:00,17883.27,NetBanking,0,Electronics,
O00295,C0030,P0308,2026-05-02 16:23:00,4730.22,UPI,5,Beauty,
O00293,C0030,P0379,2026-08-17 17:12:00,4275.45,NetBanking,40,Apparel,XL
O00304,C0031,P0192,2025-01-24 16:15:00,6864.94,Card,5,Beauty,
O00299,C0031,P0341,2025-02-26 17:42:00,1138.58,UPI,5,Beauty,
O00301,C0031,P0134,2025-04-18 15:06:00,72753.91,UPI,0,Electronics,
O00302,C0031,P0272,2025-04-26 16:09:00,12784.37,UPI,15,Home,
O00310,C0031,P0022,2025-06-21 19:12:00,2782.1,UPI,20,Beauty,
O00308,C0031,P0408,2025-08-15 14:07:00,3114.98,UPI,10,Electronics,
O00303,C0031,P0326,2025-08-23 16:52:00,6711.18,Card,15,Footwear,7
O00300,C0031,P0464,2025-09-04 17:52:00,3259.35,UPI,40,Beauty,
O00309,C0031,P0472,2026-01-06 14:11:00,3370.33,Card,30,Grocery,
O00306,C0031,P0071,2026-03-11 08:28:00,38507.37,UPI,15,Electronics,
O00307,C0031,P0207,2026-04-11 10:49:00,3628.27,UPI,10,Apparel,L
O00305,C0031,P0213,2026-04-27 19:37:00,13357.47,NetBanking,50,Home,
O00298,C0031,P0178,2026-05-26 11:07:00,6514.75,UPI,5,Home,
O00320,C0032,P0011,2025-01-08 16:39:00,16134.28,UPI,15,Electronics,
O00317,C0032,P0425,2025-05-11 23:04:00,2852.44,Card,15,Grocery,
O00312,C0032,P0358,2025-08-09 15:47:00,2865.78,Card,50,Apparel,M
O00316,C0032,P0219,2025-11-04 22:59:00,7736.06,UPI,10,Electronics,
O00315,C0032,P0187,2026-01-20 11:50:00,14863.54,Card,50,Home,
O00321,C0032,P0493,2026-01-22 11:26:00,34658.6,UPI,20,Electronics,
O00314,C0032,P0134,2026-01-26 12:52:00,72753.91,UPI,0,Electronics,
O00318,C0032,P0026,2026-03-30 18:57:00,72227.76,UPI,10,Electronics,
O00313,C0032,P0375,2026-07-11 20:25:00,7075.04,NetBanking,10,Electronics,
O00319,C0032,P0005,2026-08-12 23:15:00,1976.48,UPI,0,Beauty,
O00311,C0032,P0019,2026-08-18 11:50:00,20219.7,Card,30,Home,
O00325,C0033,P0088,2025-01-08 20:22:00,2384.58,Card,20,Grocery,
O00328,C0033,P0018,2025-01-12 11:44:00,4142.27,Card,40,Footwear,8
O00333,C0033,P0257,2025-03-09 15:20:00,13846.21,UPI,0,Footwear,9
O00324,C0033,P0055,2025-05-21 16:55:00,6839.65,Card,0,Apparel,L
O00327,C0033,P0155,2025-06-24 23:50:00,3229.5,UPI,0,Grocery,
O00322,C0033,P0348,2025-08-22 20:43:00,5432.05,Card,20,Apparel,XL
O00331,C0033,P0357,2025-11-23 15:36:00,9068.14,NetBanking,0,Apparel,XL
O00329,C0033,P0278,2025-12-19 17:52:00,6915.71,UPI,5,Apparel,S
O00323,C0033,P0176,2026-03-25 23:17:00,4663.19,UPI,20,Footwear,9
