order_id,returned,return_reason,days_to_return
O00186,1,Changed mind,13
O00189,0,,0
O00185,0,,0
O00184,0,,0
O00182,0,,0
O00181,0,,0
O00180,0,,0
O00195,0,,0
O00193,1,Size issue,11
O00191,0,,0
O00196,0,,0
O00194,0,,0
O00198,0,,0
O00192,1,Damaged product,6
O00197,0,,0
O00190,0,,0
O00206,0,,0
O00203,0,,0
O00204,0,,0
O00207,0,,0
O00199,1,Size issue,11
O00202,0,,0
O00209,0,,0
O00201,0,,0
O00210,0,,0
O00211,0,,0
O00208,0,,0
O00205,0,,0
O00200,0,,0
O00213,0,,0
O00217,0,,0
O00220,0,,0
O00219,0,,0
O00216,0,,0
O00214,0,,0
O00212,0,,0
O00218,0,,0
O00215,1,Product mismatch,12
O00226,0,,0
O00232,0,,0
O00230,0,,0
O00229,0,,0
O00223,0,,0
O00233,0,,0
O00221,1,Changed mind,14
O00228,1,Changed mind,3
O00224,0,,0
O00231,0,,0
O00227,0,,0
O00225,0,,0
O00222,0,,0
O00241,0,,0
O00239,0,,0
O00237,0,,0
O00243,0,,0
O00235,0,,0
O00242,0,,0
O00234,0,,0
O00238,0,,0
O00236,0,,0
O00240,1,Changed mind,3
O00245,0,,0
O00253,0,,0
O00249,0,,0
O00247,0,,0
O00254,0,,0
O00251,0,,0
O00248,0,,0
O00246,0,,0
O00250,0,,0
O00252,0,,0
O00244,0,,0
O00259,0,,0
O00264,0,,0
O00263,0,,0
O00262,0,,0
O00257,0,,0
O00256,1,Changed mind,4
O00265,0,,0
O00261,0,,0
O00258,0,,0
O00255,0,,0
O00260,0,,0
O00266,0,,0
O00271,0,,0
O00273,0,,0
O00267,0,,0
O00269,0,,0
O00274,1,Product mismatch,8
O00275,0,,0
O00270,0,,0
O00272,1,Changed mind,11
O00268,1,Damaged product,14
O00283,0,,0
O00276,0,,0
O00282,0,,0
O00279,0,,0
O00278,0,,0
O00281,0,,0
O00280,0,,0
O00277,1,Product mismatch,2
O00290,0,,0
O00285,0,,0
O00284,0,,0
O00287,0,,0
O00286,0,,0
O00289,0,,0
O00288,0,,0
O00297,0,,0
O00291,0,,0
O00292,0,,0
O00294,0,,0
O00296,0,,0
O00295,0,,0
O00293,1,Size issue,8
O00304,1,Damaged product,5
O00299,0,,0
O00301,0,,0
O00302,0,,0
O00310,0,,0
O00308,0,,0
O00303,1,Product mismatch,8
O00300,0,,0
O00309,0,,0
O00306,0,,0
O00307,0,,0
O00305,0,,0
O00298,0,,0
O00320,0,,0
O00317,0,,0
O00312,0,,0
O00316,0,,0
O00315,0,,0
O00321,0,,0
O00314,0,,0
O00318,0,,0
O00313,0,,0
O00319,0,,0
O00311,0,,0
O00325,0,,0
O00328,0,,0
O00333,0,,0
O00324,0,,0
O00327,0,,0
O00322,0,,0
O00331,1,Size issue,8
O00329,0,,0
O00323,0,,0
O00326,0,,0
O00330,1,Changed mind,3
O00332,0,,0
O00339,0,,0
O00340,0,,0
O00336,1,Changed mind,5
O00338,1,Product mismatch,4
O00341,0,,0
O00335,0,,0
O00337,0,,0
O00334,0,,0
O00342,0,,0
O00343,0,,0
O00347,0,,0
O00344,0,,0
O00346,0,,0
O00348,0,,0
O00345,0,,0
O00357,0,,0
O00352,0,,0
O00354,0,,0
O00349,0,,0
O00353,0,,0
O00356,0,,0
O00351,0,,0
O00355,0,,0
O00350,0,,0
O00372,0,,0
O00369,1,Changed mind,2
O00367,1,Size issue,13
O00375,1,Changed mind,2
O00366,0,,0
O00370,0,,0
O00363,0,,0
O00360,0,,0
O00368,0,,0
O00364,0,,0
O00373,0,,0
O00362,0,,0
O00365,0,,0
O00361,0,,0
O00358,0,,0
O00371,0,,0
O00374,0,,0
O00359,1,Damaged product,3
O00383,0,,0
O00391,0,,0
O00381,0,,0
O00392,0,,0
O00389,0,,0
O00380,0,,0
O00385,1,Product mismatch,2
O00376,0,,0
O00388,0,,0
O00378,0,,0
O00393,0,,0
O00387,0,,0
O00382,0,,0
O00390,0,,0
O00377,0,,0
O00386,1,Product mismatch,9
O00384,0,,0
O00379,0,,0
O00397,0,,0
O00398,0,,0
O00396,0,,0
O00394,1,Size issue,11
O00395,0,,0
O00406,0,,0
O00400,0,,0
O00404,0,,0
O00401,0,,0
O00403,0,,0
O00405,0,,0
O00399,0,,0
O00402,0,,0
O00409,0,,0
O00416,0,,0
O00408,0,,0
O00421,0,,0
O00410,1,Product mismatch,9
O00407,0,,0
O00418,0,,0
O00415,0,,0
O00411,1,Product mismatch,4
O00414,0,,0
O00412,1,Product mismatch,13
O00413,0,,0
O00419,0,,0
O00420,0,,0
O00417,1,Changed mind,4
O00426,0,,0
O00431,0,,0
O00428,0,,0
O00423,1,Damaged product,6
O00427,1,Damaged product,13
O00433,0,,0
O00430,0,,0
O00425,0,,0
O00422,0,,0
O00429,0,,0
O00424,0,,0
O00432,0,,0
O00434,1,Damaged product,8
O00439,0,,0
O00443,0,,0
O00442,0,,0
O00438,0,,0
O00441,0,,0
O00440,0,,0
O00444,0,,0
O00437,0,,0
O00436,0,,0
O00435,0,,0
O00447,0,,0
O00450,0,,0
O00449,1,Damaged product,9
O00448,0,,0
O00446,0,,0
O00453,0,,0
O00452,0,,0
O00454,0,,0
O00451,0,,0
O00445,0,,0
O00455,0,,0
O00462,0,,0
O00456,0,,0
O00467,0,,0
O00463,1,Damaged product,9
O00461,0,,0
O00466,1,Product mismatch,11
O00458,0,,0
O00468,0,,0
O00464,0,,0
O00460,0,,0
O00459,0,,0
O00465,0,,0
O00469,0,,0
O00457,0,,0
O00471,0,,0
O00470,0,,0
O00473,0,,0
O00479,0,,0
O00472,0,,0
O00477,0,,0
O00476,0,,0
O00478,0,,0
O00475,1,Changed mind,11
O00474,0,,0
O00482,0,,0
O00481,0,,0
O00484,0,,0
O00490,0,,0
O00488,0,,0
O00485,0,,0
O00483,0,,0
O00487,0,,0
O00489,1,Product mismatch,11
O00486,0,,0
O00480,0,,0
O00493,0,,0
O00494,0,,0
O00497,0,,0
O00501,0,,0
O00503,0,,0
O00500,0,,0
O00492,0,,0
O00496,0,,0
O00495,0,,0
O00499,0,,0
O00498,0,,0
O00491,0,,0
O00502,0,,0
O00509,0,,0
O00504,0,,0
O00512,0,,0
O00510,0,,0
O00505,0,,0
O00507,0,,0
O00506,0,,0
O00511,0,,0
O00508,0,,0
O00514,0,,0
O00513,0,,0
O00515,0,,0
O00520,0,,0
O00517,0,,0
O00525,0,,0
O00526,0,,0
O00518,0,,0
O00522,0,,0
O00524,0,,0
O00523,0,,0
O00521,0,,0
O00516,0,,0
O00519,0,,0
O00530,1,Changed mind,2
O00529,1,Product mismatch,3
O00533,0,,0
O00527,0,,0
O00532,0,,0
O00528,0,,0
O00534,0,,0
O00531,0,,0
O00543,0,,0
O00539,0,,0
O00535,0,,0
O00538,0,,0
O00536,0,,0
O00541,1,Damaged product,12
O00540,0,,0
O00542,0,,0
O00537,0,,0
O00549,0,,0
O00546,0,,0
O00550,0,,0
O00548,0,,0
O00551,0,,0
O00545,1,Changed mind,6
O00552,0,,0
O00547,0,,0
O00544,0,,0
O00560,1,Changed mind,9
O00559,0,,0
O00558,0,,0
O00554,0,,0
O00553,0,,0
O00557,1,Product mismatch,3
O00555,0,,0
O00556,0,,0
O00570,0,,0
O00571,0,,0
O00563,0,,0
O00565,0,,0
O00566,0,,0
O00567,0,,0
O00575,0,,0
O00569,0,,0
O00573,0,,0
O00561,0,,0
O00574,0,,0
O00562,0,,0
O00572,0,,0
O00568,0,,0
O00576,0,,0
O00564,0,,0
O00578,0,,0
O00577,0,,0
O00583,0,,0
O00580,0,,0
O00582,0,,0
O00579,0,,0
O00584,0,,0
O00585,0,,0
O00581,1,Changed mind,12
O00593,0,,0
O00591,0,,0
O00587,0,,0
O00588,0,,0
O00589,0,,0
O00592,0,,0
O00590,0,,0
O00586,0,,0
O00595,0,,0
O00597,0,,0
O00599,0,,0
O00598,1,Changed mind,2
O00596,0,,0
O00594,0,,0
O00600,0,,0
O00601,0,,0
O00602,0,,0
O00612,0,,0
O00611,0,,0
O00606,1,Changed mind,7
O00605,0,,0
O00609,0,,0
O00608,0,,0
O00613,1,Changed mind,14
O00603,1,Size issue,13
O00607,0,,0
O00610,0,,0
O00604,0,,0
O00615,0,,0
O00621,0,,0
O00623,0,,0
O00620,0,,0
O00616,0,,0
O00622,0,,0
O00618,0,,0
O00614,0,,0
O00617,0,,0
O00624,0,,0
O00619,0,,0
O00631,0,,0
O00627,0,,0
O00628,0,,0
O00630,0,,0
O00629,0,,0
O00625,0,,0
O00626,0,,0
O00643,0,,0
O00637,0,,0
O00633,0,,0
O00632,0,,0
O00638,0,,0
O00641,0,,0
O00636,0,,0
O00635,0,,0
O00634,0,,0
O00642,0,,0
O00640,0,,0
O00639,0,,0
O00645,0,,0
O00649,0,,0
O00653,0,,0
O00650,1,Product mismatch,10
O00651,0,,0
O00655,0,,0
O00646,1,Changed mind,6
O00647,0,,0
O00654,0,,0
O00652,0,,0
O00648,0,,0
O00644,0,,0
O00658,0,,0
O00666,0,,0
O00663,0,,0
O00657,0,,0
O00660,0,,0
O00661,0,,0
O00659,0,,0
O00656,0,,0
O00664,0,,0
O00665,0,,0
O00662,0,,0
O00667,0,,0
O00668,0,,0
O00671,0,,0
O00669,0,,0
O00670,0,,0
O00672,0,,0
O00673,0,,0
O00674,0,,0
O00677,0,,0
O00678,0,,0
O00679,0,,0
O00682,0,,0
O00680,0,,0
O00676,0,,0
O00681,0,,0
O00675,0,,0
O00686,0,,0
O00689,0,,0
O00690,0,,0
O00691,0,,0
O00688,0,,0
O00692,1,Size issue,10
O00687,0,,0
O00683,0,,0
O00684,0,,0
O00685,0,,0
O00693,1,Size issue,12
O00698,0,,0
O00694,0,,0
O00699,0,,0
O00697,1,Changed mind,11
O00696,0,,0
O00695,1,Changed mind,10
O00702,0,,0
O00710,0,,0
O00703,0,,0
O00711,0,,0
O00705,0,,0
O00709,0,,0
O00700,0,,0
O00704,0,,0
O00712,0,,0
O00707,1,Damaged product,10
O00706,0,,0
O00701,0,,0
O00708,0,,0
O00718,0,,0
O00726,0,,0
O00720,1,Changed mind,10
O00714,0,,0
O00724,0,,0
O00719,0,,0
O00723,0,,0
O00722,0,,0
O00721,0,,0
O00717,0,,0
O00713,0,,0
O00716,0,,0
O00725,0,,0
O00715,0,,0
O00734,0,,0
O00733,0,,0
O00729,0,,0
O00727,0,,0
O00728,0,,0
O00730,0,,0
O00732,1,Size issue,10
O00735,0,,0
O00731,0,,0
O00737,0,,0
O00739,0,,0
O00742,1,Size issue,12
O00743,0,,0
O00744,0,,0
O00741,0,,0
O00736,0,,0
O00738,0,,0
O00745,0,,0
O00740,0,,0
O00747,0,,0
O00748,0,,0
O00749,0,,0
O00746,0,,0
O00750,0,,0
O00758,0,,0
O00760,0,,0
O00753,1,Size issue,7
O00757,0,,0
O00761,0,,0
O00759,1,Changed mind,10
O00752,0,,0
O00754,0,,0
O00756,1,Damaged product,12
O00751,0,,0
O00755,0,,0
O00762,0,,0
O00772,0,,0
O00771,0,,0
O00769,0,,0
O00764,0,,0
O00775,0,,0
O00768,1,Changed mind,6
O00766,0,,0
O00777,0,,0
O00778,0,,0
O00773,0,,0
O00763,0,,0
O00765,0,,0
O00770,1,Product mismatch,4
O00776,0,,0
O00767,0,,0
O00774,0,,0
O00780,0,,0
O00779,0,,0
O00781,0,,0
O00783,0,,0
O00782,0,,0
O00793,0,,0
O00784,0,,0
O00791,0,,0
O00789,0,,0
O00790,0,,0
O00787,0,,0
O00785,0,,0
O00792,0,,0
O00794,0,,0
O00788,0,,0
O00786,0,,0
O00800,0,,0
O00799,0,,0
O00803,0,,0
O00795,0,,0
O00802,0,,0
O00796,0,,0
O00801,0,,0
O00797,0,,0
O00804,1,Changed mind,9
O00798,0,,0
O00814,0,,0
O00813,0,,0
O00807,0,,0
O00816,0,,0
O00810,0,,0
O00812,0,,0
O00811,0,,0
O00809,0,,0
O00808,0,,0
O00815,0,,0
O00805,0,,0
O00806,0,,0
O00819,0,,0
O00822,0,,0
O00824,0,,0
O00820,0,,0
O00818,0,,0
O00823,0,,0
O00817,0,,0
O00821,0,,0
O00825,0,,0
O00826,0,,0
O00829,1,Changed mind,11
O00832,1,Size issue,13
O00833,0,,0
O00831,0,,0
O00828,0,,0
O00827,0,,0
O00830,0,,0
O00834,0,,0
O00844,0,,0
O00836,0,,0
O00847,1,Product mismatch,3
O00840,0,,0
O00839,0,,0
O00850,0,,0
O00845,0,,0
O00842,0,,0
O00835,1,Changed mind,14
O00849,0,,0
O00846,0,,0
O00841,1,Damaged product,3
O00837,0,,0
O00838,0,,0
O00843,0,,0
O00848,0,,0
O00852,0,,0
O00858,0,,0
O00853,0,,0
O00855,0,,0
O00851,0,,0
O00854,0,,0
O00857,0,,0
O00856,0,,0
O00872,0,,0
O00874,0,,0
O00864,0,,0
O00868,0,,0
O00875,0,,0
O00862,0,,0
O00867,0,,0
O00876,0,,0
O00863,0,,0
O00865,0,,0
O00873,0,,0
O00869,0,,0
O00870,1,Changed mind,4
O00861,0,,0
O00866,0,,0
O00871,1,Product mismatch,6
O00860,0,,0
O00859,0,,0
O00879,0,,0
O00890,0,,0
O00878,1,Changed mind,5
O00888,0,,0
O00877,0,,0
O00891,0,,0
O00880,0,,0
O00884,0,,0
O00881,0,,0
O00889,0,,0
O00885,0,,0
O00883,0,,0
O00887,0,,0
O00886,1,Changed mind,14
O00882,0,,0
O00897,0,,0
O00898,0,,0
O00901,0,,0
O00892,0,,0
O00895,0,,0
O00900,0,,0
O00896,0,,0
O00894,0,,0
O00893,0,,0
O00899,0,,0
O00908,0,,0
O00903,0,,0
O00905,0,,0
O00906,0,,0
O00907,0,,0
O00904,0,,0
O00909,0,,0
O00902,0,,0
O00910,1,Changed mind,11
O00917,0,,0
O00918,0,,0
O00912,0,,0
O00919,1,Size issue,5
O00915,0,,0
O00921,0,,0
O00911,0,,0
O00916,0,,0
O00920,0,,0
O00913,0,,0
O00914,0,,0
O00926,0,,0
O00925,0,,0
O00922,0,,0
O00924,0,,0
O00923,0,,0
O00927,0,,0
O00928,0,,0
O00930,0,,0
O00929,1,Size issue,2
O00940,0,,0
O00937,0,,0
O00934,1,Size issue,11
O00933,0,,0
O00936,0,,0
O00935,0,,0
O00939,1,Product mismatch,12
O00932,0,,0
O00938,0,,0
O00931,0,,0
O00942,0,,0
O00947,0,,0
O00941,0,,0
O00946,0,,0
O00945,0,,0
O00943,0,,0
O00950,0,,0
O00949,0,,0
O00951,1,Product mismatch,8
O00944,0,,0
O00948,1,Product mismatch,2
O00957,0,,0
O00955,0,,0
O00954,0,,0
O00953,0,,0
O00956,0,,0
O00952,0,,0
O00958,0,,0
O00959,0,,0
O00964,0,,0
O00965,0,,0
O00960,0,,0
O00963,0,,0
O00962,0,,0
O00961,0,,0
O00972,0,,0
O00973,0,,0
O00968,0,,0
O00967,0,,0
O00966,0,,0
O00971,1,Changed mind,8
O00969,0,,0
O00970,0,,0
O00980,1,Product mismatch,4
O00977,0,,0
O00975,0,,0
O00976,0,,0
O00986,0,,0
O00982,0,,0
O00978,0,,0
O00983,0,,0
O00981,0,,0
O00987,0,,0
O00985,0,,0
O00979,0,,0
O00984,0,,0
O00974,0,,0
O00988,0,,0
O00997,0,,0
O00998,0,,0
O00990,0,,0
O00994,0,,0
O00991,0,,0
O00993,0,,0
O00996,0,,0
O00992,0,,0
O00995,0,,0
O00989,0,,0
O01003,0,,0
O01002,0,,0
O01004,0,,0
O01001,0,,0
O01000,0,,0
O00999,0,,0
O01005,0,,0
O01012,0,,0
O01006,0,,0
O01011,0,,0
O01007,0,,0
O01008,0,,0
O01010,0,,0
O01013,0,,0
O01009,0,,0
O01019,0,,0
O01014,0,,0
O01021,0,,0
O01018,0,,0
O01016,0,,0
O01022,0,,0
O01024,0,,0
O01020,0,,0
O01023,0,,0
O01015,1,Changed mind,9
O01017,0,,0
O01030,0,,0
O01031,0,,0
O01025,0,,0
O01033,0,,0
O01027,0,,0
O01029,0,,0
O01028,0,,0
O01032,0,,0
O01026,0,,0
O01039,0,,0
O01035,0,,0
O01034,0,,0
O01036,0,,0
O01037,0,,0
O01038,0,,0
O01047,0,,0
O01050,0,,0
O01044,0,,0
O01041,0,,0
O01046,0,,0
O01051,0,,0
O01045,0,,0
O01048,0,,0
O01042,0,,0
O01052,0,,0
O01040,0,,0
O01049,0,,0
O01043,0,,0
O01060,0,,0
O01058,0,,0
O01053,0,,0
O01056,0,,0
O01055,0,,0
O01057,0,,0
O01059,0,,0
O01061,0,,0
O01054,0,,0
O01066,0,,0
O01062,0,,0
O01073,0,,0
O01071,0,,0
O01067,0,,0
O01068,0,,0
O01070,0,,0
O01065,0,,0
O01064,0,,0
O01072,0,,0
O01063,0,,0
O01069,0,,0
O01076,0,,0
O01074,0,,0
O01077,0,,0
O01078,0,,0
O01075,1,Product mismatch,4
O01084,0,,0
O01083,0,,0
O01080,0,,0
O01085,0,,0
O01087,0,,0
O01079,0,,0
O01081,0,,0
O01082,0,,0
O01086,0,,0
O01091,0,,0
O01098,0,,0
O01097,0,,0
O01099,0,,0
O01096,0,,0
O01094,0,,0
O01092,0,,0
O01100,1,Damaged product,9
O01088,0,,0
O01095,0,,0
O01089,0,,0
O01093,0,,0
O01090,0,,0
O01104,0,,0
O01112,0,,0
O01106,0,,0
O01111,0,,0
O01105,0,,0
O01110,0,,0
O01101,0,,0
O01108,0,,0
O01109,0,,0
O01107,0,,0
O01103,0,,0
O01102,0,,0
O01117,0,,0
O01118,0,,0
O01114,0,,0
O01115,0,,0
O01116,0,,0
O01113,0,,0
O01130,0,,0
O01131,0,,0
O01119,0,,0
O01129,0,,0
O01133,0,,0
O01132,1,Size issue,13
O01122,0,,0
O01125,0,,0
O01126,0,,0
O01128,0,,0
O01127,0,,0
O01120,0,,0
O01123,0,,0
O01121,0,,0
O01124,0,,0
O01143,0,,0
O01134,0,,0
O01144,0,,0
O01141,0,,0
O01135,0,,0
O01140,0,,0
O01138,0,,0
O01139,0,,0
O01137,0,,0
O01145,0,,0
O01136,1,Changed mind,3
O01142,0,,0
O01147,0,,0
O01154,1,Size issue,7
O01155,1,Product mismatch,10
O01153,0,,0
O01157,0,,0
O01148,0,,0
O01149,0,,0
O01158,0,,0
O01150,0,,0
O01152,0,,0
O01151,1,Product mismatch,12
O01156,0,,0
O01146,0,,0
O01160,0,,0
O01161,1,Changed mind,13
O01162,0,,0
O01165,0,,0
O01169,0,,0
O01167,0,,0
O01159,1,Size issue,5
O01168,0,,0
O01163,0,,0
O01164,0,,0
O01166,0,,0
O01173,0,,0
O01171,0,,0
O01175,0,,0
O01180,0,,0
O01174,0,,0
O01177,0,,0
O01179,0,,0
O01172,0,,0
O01176,0,,0
O01178,1,Size issue,10
O01170,0,,0
O01181,0,,0
O01184,0,,0
O01186,0,,0
O01188,0,,0
O01182,1,Changed mind,5
O01187,0,,0
O01183,0,,0
O01185,0,,0
O01190,0,,0
O01192,0,,0
O01193,0,,0
O01189,0,,0
O01194,0,,0
O01191,0,,0
O01203,0,,0
O01196,0,,0
O01202,0,,0
O01204,0,,0
O01197,0,,0
O01201,0,,0
O01195,0,,0
O01200,0,,0
O01199,0,,0
O01198,0,,0
O01206,0,,0
O01209,0,,0
O01211,0,,0
O01210,0,,0
O01207,0,,0
O01205,0,,0
O01208,0,,0
O01218,0,,0
O01215,0,,0
O01217,0,,0
O01216,0,,0
O01214,0,,0
O01212,0,,0
O01213,0,,0
O01220,0,,0
O01219,0,,0
O01229,1,Changed mind,6
O01222,0,,0
O01225,0,,0
O01224,0,,0
O01221,1,Changed mind,4
O01231,0,,0
O01232,0,,0
O01226,1,Changed mind,4
O01223,0,,0
O01230,1,Product mismatch,5
O01227,0,,0
O01228,1,Size issue,12
O01233,0,,0
O01234,0,,0
O01238,0,,0
O01235,0,,0
O01237,0,,0
O01239,0,,0
O01240,0,,0
O01242,0,,0
O01241,0,,0
O01236,0,,0
O01249,0,,0
O01245,0,,0
O01250,0,,0
O01244,0,,0
O01243,0,,0
O01247,0,,0
O01248,0,,0
O01251,0,,0
O01246,0,,0
O01254,0,,0
O01252,0,,0
O01256,0,,0
O01253,0,,0
O01257,0,,0
O01255,0,,0
O01269,0,,0
O01260,0,,0
O01261,0,,0
O01267,0,,0
O01259,0,,0
O01262,0,,0
O01266,0,,0
O01258,0,,0
O01263,0,,0
O01265,0,,0
O01268,0,,0
O01264,0,,0
O01270,0,,0
O01278,0,,0
O01273,0,,0
O01277,0,,0
O01276,0,,0
O01275,0,,0
O01274,0,,0
O01271,0,,0
O01279,0,,0
O01272,0,,0
O01281,0,,0
O01284,0,,0
O01285,0,,0
O01283,0,,0
O01280,0,,0
O01287,0,,0
O01286,0,,0
O01282,0,,0
O01294,0,,0
O01295,0,,0
O01293,0,,0
O01290,0,,0
O01297,0,,0
O01300,0,,0
O01299,0,,0
O01301,0,,0
O01291,0,,0
O01289,0,,0
O01288,0,,0
O01292,0,,0
O01298,1,Size issue,9
O01296,0,,0
O01307,0,,0
O01302,0,,0
O01303,0,,0
O01306,0,,0
O01305,0,,0
O01304,0,,0
O01315,0,,0
O01309,0,,0
O01312,1,Damaged product,10
O01314,1,Changed mind,5
O01310,0,,0
O01313,0,,0
O01311,0,,0
O01317,0,,0
O01320,0,,0
O01319,0,,0
O01318,0,,0
O01316,0,,0
O01308,0,,0
O01323,0,,0
O01327,0,,0
O01322,0,,0
O01321,0,,0
O01329,0,,0
O01324,0,,0
O01325,0,,0
O01328,0,,0
O01334,0,,0
O01333,0,,0
O01331,0,,0
O01330,0,,0
O01332,0,,0
O01326,0,,0
O01340,0,,0
O01345,0,,0
O01346,0,,0
O01347,0,,0
O01337,1,Size issue,5
O01343,0,,0
O01344,0,,0
O01341,0,,0
O01335,0,,0
O01338,0,,0
O01339,1,Damaged product,11
O01342,0,,0
O01336,0,,0
O01352,0,,0
O01348,0,,0
O01349,0,,0
O01353,0,,0
O01350,0,,0
O01351,0,,0
O01354,0,,0
O01361,0,,0
O01357,0,,0
O01358,0,,0
O01359,0,,0
O01360,0,,0
O01362,1,Size issue,5
O01356,0,,0
O01355,0,,0
O01370,0,,0
O01366,0,,0
O01364,0,,0
O01368,0,,0
O01369,1,Product mismatch,3
O01363,0,,0
O01373,0,,0
O01367,1,Product mismatch,5
O01371,0,,0
O01365,1,Size issue,2
O01372,0,,0
O01375,1,Product mismatch,7
O01379,0,,0
O01380,0,,0
O01381,0,,0
O01374,1,Product mismatch,13
O01382,0,,0
O01378,0,,0
O01377,0,,0
O01376,0,,0
O01388,0,,0
O01389,0,,0
O01393,0,,0
O01387,0,,0
O01390,0,,0
O01383,0,,0
O01392,0,,0
O01391,0,,0
O01385,0,,0
O01384,0,,0
O01386,0,,0
O01397,0,,0
O01398,0,,0
O01400,1,Changed mind,3
O01399,0,,0
O01396,0,,0
O01394,0,,0
O01395,0,,0
O01407,1,Changed mind,13
O01401,0,,0
O01406,0,,0
O01404,0,,0
O01408,0,,0
O01402,0,,0
O01405,0,,0
O01403,0,,0
O01409,0,,0
O01416,0,,0
O01418,0,,0
O01421,0,,0
O01411,0,,0
O01420,0,,0
O01413,1,Damaged product,14
O01417,0,,0
O01415,0,,0
O01419,0,,0
O01414,0,,0
O01410,0,,0
O01412,1,Size issue,11
O01422,1,Size issue,13
O01427,0,,0
O01423,0,,0
O01425,0,,0
O01426,0,,0
O01424,0,,0
O01429,0,,0
O01431,0,,0
O01432,0,,0
O01430,1,Changed mind,10
O01428,0,,0
O01434,0,,0
O01433,1,Changed mind,3
O01445,0,,0
O01440,0,,0
O01437,1,Product mismatch,9
O01436,0,,0
O01438,0,,0
O01443,0,,0
O01439,1,Product mismatch,13
O01441,0,,0
O01444,0,,0
O01435,0,,0
O01442,0,,0
O01454,0,,0
O01446,0,,0
O01447,0,,0
O01453,0,,0
O01452,0,,0
O01450,0,,0
O01451,0,,0
O01449,0,,0
O01448,0,,0
O01458,1,Product mismatch,13
O01455,0,,0
O01461,0,,0
O01460,0,,0
O01457,0,,0
O01456,0,,0
O01459,0,,0
O01468,0,,0
O01470,0,,0
O01474,0,,0
O01473,0,,0
O01464,0,,0
O01469,0,,0
O01466,0,,0
O01467,0,,0
O01472,1,Damaged product,13
O01463,0,,0
O01462,0,,0
